epoch,bce,kd,kd_ema,total,val_auc,best_val_auc
1,0.45428,1.60544,3.92844,2.45256,0.81224,0.81224
2,0.38334,0.98468,1.48832,1.51685,0.83094,0.83094
3,0.36875,0.85528,0.70141,1.29417,0.83822,0.83822
4,0.36099,0.78773,0.42083,1.1908,0.84232,0.84232
5,0.35268,0.74366,0.28605,1.12494,0.83325,0.84232
6,0.3493,0.73325,0.21611,1.10417,0.8385,0.84232
7,0.34336,0.69692,0.16592,1.05687,0.84265,0.84265
8,0.33919,0.6732,0.12863,1.02526,0.83849,0.84265
9,0.33321,0.65087,0.10971,0.99506,0.84792,0.84792
10,0.3284,0.64389,0.0999,0.98228,0.84363,0.84792
11,0.32395,0.62187,0.0838,0.95421,0.84624,0.84792
12,0.31736,0.60785,0.07933,0.93314,0.84039,0.84792
13,0.31567,0.61019,0.08737,0.93459,0.84699,0.84792
14,0.30908,0.58352,0.07018,0.89961,0.843,0.84792
15,0.3024,0.57915,0.08142,0.88969,0.84258,0.84792
16,0.29707,0.56019,0.0713,0.86439,0.84776,0.84792
17,0.28993,0.54911,0.07344,0.84638,0.84326,0.84792
18,0.28593,0.5478,0.08385,0.84212,0.843,0.84792
19,0.27727,0.52635,0.07349,0.81098,0.84621,0.84792
20,0.26953,0.50716,0.06461,0.78315,0.8448,0.84792
21,0.26441,0.50107,0.06884,0.77236,0.84483,0.84792
22,0.25527,0.49301,0.06986,0.75526,0.84134,0.84792
23,0.2541,0.49797,0.07733,0.75981,0.84521,0.84792
24,0.24492,0.47857,0.06586,0.73008,0.84689,0.84792
25,0.24137,0.47147,0.06339,0.71918,0.84496,0.84792
26,0.23564,0.45954,0.0579,0.70097,0.844,0.84792
27,0.23054,0.45802,0.05902,0.69446,0.84353,0.84792
28,0.22689,0.4567,0.06165,0.68976,0.84317,0.84792
29,0.22361,0.44982,0.05684,0.67911,0.84175,0.84792
30,0.22106,0.43895,0.04843,0.66486,0.843,0.84792
31,0.21605,0.43334,0.04411,0.6538,0.84177,0.84792
32,0.21238,0.43242,0.04728,0.64953,0.84565,0.84792
33,0.21158,0.43168,0.04835,0.64809,0.84349,0.84792
34,0.20861,0.42792,0.04492,0.64102,0.84409,0.84792
35,0.20636,0.42621,0.04404,0.63697,0.84377,0.84792
36,0.20604,0.4259,0.04421,0.63636,0.84458,0.84792
37,0.20423,0.41963,0.04022,0.62788,0.84639,0.84792
38,0.20272,0.41827,0.03846,0.62484,0.84658,0.84792
39,0.20102,0.41374,0.03563,0.61833,0.84452,0.84792
40,0.19948,0.41691,0.03849,0.62024,0.8472,0.84792
41,0.19896,0.41541,0.03704,0.61807,0.84785,0.84792
42,0.19835,0.41407,0.03596,0.61602,0.84438,0.84792
43,0.19874,0.41494,0.03868,0.61754,0.84698,0.84792
44,0.1963,0.40818,0.03106,0.60758,0.84319,0.84792
45,0.19633,0.41297,0.03667,0.61296,0.84789,0.84792
46,0.19413,0.40145,0.02533,0.59811,0.84565,0.84792
47,0.19412,0.40486,0.02949,0.60193,0.84021,0.84792
48,0.19359,0.40436,0.02903,0.60085,0.84767,0.84792
49,0.19185,0.40126,0.0247,0.59557,0.84725,0.84792
50,0.19262,0.39919,0.02412,0.59422,0.84659,0.84792
51,0.19165,0.40346,0.028,0.59791,0.84801,0.84801
52,0.19059,0.39272,0.01801,0.58511,0.84575,0.84801
53,0.18988,0.39696,0.02159,0.589,0.84625,0.84801
54,0.18967,0.39314,0.01855,0.58467,0.84597,0.84801
55,0.18894,0.39345,0.01816,0.58421,0.8473,0.84801
56,0.18891,0.38878,0.01448,0.57914,0.84772,0.84801
57,0.18775,0.38978,0.01502,0.57903,0.84636,0.84801
58,0.18795,0.38871,0.01427,0.57809,0.84558,0.84801
59,0.18933,0.39391,0.0199,0.58523,0.84555,0.84801
60,0.18753,0.38904,0.01381,0.57796,0.84723,0.84801
61,0.18844,0.39155,0.01764,0.58175,0.84685,0.84801
62,0.18672,0.38916,0.01478,0.57736,0.84674,0.84801
63,0.18769,0.38893,0.01539,0.57816,0.84708,0.84801
64,0.18725,0.38461,0.01185,0.57304,0.84703,0.84801
65,0.18715,0.38641,0.01245,0.57481,0.84681,0.84801
66,0.18674,0.3849,0.01087,0.57272,0.84685,0.84801
67,0.18748,0.38872,0.01506,0.57771,0.84678,0.84801
68,0.18735,0.38724,0.01371,0.57596,0.84618,0.84801
69,0.18563,0.38364,0.00984,0.57026,0.8463,0.84801
70,0.18652,0.3863,0.01298,0.57412,0.84715,0.84801
71,0.18587,0.38352,0.00938,0.57033,0.84719,0.84801
72,0.18618,0.38462,0.01065,0.57186,0.84724,0.84801
73,0.18582,0.38295,0.00962,0.56973,0.84616,0.84801
74,0.1858,0.38363,0.01043,0.57047,0.8475,0.84801
75,0.18555,0.38324,0.00947,0.56973,0.84661,0.84801
76,0.18557,0.38074,0.00774,0.56709,0.84689,0.84801
77,0.18617,0.38484,0.01141,0.57216,0.84562,0.84801
78,0.18563,0.38262,0.00899,0.56915,0.84655,0.84801
79,0.18523,0.38066,0.00768,0.56666,0.84626,0.84801
80,0.18556,0.38511,0.01198,0.57187,0.84663,0.84801
81,0.18502,0.38123,0.00694,0.56694,0.84682,0.84801
82,0.18503,0.38176,0.00804,0.5676,0.84685,0.84801
83,0.18547,0.37937,0.00628,0.56547,0.84668,0.84801
84,0.18518,0.38093,0.00737,0.56685,0.84638,0.84801
85,0.18517,0.38023,0.00721,0.56611,0.84668,0.84801
86,0.18474,0.3808,0.00718,0.56625,0.84678,0.84801
87,0.18572,0.38031,0.00719,0.56675,0.84674,0.84801
88,0.18491,0.37929,0.00624,0.56482,0.84667,0.84801
89,0.18508,0.38039,0.0071,0.56618,0.84671,0.84801
90,0.18478,0.37938,0.00665,0.56483,0.8471,0.84801
91,0.18495,0.37972,0.00631,0.5653,0.84685,0.84801
92,0.18493,0.37982,0.00653,0.56541,0.84672,0.84801
93,0.18496,0.37894,0.00523,0.56442,0.84691,0.84801
94,0.1851,0.37965,0.00629,0.56537,0.84675,0.84801
95,0.18499,0.3808,0.00724,0.56651,0.84677,0.84801
96,0.18491,0.37995,0.00647,0.56551,0.84682,0.84801
97,0.18436,0.37974,0.00639,0.56474,0.84681,0.84801
98,0.18493,0.38095,0.00701,0.56659,0.84688,0.84801
99,0.18489,0.37866,0.00524,0.56408,0.84677,0.84801
100,0.18467,0.37998,0.00674,0.56532,0.84674,0.84801
