epoch,bce,kd,kd_ema,total,val_auc,best_val_auc
1,0.45703,1.0171,3.6835,1.84249,0.80922,0.80922
2,0.3821,0.39995,1.38454,0.92051,0.83193,0.83193
3,0.36582,0.27952,0.65005,0.71034,0.83513,0.83513
4,0.35909,0.24044,0.40305,0.63984,0.83696,0.83696
5,0.35333,0.20688,0.27095,0.5873,0.83794,0.83794
6,0.34863,0.18636,0.19644,0.55463,0.84541,0.84541
7,0.34548,0.17358,0.15154,0.53422,0.84087,0.84541
8,0.34126,0.15932,0.11971,0.51256,0.84338,0.84541
9,0.33805,0.1499,0.09457,0.49741,0.84227,0.84541
10,0.33462,0.14228,0.07945,0.48485,0.84276,0.84541
11,0.33237,0.13946,0.0758,0.47941,0.8425,0.84541
12,0.32963,0.13241,0.06896,0.46894,0.84565,0.84565
13,0.32529,0.1265,0.06114,0.45791,0.8423,0.84565
14,0.32306,0.12014,0.05752,0.44895,0.84552,0.84565
15,0.32048,0.10734,0.04834,0.43265,0.84894,0.84894
16,0.31773,0.1197,0.06297,0.44373,0.84547,0.84894
17,0.31434,0.10214,0.04813,0.4213,0.84887,0.84894
18,0.30938,0.10441,0.05385,0.41918,0.84519,0.84894
19,0.30484,0.09442,0.04693,0.40395,0.84693,0.84894
20,0.30182,0.09227,0.04979,0.39907,0.84891,0.84894
21,0.29618,0.08595,0.04561,0.3867,0.84433,0.84894
22,0.29589,0.09254,0.05458,0.39389,0.84331,0.84894
23,0.29017,0.08626,0.05028,0.38145,0.84385,0.84894
24,0.28491,0.08067,0.04558,0.37013,0.846,0.84894
25,0.282,0.07888,0.04628,0.36551,0.85032,0.85032
26,0.27759,0.0739,0.04253,0.35574,0.84711,0.85032
27,0.27195,0.06954,0.04002,0.34549,0.84672,0.85032
28,0.27193,0.07239,0.04429,0.34875,0.8445,0.85032
29,0.2692,0.07192,0.04414,0.34553,0.84621,0.85032
30,0.2664,0.0716,0.04418,0.34242,0.84684,0.85032
31,0.26322,0.06837,0.04157,0.33575,0.84951,0.85032
