epoch,bce,kd,crf,feat,att,label_corr,akd_weight,total,val_auc,val_f1,best_val_auc
1,0.45617,0.98811,0.0,0.0,0.0,0.0,0.9,1.44428,0.80198,0.48706,0.80198
2,0.37697,0.8894,0.0,0.0,0.0,0.0,0.9,1.26638,0.82991,0.52965,0.82991
3,0.36346,0.8744,0.0,0.0,0.0,0.0,0.9,1.23785,0.83566,0.58828,0.83566
4,0.3542,0.8691,0.0,0.0,0.0,0.0,0.9,1.22329,0.83837,0.54098,0.83837
5,0.3485,0.86574,0.0,0.0,0.0,0.0,0.9,1.21424,0.83871,0.57515,0.83871
6,0.34136,0.86232,0.0,0.0,0.0,0.0,0.9,1.20368,0.83773,0.58569,0.83871
7,0.3378,0.86249,0.0,0.0,0.0,0.0,0.9,1.20029,0.83551,0.53714,0.83871
8,0.33115,0.86024,0.0,0.0,0.0,0.0,0.9,1.19139,0.84211,0.57527,0.84211
9,0.32427,0.86086,0.0,0.0,0.0,0.0,0.9,1.18514,0.84236,0.57803,0.84236
10,0.32005,0.86142,0.0,0.0,0.0,0.0,0.9,1.18147,0.84216,0.5661,0.84236
11,0.31339,0.86138,0.0,0.0,0.0,0.0,0.9,1.17478,0.83963,0.59979,0.84236
12,0.30791,0.86168,0.0,0.0,0.0,0.0,0.9,1.16958,0.83918,0.57374,0.84236
13,0.30057,0.86375,0.0,0.0,0.0,0.0,0.9,1.16432,0.83698,0.5739,0.84236
14,0.29318,0.86524,0.0,0.0,0.0,0.0,0.9,1.15842,0.84195,0.56369,0.84236
15,0.282,0.86648,0.0,0.0,0.0,0.0,0.9,1.14848,0.83758,0.58532,0.84236
16,0.27406,0.86972,0.0,0.0,0.0,0.0,0.9,1.14379,0.83823,0.58502,0.84236
17,0.26813,0.87293,0.0,0.0,0.0,0.0,0.9,1.14106,0.83458,0.58675,0.84236
18,0.25092,0.87546,0.0,0.0,0.0,0.0,0.9,1.12637,0.83497,0.52314,0.84236
19,0.23603,0.87815,0.0,0.0,0.0,0.0,0.9,1.11418,0.83481,0.55485,0.84236
20,0.21854,0.8839,0.0,0.0,0.0,0.0,0.9,1.10244,0.83498,0.57327,0.84236
21,0.20985,0.88722,0.0,0.0,0.0,0.0,0.9,1.09707,0.82778,0.57452,0.84236
