epoch,bce,kd,crf,feat,att,label_corr,akd_weight,total,val_auc,val_f1,best_val_auc
1,0.45815,0.86001,0.0,0.0,0.0,0.0,0.0,1.31815,0.82039,0.5219,0.82039
2,0.38189,0.32661,0.0,0.0,0.0,0.0,0.0,0.70849,0.83463,0.57277,0.83463
3,0.36947,0.24768,0.0,0.0,0.0,0.0,0.0,0.61714,0.83334,0.55473,0.83463
4,0.36211,0.21193,0.0,0.0,0.0,0.0,0.0,0.57404,0.84054,0.58971,0.84054
5,0.35843,0.19889,0.0,0.0,0.0,0.0,0.0,0.55732,0.83587,0.56485,0.84054
6,0.35311,0.18644,0.0,0.0,0.0,0.0,0.0,0.53955,0.84112,0.59288,0.84112
7,0.35133,0.17582,0.0,0.0,0.0,0.0,0.0,0.52715,0.8423,0.57491,0.8423
8,0.34725,0.16342,0.0,0.0,0.0,0.0,0.0,0.51066,0.84278,0.58712,0.84278
9,0.34308,0.16108,0.0,0.0,0.0,0.0,0.0,0.50417,0.84581,0.58134,0.84581
10,0.34287,0.15643,0.0,0.0,0.0,0.0,0.0,0.4993,0.8468,0.58248,0.8468
11,0.33895,0.15579,0.0,0.0,0.0,0.0,0.0,0.49474,0.84611,0.57367,0.8468
12,0.3371,0.14762,0.0,0.0,0.0,0.0,0.0,0.48471,0.84468,0.58431,0.8468
13,0.33653,0.15848,0.0,0.0,0.0,0.0,0.0,0.495,0.84627,0.58462,0.8468
14,0.33427,0.1496,0.0,0.0,0.0,0.0,0.0,0.48388,0.84532,0.58579,0.8468
15,0.33245,0.14777,0.0,0.0,0.0,0.0,0.0,0.48021,0.84315,0.58954,0.8468
16,0.33129,0.14723,0.0,0.0,0.0,0.0,0.0,0.47852,0.84786,0.58738,0.84786
17,0.32971,0.14907,0.0,0.0,0.0,0.0,0.0,0.47878,0.84528,0.57688,0.84786
18,0.32694,0.14116,0.0,0.0,0.0,0.0,0.0,0.4681,0.84745,0.58345,0.84786
19,0.32481,0.13887,0.0,0.0,0.0,0.0,0.0,0.46368,0.84694,0.59402,0.84786
20,0.3213,0.1352,0.0,0.0,0.0,0.0,0.0,0.4565,0.84605,0.58599,0.84786
21,0.32004,0.13891,0.0,0.0,0.0,0.0,0.0,0.45894,0.84949,0.57798,0.84949
22,0.31556,0.1337,0.0,0.0,0.0,0.0,0.0,0.44926,0.84637,0.5819,0.84949
23,0.31355,0.13613,0.0,0.0,0.0,0.0,0.0,0.44968,0.84699,0.59627,0.84949
24,0.31123,0.13309,0.0,0.0,0.0,0.0,0.0,0.44432,0.84882,0.58497,0.84949
25,0.30956,0.1348,0.0,0.0,0.0,0.0,0.0,0.44436,0.84603,0.57236,0.84949
26,0.30777,0.13513,0.0,0.0,0.0,0.0,0.0,0.4429,0.84844,0.5755,0.84949
27,0.30297,0.13281,0.0,0.0,0.0,0.0,0.0,0.43579,0.84858,0.58656,0.84949
28,0.30429,0.13629,0.0,0.0,0.0,0.0,0.0,0.44058,0.84701,0.59727,0.84949
29,0.29999,0.13458,0.0,0.0,0.0,0.0,0.0,0.43457,0.84892,0.59169,0.84949
30,0.29842,0.13362,0.0,0.0,0.0,0.0,0.0,0.43204,0.84803,0.5811,0.84949
31,0.29594,0.13522,0.0,0.0,0.0,0.0,0.0,0.43116,0.84934,0.58132,0.84949
32,0.29517,0.13745,0.0,0.0,0.0,0.0,0.0,0.43262,0.848,0.57801,0.84949
33,0.29297,0.13424,0.0,0.0,0.0,0.0,0.0,0.42721,0.8478,0.58834,0.84949
34,0.29034,0.13661,0.0,0.0,0.0,0.0,0.0,0.42695,0.84891,0.58437,0.84949
35,0.28694,0.13239,0.0,0.0,0.0,0.0,0.0,0.41934,0.84743,0.58294,0.84949
36,0.28514,0.13457,0.0,0.0,0.0,0.0,0.0,0.41971,0.84747,0.58856,0.84949
37,0.28391,0.13531,0.0,0.0,0.0,0.0,0.0,0.41921,0.84794,0.59203,0.84949
38,0.28117,0.13404,0.0,0.0,0.0,0.0,0.0,0.41522,0.8496,0.58499,0.8496
39,0.28031,0.13505,0.0,0.0,0.0,0.0,0.0,0.41535,0.84712,0.5838,0.8496
40,0.27765,0.13184,0.0,0.0,0.0,0.0,0.0,0.40949,0.8487,0.58687,0.8496
41,0.27652,0.13626,0.0,0.0,0.0,0.0,0.0,0.41278,0.84893,0.58838,0.8496
42,0.27606,0.13642,0.0,0.0,0.0,0.0,0.0,0.41248,0.84913,0.58578,0.8496
43,0.27286,0.13333,0.0,0.0,0.0,0.0,0.0,0.40618,0.84878,0.58798,0.8496
44,0.27209,0.13309,0.0,0.0,0.0,0.0,0.0,0.40518,0.84753,0.59185,0.8496
45,0.27024,0.13624,0.0,0.0,0.0,0.0,0.0,0.40649,0.84696,0.59595,0.8496
46,0.27043,0.13653,0.0,0.0,0.0,0.0,0.0,0.40696,0.8487,0.58561,0.8496
47,0.27187,0.13832,0.0,0.0,0.0,0.0,0.0,0.41019,0.84713,0.59528,0.8496
48,0.27034,0.13545,0.0,0.0,0.0,0.0,0.0,0.40579,0.84798,0.5853,0.8496
49,0.26721,0.13451,0.0,0.0,0.0,0.0,0.0,0.40172,0.84874,0.58792,0.8496
50,0.26558,0.13579,0.0,0.0,0.0,0.0,0.0,0.40137,0.8485,0.5879,0.8496
51,0.26616,0.13691,0.0,0.0,0.0,0.0,0.0,0.40307,0.84826,0.58637,0.8496
52,0.26514,0.1338,0.0,0.0,0.0,0.0,0.0,0.39894,0.8491,0.58625,0.8496
53,0.26158,0.13299,0.0,0.0,0.0,0.0,0.0,0.39457,0.84801,0.58781,0.8496
54,0.26311,0.13452,0.0,0.0,0.0,0.0,0.0,0.39763,0.84823,0.58917,0.8496
55,0.26291,0.13386,0.0,0.0,0.0,0.0,0.0,0.39677,0.84878,0.58742,0.8496
56,0.26165,0.1349,0.0,0.0,0.0,0.0,0.0,0.39655,0.84881,0.58643,0.8496
57,0.2618,0.13535,0.0,0.0,0.0,0.0,0.0,0.39715,0.84823,0.5858,0.8496
58,0.26178,0.13548,0.0,0.0,0.0,0.0,0.0,0.39726,0.84877,0.58658,0.8496
59,0.25941,0.13362,0.0,0.0,0.0,0.0,0.0,0.39303,0.84805,0.58599,0.8496
60,0.26056,0.13543,0.0,0.0,0.0,0.0,0.0,0.39599,0.84933,0.58903,0.8496
61,0.25941,0.13425,0.0,0.0,0.0,0.0,0.0,0.39366,0.84851,0.58659,0.8496
62,0.25913,0.13413,0.0,0.0,0.0,0.0,0.0,0.39326,0.84842,0.58913,0.8496
63,0.25845,0.13325,0.0,0.0,0.0,0.0,0.0,0.3917,0.84801,0.58407,0.8496
64,0.25824,0.13252,0.0,0.0,0.0,0.0,0.0,0.39076,0.84912,0.5861,0.8496
65,0.25835,0.13425,0.0,0.0,0.0,0.0,0.0,0.3926,0.84764,0.59068,0.8496
66,0.25776,0.13308,0.0,0.0,0.0,0.0,0.0,0.39084,0.84858,0.58686,0.8496
67,0.25778,0.13315,0.0,0.0,0.0,0.0,0.0,0.39093,0.84877,0.59115,0.8496
68,0.25745,0.13161,0.0,0.0,0.0,0.0,0.0,0.38906,0.8482,0.58662,0.8496
69,0.25686,0.13033,0.0,0.0,0.0,0.0,0.0,0.38719,0.84916,0.58686,0.8496
70,0.25658,0.13311,0.0,0.0,0.0,0.0,0.0,0.38969,0.84846,0.58708,0.8496
71,0.25671,0.13224,0.0,0.0,0.0,0.0,0.0,0.38895,0.84848,0.58798,0.8496
72,0.25579,0.13127,0.0,0.0,0.0,0.0,0.0,0.38706,0.84919,0.58592,0.8496
73,0.25621,0.1305,0.0,0.0,0.0,0.0,0.0,0.38671,0.84907,0.58824,0.8496
74,0.25591,0.13063,0.0,0.0,0.0,0.0,0.0,0.38654,0.84866,0.58669,0.8496
75,0.25645,0.13316,0.0,0.0,0.0,0.0,0.0,0.3896,0.84849,0.58705,0.8496
76,0.25604,0.13114,0.0,0.0,0.0,0.0,0.0,0.38718,0.84917,0.58731,0.8496
77,0.25577,0.13057,0.0,0.0,0.0,0.0,0.0,0.38634,0.84898,0.58464,0.8496
