epoch,bce,kd,crf,feat,att,label_corr,akd_weight,total,val_auc,val_f1,best_val_auc
1,0.45534,1.09195,0.0,0.0,0.0,0.0,0.0,1.5473,0.80688,0.48561,0.80688
2,0.37638,0.98706,0.0,0.0,0.0,0.0,0.0,1.36343,0.82906,0.53555,0.82906
3,0.36372,0.97209,0.0,0.0,0.0,0.0,0.0,1.33581,0.83839,0.59285,0.83839
4,0.35436,0.96587,0.0,0.0,0.0,0.0,0.0,1.32023,0.83924,0.57244,0.83924
5,0.34772,0.96099,0.0,0.0,0.0,0.0,0.0,1.30871,0.83917,0.57246,0.83924
6,0.34141,0.95879,0.0,0.0,0.0,0.0,0.0,1.3002,0.83815,0.5829,0.83924
7,0.33881,0.95919,0.0,0.0,0.0,0.0,0.0,1.298,0.83565,0.54642,0.83924
8,0.33155,0.95646,0.0,0.0,0.0,0.0,0.0,1.288,0.84195,0.5745,0.84195
9,0.32529,0.95687,0.0,0.0,0.0,0.0,0.0,1.28216,0.842,0.57675,0.842
10,0.32167,0.95739,0.0,0.0,0.0,0.0,0.0,1.27906,0.84178,0.56902,0.842
11,0.31465,0.95715,0.0,0.0,0.0,0.0,0.0,1.2718,0.8403,0.59064,0.842
12,0.30853,0.95708,0.0,0.0,0.0,0.0,0.0,1.26561,0.8402,0.56371,0.842
13,0.30156,0.95922,0.0,0.0,0.0,0.0,0.0,1.26078,0.83827,0.57407,0.842
14,0.29403,0.96049,0.0,0.0,0.0,0.0,0.0,1.25452,0.84443,0.57151,0.84443
15,0.28374,0.9614,0.0,0.0,0.0,0.0,0.0,1.24514,0.83736,0.56388,0.84443
16,0.27776,0.96494,0.0,0.0,0.0,0.0,0.0,1.2427,0.8399,0.59003,0.84443
17,0.27275,0.96825,0.0,0.0,0.0,0.0,0.0,1.24099,0.8338,0.59768,0.84443
18,0.25668,0.96994,0.0,0.0,0.0,0.0,0.0,1.22661,0.83879,0.54198,0.84443
19,0.24156,0.97292,0.0,0.0,0.0,0.0,0.0,1.21448,0.83869,0.56806,0.84443
20,0.22697,0.97766,0.0,0.0,0.0,0.0,0.0,1.20463,0.83461,0.56897,0.84443
21,0.2155,0.9814,0.0,0.0,0.0,0.0,0.0,1.1969,0.83584,0.5827,0.84443
22,0.20086,0.98552,0.0,0.0,0.0,0.0,0.0,1.18638,0.83576,0.56495,0.84443
23,0.19051,0.98928,0.0,0.0,0.0,0.0,0.0,1.1798,0.83278,0.56617,0.84443
24,0.18034,0.99059,0.0,0.0,0.0,0.0,0.0,1.17092,0.83956,0.59007,0.84443
25,0.17073,0.99476,0.0,0.0,0.0,0.0,0.0,1.16549,0.83636,0.56175,0.84443
26,0.16383,0.99498,0.0,0.0,0.0,0.0,0.0,1.15881,0.83562,0.56883,0.84443
27,0.15759,0.99702,0.0,0.0,0.0,0.0,0.0,1.15461,0.83466,0.56562,0.84443
28,0.15593,0.99777,0.0,0.0,0.0,0.0,0.0,1.1537,0.83645,0.58907,0.84443
29,0.15289,0.99828,0.0,0.0,0.0,0.0,0.0,1.15117,0.83717,0.57731,0.84443
30,0.14879,0.99924,0.0,0.0,0.0,0.0,0.0,1.14803,0.84004,0.5923,0.84443
31,0.14683,0.99851,0.0,0.0,0.0,0.0,0.0,1.14534,0.8377,0.57479,0.84443
32,0.14504,0.9995,0.0,0.0,0.0,0.0,0.0,1.14455,0.83791,0.58001,0.84443
33,0.1433,0.99876,0.0,0.0,0.0,0.0,0.0,1.14206,0.83964,0.59067,0.84443
34,0.14282,0.99893,0.0,0.0,0.0,0.0,0.0,1.14175,0.83993,0.57303,0.84443
35,0.14063,0.99892,0.0,0.0,0.0,0.0,0.0,1.13956,0.83959,0.58463,0.84443
36,0.14029,0.9998,0.0,0.0,0.0,0.0,0.0,1.14009,0.83926,0.58442,0.84443
37,0.14007,0.99908,0.0,0.0,0.0,0.0,0.0,1.13915,0.83993,0.58362,0.84443
38,0.13858,0.9985,0.0,0.0,0.0,0.0,0.0,1.13707,0.84027,0.58714,0.84443
39,0.13867,0.99966,0.0,0.0,0.0,0.0,0.0,1.13833,0.84018,0.56527,0.84443
40,0.13761,0.99759,0.0,0.0,0.0,0.0,0.0,1.1352,0.84043,0.58666,0.84443
41,0.13685,0.9987,0.0,0.0,0.0,0.0,0.0,1.13554,0.84076,0.58177,0.84443
42,0.1371,0.99966,0.0,0.0,0.0,0.0,0.0,1.13676,0.83917,0.57416,0.84443
43,0.13599,0.99801,0.0,0.0,0.0,0.0,0.0,1.13401,0.84101,0.5722,0.84443
44,0.13645,0.99836,0.0,0.0,0.0,0.0,0.0,1.13481,0.84028,0.58621,0.84443
45,0.13614,0.99896,0.0,0.0,0.0,0.0,0.0,1.1351,0.83968,0.57931,0.84443
46,0.1365,0.99883,0.0,0.0,0.0,0.0,0.0,1.13532,0.84117,0.58438,0.84443
47,0.13736,0.99994,0.0,0.0,0.0,0.0,0.0,1.1373,0.84066,0.57077,0.84443
48,0.13644,0.9985,0.0,0.0,0.0,0.0,0.0,1.13494,0.84065,0.56638,0.84443
49,0.13489,0.99893,0.0,0.0,0.0,0.0,0.0,1.13382,0.84103,0.5748,0.84443
50,0.13444,0.99852,0.0,0.0,0.0,0.0,0.0,1.13296,0.84139,0.5892,0.84443
51,0.13497,0.99935,0.0,0.0,0.0,0.0,0.0,1.13432,0.84148,0.58383,0.84443
52,0.13442,0.9988,0.0,0.0,0.0,0.0,0.0,1.13322,0.84268,0.57513,0.84443
53,0.13358,0.99717,0.0,0.0,0.0,0.0,0.0,1.13075,0.8416,0.58051,0.84443
54,0.13394,0.9988,0.0,0.0,0.0,0.0,0.0,1.13274,0.84113,0.58254,0.84443
55,0.13387,0.9984,0.0,0.0,0.0,0.0,0.0,1.13227,0.84174,0.57816,0.84443
56,0.13392,0.99884,0.0,0.0,0.0,0.0,0.0,1.13276,0.84216,0.57307,0.84443
57,0.13396,0.99916,0.0,0.0,0.0,0.0,0.0,1.13312,0.84141,0.57653,0.84443
58,0.1344,0.99831,0.0,0.0,0.0,0.0,0.0,1.13271,0.84163,0.57978,0.84443
59,0.13298,0.99758,0.0,0.0,0.0,0.0,0.0,1.13056,0.84208,0.57014,0.84443
60,0.13377,0.99879,0.0,0.0,0.0,0.0,0.0,1.13256,0.84192,0.57564,0.84443
61,0.13334,0.99811,0.0,0.0,0.0,0.0,0.0,1.13145,0.84174,0.5802,0.84443
62,0.13351,0.9982,0.0,0.0,0.0,0.0,0.0,1.13171,0.84217,0.58406,0.84443
63,0.13289,0.99784,0.0,0.0,0.0,0.0,0.0,1.13073,0.84235,0.58507,0.84443
64,0.1329,0.99775,0.0,0.0,0.0,0.0,0.0,1.13065,0.84198,0.58656,0.84443
65,0.13318,0.99852,0.0,0.0,0.0,0.0,0.0,1.13169,0.84178,0.58002,0.84443
66,0.13316,0.99762,0.0,0.0,0.0,0.0,0.0,1.13078,0.84236,0.58287,0.84443
67,0.13284,0.99811,0.0,0.0,0.0,0.0,0.0,1.13095,0.84205,0.59143,0.84443
68,0.1325,0.99826,0.0,0.0,0.0,0.0,0.0,1.13076,0.84207,0.57793,0.84443
69,0.13261,0.99749,0.0,0.0,0.0,0.0,0.0,1.1301,0.84282,0.58699,0.84443
70,0.13259,0.99761,0.0,0.0,0.0,0.0,0.0,1.13019,0.84259,0.5762,0.84443
71,0.1325,0.99794,0.0,0.0,0.0,0.0,0.0,1.13044,0.84228,0.58001,0.84443
72,0.13215,0.99779,0.0,0.0,0.0,0.0,0.0,1.12994,0.84266,0.58812,0.84443
73,0.13231,0.99784,0.0,0.0,0.0,0.0,0.0,1.13014,0.84206,0.5804,0.84443
74,0.13211,0.99815,0.0,0.0,0.0,0.0,0.0,1.13027,0.84293,0.58873,0.84443
75,0.13257,0.99799,0.0,0.0,0.0,0.0,0.0,1.13056,0.8424,0.57975,0.84443
76,0.13212,0.99755,0.0,0.0,0.0,0.0,0.0,1.12967,0.8423,0.57471,0.84443
77,0.13212,0.99729,0.0,0.0,0.0,0.0,0.0,1.12942,0.84221,0.57575,0.84443
78,0.13208,0.99786,0.0,0.0,0.0,0.0,0.0,1.12994,0.84242,0.57658,0.84443
79,0.13171,0.99803,0.0,0.0,0.0,0.0,0.0,1.12974,0.84208,0.58577,0.84443
80,0.13226,0.99737,0.0,0.0,0.0,0.0,0.0,1.12963,0.84261,0.5812,0.84443
81,0.13196,0.99743,0.0,0.0,0.0,0.0,0.0,1.12939,0.84235,0.58052,0.84443
82,0.13179,0.99762,0.0,0.0,0.0,0.0,0.0,1.12941,0.84201,0.58122,0.84443
83,0.13191,0.99792,0.0,0.0,0.0,0.0,0.0,1.12983,0.84238,0.57758,0.84443
84,0.13172,0.99692,0.0,0.0,0.0,0.0,0.0,1.12864,0.84245,0.57722,0.84443
85,0.13176,0.99714,0.0,0.0,0.0,0.0,0.0,1.12889,0.84235,0.57515,0.84443
86,0.13187,0.99665,0.0,0.0,0.0,0.0,0.0,1.12852,0.84254,0.58242,0.84443
87,0.13143,0.99809,0.0,0.0,0.0,0.0,0.0,1.12952,0.84268,0.57455,0.84443
88,0.13149,0.99618,0.0,0.0,0.0,0.0,0.0,1.12766,0.84259,0.57953,0.84443
89,0.13155,0.99807,0.0,0.0,0.0,0.0,0.0,1.12962,0.84265,0.57683,0.84443
90,0.13202,0.99715,0.0,0.0,0.0,0.0,0.0,1.12917,0.84237,0.57997,0.84443
91,0.13158,0.99736,0.0,0.0,0.0,0.0,0.0,1.12894,0.8425,0.58008,0.84443
92,0.13155,0.9976,0.0,0.0,0.0,0.0,0.0,1.12915,0.84251,0.58196,0.84443
93,0.13152,0.99757,0.0,0.0,0.0,0.0,0.0,1.1291,0.84259,0.57772,0.84443
94,0.13136,0.9969,0.0,0.0,0.0,0.0,0.0,1.12826,0.84267,0.57655,0.84443
95,0.13178,0.99718,0.0,0.0,0.0,0.0,0.0,1.12896,0.84255,0.57742,0.84443
96,0.13138,0.99778,0.0,0.0,0.0,0.0,0.0,1.12917,0.84264,0.57749,0.84443
97,0.13138,0.99724,0.0,0.0,0.0,0.0,0.0,1.12863,0.84252,0.58033,0.84443
98,0.13179,0.99693,0.0,0.0,0.0,0.0,0.0,1.12872,0.84256,0.58469,0.84443
99,0.13125,0.99673,0.0,0.0,0.0,0.0,0.0,1.12798,0.84252,0.57547,0.84443
100,0.13133,0.9969,0.0,0.0,0.0,0.0,0.0,1.12823,0.84257,0.58114,0.84443
