epoch,bce,kd,crf,feat,att,label_corr,akd_weight,total,val_auc,val_f1,best_val_auc
1,0.45528,1.0919,0.0,0.0,0.0,0.000215,0.0,1.54718,0.80611,0.48374,0.80611
2,0.37641,0.98708,0.0,0.0,0.0,0.000109,0.0,1.3635,0.82892,0.53306,0.82892
3,0.36364,0.97213,0.0,0.0,0.0,0.000118,0.0,1.33577,0.83828,0.59307,0.83828
4,0.35422,0.96586,0.0,0.0,0.0,0.000126,0.0,1.32008,0.8395,0.56864,0.8395
5,0.34771,0.9611,0.0,0.0,0.0,0.000126,0.0,1.30881,0.83964,0.5702,0.83964
6,0.34133,0.95879,0.0,0.0,0.0,0.000135,0.0,1.30012,0.83826,0.58139,0.83964
7,0.3388,0.9593,0.0,0.0,0.0,0.000141,0.0,1.2981,0.8355,0.54999,0.83964
8,0.33155,0.95645,0.0,0.0,0.0,0.000142,0.0,1.288,0.84189,0.57431,0.84189
9,0.32497,0.95669,0.0,0.0,0.0,0.000154,0.0,1.28166,0.84238,0.58193,0.84238
10,0.32146,0.95745,0.0,0.0,0.0,0.000161,0.0,1.27891,0.84196,0.56908,0.84238
11,0.31461,0.95703,0.0,0.0,0.0,0.000153,0.0,1.27163,0.84053,0.59084,0.84238
12,0.30838,0.95715,0.0,0.0,0.0,0.000165,0.0,1.26553,0.84132,0.56813,0.84238
13,0.30111,0.9592,0.0,0.0,0.0,0.000175,0.0,1.26031,0.83929,0.58148,0.84238
14,0.29376,0.96068,0.0,0.0,0.0,0.000184,0.0,1.25444,0.84301,0.57683,0.84301
15,0.2845,0.96163,0.0,0.0,0.0,0.000193,0.0,1.24613,0.83816,0.57238,0.84301
16,0.27794,0.96484,0.0,0.0,0.0,0.0002,0.0,1.24279,0.83952,0.58214,0.84301
17,0.27007,0.9679,0.0,0.0,0.0,0.000216,0.0,1.23798,0.83496,0.59405,0.84301
18,0.25519,0.97042,0.0,0.0,0.0,0.000229,0.0,1.22561,0.83925,0.54888,0.84301
19,0.23963,0.97335,0.0,0.0,0.0,0.000248,0.0,1.21298,0.83926,0.57111,0.84301
20,0.22409,0.97854,0.0,0.0,0.0,0.000269,0.0,1.20263,0.83522,0.57248,0.84301
21,0.21489,0.98158,0.0,0.0,0.0,0.000291,0.0,1.19647,0.83468,0.5783,0.84301
22,0.19812,0.98652,0.0,0.0,0.0,0.000306,0.0,1.18464,0.83669,0.57321,0.84301
23,0.19005,0.98904,0.0,0.0,0.0,0.000315,0.0,1.17909,0.8346,0.58412,0.84301
24,0.17834,0.99109,0.0,0.0,0.0,0.000331,0.0,1.16943,0.83939,0.57698,0.84301
25,0.17072,0.99472,0.0,0.0,0.0,0.000345,0.0,1.16544,0.83499,0.56194,0.84301
26,0.16512,0.9951,0.0,0.0,0.0,0.000352,0.0,1.16022,0.83309,0.56877,0.84301
27,0.15856,0.99739,0.0,0.0,0.0,0.000361,0.0,1.15596,0.83625,0.57378,0.84301
28,0.15651,0.99781,0.0,0.0,0.0,0.000368,0.0,1.15433,0.83776,0.58704,0.84301
29,0.15218,0.99827,0.0,0.0,0.0,0.000365,0.0,1.15045,0.83873,0.58777,0.84301
30,0.1486,0.99913,0.0,0.0,0.0,0.000378,0.0,1.14773,0.83904,0.58236,0.84301
31,0.14613,0.99898,0.0,0.0,0.0,0.000388,0.0,1.14512,0.83738,0.57353,0.84301
32,0.14541,0.99971,0.0,0.0,0.0,0.000383,0.0,1.14512,0.83588,0.58622,0.84301
33,0.14359,0.99848,0.0,0.0,0.0,0.000386,0.0,1.14207,0.83888,0.57868,0.84301
34,0.14201,0.99892,0.0,0.0,0.0,0.000387,0.0,1.14093,0.83953,0.57272,0.84301
35,0.14022,0.99902,0.0,0.0,0.0,0.000392,0.0,1.13924,0.83978,0.58061,0.84301
36,0.14011,0.99983,0.0,0.0,0.0,0.000391,0.0,1.13994,0.83919,0.57885,0.84301
37,0.14041,0.99908,0.0,0.0,0.0,0.00039,0.0,1.1395,0.84,0.57983,0.84301
38,0.13901,0.99862,0.0,0.0,0.0,0.000392,0.0,1.13763,0.83986,0.58468,0.84301
39,0.13864,0.99983,0.0,0.0,0.0,0.000399,0.0,1.13847,0.8401,0.57118,0.84301
40,0.13717,0.99759,0.0,0.0,0.0,0.000392,0.0,1.13477,0.84049,0.57952,0.84301
41,0.13683,0.99884,0.0,0.0,0.0,0.000397,0.0,1.13567,0.84062,0.58367,0.84301
42,0.13717,0.99958,0.0,0.0,0.0,0.000397,0.0,1.13675,0.83933,0.56948,0.84301
43,0.13581,0.99803,0.0,0.0,0.0,0.000397,0.0,1.13384,0.8407,0.57193,0.84301
