variant_id,akd_mode,w500,w100,temperature,AUC_macro,F1_tuned,F1_at_0.5,NORM_AUC,MI_AUC,STTC_AUC,CD_AUC,HYP_AUC,NORM_F1,MI_F1,STTC_F1,CD_F1,HYP_F1,akd_gamma,akd_min_weight,label_corr_weight,best_epoch,seed,notes
F02T01,base,0.6,0.4,1.5,0.84644,0.62544,0.57138,0.90049,0.82173,0.87417,0.86444,0.77135,0.81134,0.59179,0.66369,0.67767,0.38274,,,,0.85037,0,baseline
AKD01,confidence,0.6,0.4,1.5,0.833,0.61867,0.55253,0.88773,0.80631,0.87115,0.85935,0.74046,0.80688,0.58503,0.66495,0.66149,0.375,1.0,0.0,0.0,0.84225,0,failed — confidence weighting
AKD02,agreement,0.6,0.4,1.5,0.84058,0.61575,0.57171,0.89724,0.81577,0.8732,0.85659,0.76012,0.81406,0.57515,0.66729,0.66526,0.35701,1.0,0.0,0.0,0.8436,0,failed — agreement weighting
AKD03,confidence_agreement,0.6,0.4,1.5,0.83098,0.61673,0.54421,0.8862,0.80267,0.87076,0.85796,0.73731,0.80593,0.58944,0.66667,0.65953,0.36207,1.0,0.0,0.0,0.84109,0,failed — conf×agree γ=1.0
AKD04,confidence_agreement,0.6,0.4,1.5,0.8363,0.61692,0.55793,0.88919,0.79699,0.87251,0.86364,0.75915,0.81081,0.57857,0.65431,0.67045,0.37047,0.5,0.0,0.0,0.84102,0,failed — conf×agree γ=0.5
AKD05,confidence_agreement,0.6,0.4,1.5,0.83194,0.60881,0.53885,0.88757,0.80011,0.87144,0.86136,0.73922,0.80771,0.56777,0.65651,0.66593,0.34611,2.0,0.0,0.0,0.83829,0,failed — conf×agree γ=2.0
AKD06,confidence_agreement,0.6,0.4,1.5,0.83543,0.62139,0.56087,0.89093,0.80969,0.87269,0.86071,0.74312,0.80624,0.58796,0.6639,0.67229,0.37658,1.0,0.25,0.0,0.84348,0,failed — conf×agree min_w=0.25
CKD01,class_reliability,0.6,0.4,1.5,0.83987,0.62213,0.57074,0.89486,0.8147,0.8734,0.85635,0.76006,0.81288,0.58863,0.66551,0.67394,0.36968,1.0,0.0,0.0,0.84294,0,
CKD02,class_reliability,0.6,0.4,1.5,0.83563,0.61808,0.57622,0.89208,0.81466,0.87531,0.861,0.73509,0.8103,0.59295,0.66558,0.67519,0.34639,1.0,0.0,0.0,0.84236,0,
CKD03,class_reliability,0.6,0.4,1.5,0.83705,0.61801,0.58157,0.89645,0.81335,0.87106,0.86146,0.7429,0.81034,0.59626,0.65406,0.67896,0.35044,1.0,0.0,0.0,0.84539,0,
DKD01,dynamic_weight,0.6,0.4,1.5,0.84434,0.62606,0.58559,0.90002,0.82609,0.87434,0.86096,0.76028,0.80676,0.60082,0.65644,0.67043,0.39587,1.0,0.0,0.0,0.84963,0,
DKD02,dynamic_weight,0.6,0.4,1.5,0.84567,0.62576,0.58348,0.89798,0.81923,0.8757,0.86485,0.77061,0.80445,0.5899,0.66553,0.69025,0.37868,1.0,0.0,0.0,0.8496,0,
DKD03,dynamic_weight,0.6,0.4,1.5,0.84433,0.62692,0.58943,0.90027,0.82622,0.87468,0.86114,0.75931,0.80929,0.60128,0.66113,0.68702,0.37589,1.0,0.0,0.0,0.84995,0,
EKD01,ensemble_prob,0.6,0.4,1.5,0.84134,0.62084,0.57324,0.89614,0.81649,0.87457,0.85956,0.75994,0.81297,0.59603,0.67059,0.66002,0.3646,1.0,0.0,0.0,0.84443,0,failed — ensemble_prob
EKD02,ensemble_logit,0.6,0.4,1.5,0.84276,0.62215,0.56741,0.89698,0.81636,0.87488,0.85974,0.76586,0.81467,0.59044,0.66842,0.6757,0.36149,1.0,0.0,0.0,0.8435,0,failed — ensemble_logit
LCKD01,label_correlation,0.6,0.4,1.5,0.84113,0.62223,0.57511,0.89614,0.81459,0.8761,0.85873,0.76008,0.81218,0.59825,0.6661,0.6724,0.36224,1.0,0.0,0.001,0.84301,0,
LCKD02,label_correlation,0.6,0.4,1.5,0.84233,0.62385,0.57703,0.8965,0.81555,0.87595,0.86163,0.76204,0.8159,0.59455,0.6769,0.67505,0.35686,1.0,0.0,0.003,0.84464,0,
LCKD03,label_correlation,0.6,0.4,1.5,0.84144,0.61712,0.5724,0.89641,0.8151,0.87455,0.85962,0.76151,0.81403,0.6035,0.64613,0.66808,0.35385,1.0,0.0,0.005,0.84336,0,
