method,lead,hz,losses,seed,class,auc,f1_0_5,f1_tuned,precision,recall,specificity,support,positive_rate
II_50hz_bce,II,50,bce,0,NORM,0.8694,0.7847,0.7869,0.733,0.8494,0.7506,963,0.4462
II_50hz_bce,II,50,bce,0,MI,0.7728,0.4209,0.5337,0.5143,0.5545,0.8209,550,0.2549
II_50hz_bce,II,50,bce,0,STTC,0.8386,0.5661,0.6039,0.6172,0.5912,0.8833,521,0.2414
II_50hz_bce,II,50,bce,0,CD,0.8076,0.5259,0.5971,0.5784,0.6169,0.8658,496,0.2298
II_50hz_bce,II,50,bce,0,HYP,0.7421,0.2056,0.3485,0.304,0.4084,0.8708,262,0.1214
"II_50hz_bce,ta_mkd,feature",II,50,"bce,ta_mkd,feature",0,NORM,0.8871,0.7915,0.8,0.7388,0.8723,0.7515,963,0.4462
"II_50hz_bce,ta_mkd,feature",II,50,"bce,ta_mkd,feature",0,MI,0.7951,0.4896,0.5757,0.5084,0.6636,0.7805,550,0.2549
"II_50hz_bce,ta_mkd,feature",II,50,"bce,ta_mkd,feature",0,STTC,0.8675,0.5842,0.635,0.528,0.7965,0.7734,521,0.2414
"II_50hz_bce,ta_mkd,feature",II,50,"bce,ta_mkd,feature",0,CD,0.8485,0.6295,0.6586,0.7201,0.6069,0.9296,496,0.2298
"II_50hz_bce,ta_mkd,feature",II,50,"bce,ta_mkd,feature",0,HYP,0.7364,0.2391,0.3641,0.2704,0.5573,0.7922,262,0.1214
"II_50hz_bce,ta_mkd",II,50,"bce,ta_mkd",0,NORM,0.8871,0.7983,0.799,0.7502,0.8546,0.7707,963,0.4462
"II_50hz_bce,ta_mkd",II,50,"bce,ta_mkd",0,MI,0.7894,0.4393,0.5655,0.5043,0.6436,0.7836,550,0.2549
"II_50hz_bce,ta_mkd",II,50,"bce,ta_mkd",0,STTC,0.8628,0.545,0.6473,0.5712,0.7466,0.8216,521,0.2414
"II_50hz_bce,ta_mkd",II,50,"bce,ta_mkd",0,CD,0.845,0.649,0.649,0.7595,0.5665,0.9465,496,0.2298
"II_50hz_bce,ta_mkd",II,50,"bce,ta_mkd",0,HYP,0.7313,0.2331,0.3675,0.3201,0.4313,0.8734,262,0.1214
"II_50hz_bce,ta_mkd,ta_crf,feature",II,50,"bce,ta_mkd,ta_crf,feature",0,NORM,0.8904,0.7996,0.7978,0.725,0.8868,0.7289,963,0.4462
"II_50hz_bce,ta_mkd,ta_crf,feature",II,50,"bce,ta_mkd,ta_crf,feature",0,MI,0.7985,0.4431,0.5786,0.5097,0.6691,0.7799,550,0.2549
"II_50hz_bce,ta_mkd,ta_crf,feature",II,50,"bce,ta_mkd,ta_crf,feature",0,STTC,0.8704,0.6007,0.6378,0.5475,0.7639,0.799,521,0.2414
"II_50hz_bce,ta_mkd,ta_crf,feature",II,50,"bce,ta_mkd,ta_crf,feature",0,CD,0.8451,0.6181,0.6439,0.7105,0.5887,0.9284,496,0.2298
"II_50hz_bce,ta_mkd,ta_crf,feature",II,50,"bce,ta_mkd,ta_crf,feature",0,HYP,0.7455,0.2659,0.3722,0.323,0.4389,0.8729,262,0.1214
"II_50hz_bce,ta_mkd,ta_crf",II,50,"bce,ta_mkd,ta_crf",0,NORM,0.8884,0.7959,0.7993,0.7206,0.8972,0.7197,963,0.4462
"II_50hz_bce,ta_mkd,ta_crf",II,50,"bce,ta_mkd,ta_crf",0,MI,0.7934,0.4799,0.5676,0.4799,0.6945,0.7425,550,0.2549
"II_50hz_bce,ta_mkd,ta_crf",II,50,"bce,ta_mkd,ta_crf",0,STTC,0.8678,0.5821,0.6255,0.5109,0.8061,0.7544,521,0.2414
"II_50hz_bce,ta_mkd,ta_crf",II,50,"bce,ta_mkd,ta_crf",0,CD,0.8498,0.6304,0.6583,0.6856,0.6331,0.9134,496,0.2298
"II_50hz_bce,ta_mkd,ta_crf",II,50,"bce,ta_mkd,ta_crf",0,HYP,0.742,0.2493,0.3627,0.2689,0.5573,0.7906,262,0.1214
"II_50hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,50,"bce,teacher_mkd,ta_mkd,ta_crf,feature",0,NORM,0.888,0.8002,0.8,0.7191,0.9013,0.7163,963,0.4462
"II_50hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,50,"bce,teacher_mkd,ta_mkd,ta_crf,feature",0,MI,0.7962,0.4162,0.5762,0.4941,0.6909,0.7581,550,0.2549
"II_50hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,50,"bce,teacher_mkd,ta_mkd,ta_crf,feature",0,STTC,0.869,0.5894,0.6623,0.6443,0.6814,0.8803,521,0.2414
"II_50hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,50,"bce,teacher_mkd,ta_mkd,ta_crf,feature",0,CD,0.8466,0.6288,0.6533,0.6867,0.623,0.9152,496,0.2298
"II_50hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,50,"bce,teacher_mkd,ta_mkd,ta_crf,feature",0,HYP,0.7503,0.2458,0.3766,0.2824,0.5649,0.8017,262,0.1214
