model_name,method_name,model_type,lead,hz,losses,seed,macro_auc,macro_f1_0_5,macro_f1_tuned,metrics_json,auc_NORM,auc_MI,auc_STTC,auc_CD,auc_HYP,f1_tuned_NORM,f1_tuned_MI,f1_tuned_STTC,f1_tuned_CD,f1_tuned_HYP,checkpoint,predictions_csv
student_II_100hz_bce_seed0,II_100hz_bce,student,II,100,bce,0,0.81685,0.53923,0.58646,dafd_mvkt/outputs/metrics_test_student_II_100hz_bce_seed0.json,0.87794,0.78571,0.86414,0.80972,0.74675,0.78249,0.54899,0.64019,0.59195,0.36865,dafd_mvkt/outputs/student_II_100hz_bce_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_II_100hz_bce_seed0.csv
student_II_100hz_bce_ta_mkd_feature_seed0,"II_100hz_bce,ta_mkd,feature",student,II,100,"bce,ta_mkd,feature",0,0.8374,0.55496,0.62254,dafd_mvkt/outputs/metrics_test_student_II_100hz_bce_ta_mkd_feature_seed0.json,0.8929,0.80899,0.87496,0.85836,0.75178,0.80263,0.58195,0.65579,0.68293,0.38941,dafd_mvkt/outputs/student_II_100hz_bce_ta_mkd_feature_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_II_100hz_bce_ta_mkd_feature_seed0.csv
student_II_100hz_bce_ta_mkd_seed0,"II_100hz_bce,ta_mkd",student,II,100,"bce,ta_mkd",0,0.83795,0.55866,0.61814,dafd_mvkt/outputs/metrics_test_student_II_100hz_bce_ta_mkd_seed0.json,0.89545,0.8074,0.87749,0.85702,0.75237,0.80726,0.58533,0.665,0.66527,0.36782,dafd_mvkt/outputs/student_II_100hz_bce_ta_mkd_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_II_100hz_bce_ta_mkd_seed0.csv
student_II_100hz_bce_ta_mkd_ta_crf_feature_clecg_seed0,"II_100hz_bce,ta_mkd,ta_crf,feature_clecg",student,II,100,"bce,ta_mkd,ta_crf,feature",0,0.84123,0.55449,0.61871,dafd_mvkt/outputs/metrics_test_student_II_100hz_bce_ta_mkd_ta_crf_feature_clecg_seed0.json,0.89488,0.81218,0.87418,0.85723,0.7677,0.80712,0.57343,0.6517,0.67971,0.3816,dafd_mvkt/outputs/student_II_100hz_bce_ta_mkd_ta_crf_feature_clecg_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_II_100hz_bce_ta_mkd_ta_crf_feature_clecg_seed0.csv
student_II_100hz_bce_ta_mkd_ta_crf_feature_clecgta_clecg_seed0,"II_100hz_bce,ta_mkd,ta_crf,feature_clecgta_clecg",student,II,100,"bce,ta_mkd,ta_crf,feature",0,0.84248,0.57125,0.62313,dafd_mvkt/outputs/metrics_test_student_II_100hz_bce_ta_mkd_ta_crf_feature_clecgta_clecg_seed0.json,0.89606,0.82183,0.87148,0.86246,0.76058,0.80602,0.59361,0.66251,0.68182,0.37168,dafd_mvkt/outputs/student_II_100hz_bce_ta_mkd_ta_crf_feature_clecgta_clecg_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_II_100hz_bce_ta_mkd_ta_crf_feature_clecgta_clecg_seed0.csv
student_II_100hz_bce_ta_mkd_ta_crf_feature_seed0,"II_100hz_bce,ta_mkd,ta_crf,feature",student,II,100,"bce,ta_mkd,ta_crf,feature",0,0.83973,0.55342,0.6195,dafd_mvkt/outputs/metrics_test_student_II_100hz_bce_ta_mkd_ta_crf_feature_seed0.json,0.89669,0.81181,0.87651,0.85866,0.75498,0.81036,0.58629,0.66499,0.67025,0.36562,dafd_mvkt/outputs/student_II_100hz_bce_ta_mkd_ta_crf_feature_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_II_100hz_bce_ta_mkd_ta_crf_feature_seed0.csv
student_II_100hz_bce_ta_mkd_ta_crf_seed0,"II_100hz_bce,ta_mkd,ta_crf",student,II,100,"bce,ta_mkd,ta_crf",0,0.8392,0.5554,0.61538,dafd_mvkt/outputs/metrics_test_student_II_100hz_bce_ta_mkd_ta_crf_seed0.json,0.89502,0.81359,0.87529,0.85729,0.75479,0.8089,0.59325,0.66162,0.64465,0.36849,dafd_mvkt/outputs/student_II_100hz_bce_ta_mkd_ta_crf_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_II_100hz_bce_ta_mkd_ta_crf_seed0.csv
student_II_100hz_bce_teacher_mkd_ta_mkd_ta_crf_feature_seed0,"II_100hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",student,II,100,"bce,teacher_mkd,ta_mkd,ta_crf,feature",0,0.83893,0.55992,0.62343,dafd_mvkt/outputs/metrics_test_student_II_100hz_bce_teacher_mkd_ta_mkd_ta_crf_feature_seed0.json,0.89591,0.81118,0.87597,0.85587,0.75572,0.80637,0.59003,0.67161,0.67515,0.37398,dafd_mvkt/outputs/student_II_100hz_bce_teacher_mkd_ta_mkd_ta_crf_feature_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_II_100hz_bce_teacher_mkd_ta_mkd_ta_crf_feature_seed0.csv
student_II_50hz_bce_gated_kd_feature_seed0,"II_50hz_bce,gated_kd,feature",student,II,50,"bce,gated_kd,feature",0,0.82296,0.53477,0.59568,dafd_mvkt/outputs/metrics_test_student_II_50hz_bce_gated_kd_feature_seed0.json,0.88372,0.78737,0.8624,0.8448,0.73652,0.79827,0.56604,0.63291,0.62227,0.35889,dafd_mvkt/outputs/student_II_50hz_bce_gated_kd_feature_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_II_50hz_bce_gated_kd_feature_seed0.csv
student_II_50hz_bce_gated_kd_seed0,"II_50hz_bce,gated_kd",student,II,50,"bce,gated_kd",0,0.81819,0.53994,0.59689,dafd_mvkt/outputs/metrics_test_student_II_50hz_bce_gated_kd_seed0.json,0.88401,0.78685,0.86256,0.83658,0.72093,0.79508,0.55941,0.63289,0.65166,0.34543,dafd_mvkt/outputs/student_II_50hz_bce_gated_kd_seed0_best.pt,dafd_mvkt/outputs/predictions_test_student_II_50hz_bce_gated_kd_seed0.csv
