method_name,lead,hz,losses,n_seeds,class,auc_mean,auc_std,f1_0_5_mean,f1_0_5_std,f1_tuned_mean,f1_tuned_std
II_100hz_bce,II,100,bce,1,NORM,0.87794,0.0,0.75953,0.0,0.78249,0.0
II_100hz_bce,II,100,bce,1,MI,0.78571,0.0,0.46328,0.0,0.54899,0.0
II_100hz_bce,II,100,bce,1,STTC,0.86414,0.0,0.64499,0.0,0.64019,0.0
II_100hz_bce,II,100,bce,1,CD,0.80972,0.0,0.53243,0.0,0.59195,0.0
II_100hz_bce,II,100,bce,1,HYP,0.74675,0.0,0.29592,0.0,0.36865,0.0
"II_100hz_bce,ta_mkd,feature",II,100,"bce,ta_mkd,feature",1,NORM,0.8929,0.0,0.80708,0.0,0.80263,0.0
"II_100hz_bce,ta_mkd,feature",II,100,"bce,ta_mkd,feature",1,MI,0.80899,0.0,0.52423,0.0,0.58195,0.0
"II_100hz_bce,ta_mkd,feature",II,100,"bce,ta_mkd,feature",1,STTC,0.87496,0.0,0.56527,0.0,0.65579,0.0
"II_100hz_bce,ta_mkd,feature",II,100,"bce,ta_mkd,feature",1,CD,0.85836,0.0,0.66739,0.0,0.68293,0.0
"II_100hz_bce,ta_mkd,feature",II,100,"bce,ta_mkd,feature",1,HYP,0.75178,0.0,0.21084,0.0,0.38941,0.0
"II_100hz_bce,ta_mkd",II,100,"bce,ta_mkd",1,NORM,0.89545,0.0,0.8016,0.0,0.80726,0.0
"II_100hz_bce,ta_mkd",II,100,"bce,ta_mkd",1,MI,0.8074,0.0,0.48808,0.0,0.58533,0.0
"II_100hz_bce,ta_mkd",II,100,"bce,ta_mkd",1,STTC,0.87749,0.0,0.62366,0.0,0.665,0.0
"II_100hz_bce,ta_mkd",II,100,"bce,ta_mkd",1,CD,0.85702,0.0,0.6644,0.0,0.66527,0.0
"II_100hz_bce,ta_mkd",II,100,"bce,ta_mkd",1,HYP,0.75237,0.0,0.21557,0.0,0.36782,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature",II,100,"bce,ta_mkd,ta_crf,feature",1,NORM,0.89669,0.0,0.8032,0.0,0.81036,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature",II,100,"bce,ta_mkd,ta_crf,feature",1,MI,0.81181,0.0,0.45122,0.0,0.58629,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature",II,100,"bce,ta_mkd,ta_crf,feature",1,STTC,0.87651,0.0,0.63294,0.0,0.66499,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature",II,100,"bce,ta_mkd,ta_crf,feature",1,CD,0.85866,0.0,0.64376,0.0,0.67025,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature",II,100,"bce,ta_mkd,ta_crf,feature",1,HYP,0.75498,0.0,0.23599,0.0,0.36562,0.0
"II_100hz_bce,ta_mkd,ta_crf",II,100,"bce,ta_mkd,ta_crf",1,NORM,0.89502,0.0,0.80363,0.0,0.8089,0.0
"II_100hz_bce,ta_mkd,ta_crf",II,100,"bce,ta_mkd,ta_crf",1,MI,0.81359,0.0,0.46931,0.0,0.59325,0.0
"II_100hz_bce,ta_mkd,ta_crf",II,100,"bce,ta_mkd,ta_crf",1,STTC,0.87529,0.0,0.63034,0.0,0.66162,0.0
"II_100hz_bce,ta_mkd,ta_crf",II,100,"bce,ta_mkd,ta_crf",1,CD,0.85729,0.0,0.64877,0.0,0.64465,0.0
"II_100hz_bce,ta_mkd,ta_crf",II,100,"bce,ta_mkd,ta_crf",1,HYP,0.75479,0.0,0.22492,0.0,0.36849,0.0
"II_100hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,100,"bce,teacher_mkd,ta_mkd,ta_crf,feature",1,NORM,0.89591,0.0,0.80565,0.0,0.80637,0.0
"II_100hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,100,"bce,teacher_mkd,ta_mkd,ta_crf,feature",1,MI,0.81118,0.0,0.48402,0.0,0.59003,0.0
"II_100hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,100,"bce,teacher_mkd,ta_mkd,ta_crf,feature",1,STTC,0.87597,0.0,0.60927,0.0,0.67161,0.0
"II_100hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,100,"bce,teacher_mkd,ta_mkd,ta_crf,feature",1,CD,0.85587,0.0,0.6431,0.0,0.67515,0.0
"II_100hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,100,"bce,teacher_mkd,ta_mkd,ta_crf,feature",1,HYP,0.75572,0.0,0.25753,0.0,0.37398,0.0
II_50hz_bce,II,50,bce,1,NORM,0.86943,0.0,0.78467,0.0,0.78692,0.0
II_50hz_bce,II,50,bce,1,MI,0.77281,0.0,0.42092,0.0,0.53368,0.0
II_50hz_bce,II,50,bce,1,STTC,0.83863,0.0,0.56612,0.0,0.60392,0.0
II_50hz_bce,II,50,bce,1,CD,0.80763,0.0,0.5259,0.0,0.59707,0.0
II_50hz_bce,II,50,bce,1,HYP,0.7421,0.0,0.20561,0.0,0.34853,0.0
"II_50hz_bce,ta_mkd,feature",II,50,"bce,ta_mkd,feature",1,NORM,0.88706,0.0,0.79148,0.0,0.8,0.0
"II_50hz_bce,ta_mkd,feature",II,50,"bce,ta_mkd,feature",1,MI,0.79509,0.0,0.48961,0.0,0.57571,0.0
"II_50hz_bce,ta_mkd,feature",II,50,"bce,ta_mkd,feature",1,STTC,0.86745,0.0,0.58419,0.0,0.63504,0.0
"II_50hz_bce,ta_mkd,feature",II,50,"bce,ta_mkd,feature",1,CD,0.84846,0.0,0.6295,0.0,0.65864,0.0
"II_50hz_bce,ta_mkd,feature",II,50,"bce,ta_mkd,feature",1,HYP,0.73643,0.0,0.23907,0.0,0.36409,0.0
"II_50hz_bce,ta_mkd",II,50,"bce,ta_mkd",1,NORM,0.88712,0.0,0.79828,0.0,0.79903,0.0
"II_50hz_bce,ta_mkd",II,50,"bce,ta_mkd",1,MI,0.78942,0.0,0.43926,0.0,0.5655,0.0
"II_50hz_bce,ta_mkd",II,50,"bce,ta_mkd",1,STTC,0.86281,0.0,0.54501,0.0,0.64725,0.0
"II_50hz_bce,ta_mkd",II,50,"bce,ta_mkd",1,CD,0.84501,0.0,0.64896,0.0,0.64896,0.0
"II_50hz_bce,ta_mkd",II,50,"bce,ta_mkd",1,HYP,0.73132,0.0,0.23313,0.0,0.36748,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature",II,50,"bce,ta_mkd,ta_crf,feature",1,NORM,0.89038,0.0,0.79961,0.0,0.79776,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature",II,50,"bce,ta_mkd,ta_crf,feature",1,MI,0.79848,0.0,0.44307,0.0,0.57862,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature",II,50,"bce,ta_mkd,ta_crf,feature",1,STTC,0.87044,0.0,0.60068,0.0,0.63782,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature",II,50,"bce,ta_mkd,ta_crf,feature",1,CD,0.84509,0.0,0.6181,0.0,0.64388,0.0
"II_50hz_bce,ta_mkd,ta_crf,feature",II,50,"bce,ta_mkd,ta_crf,feature",1,HYP,0.74553,0.0,0.26593,0.0,0.37217,0.0
"II_50hz_bce,ta_mkd,ta_crf",II,50,"bce,ta_mkd,ta_crf",1,NORM,0.88837,0.0,0.79592,0.0,0.79926,0.0
"II_50hz_bce,ta_mkd,ta_crf",II,50,"bce,ta_mkd,ta_crf",1,MI,0.7934,0.0,0.47991,0.0,0.56761,0.0
"II_50hz_bce,ta_mkd,ta_crf",II,50,"bce,ta_mkd,ta_crf",1,STTC,0.86778,0.0,0.58207,0.0,0.62547,0.0
"II_50hz_bce,ta_mkd,ta_crf",II,50,"bce,ta_mkd,ta_crf",1,CD,0.84982,0.0,0.63036,0.0,0.65828,0.0
"II_50hz_bce,ta_mkd,ta_crf",II,50,"bce,ta_mkd,ta_crf",1,HYP,0.74197,0.0,0.24928,0.0,0.36273,0.0
"II_50hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,50,"bce,teacher_mkd,ta_mkd,ta_crf,feature",1,NORM,0.888,0.0,0.80019,0.0,0.8,0.0
