epoch,train_loss,train_acc,val_loss,val_acc,lr
1,7.10153,0.02993,7.17303,0.01723,3.00e-04
2,7.08673,0.03142,7.07811,0.04313,3.00e-04
3,7.06385,0.03211,7.09406,0.03059,3.00e-04
4,7.09215,0.0347,7.12845,0.03589,2.99e-04
5,7.10887,0.03464,7.13235,0.02252,2.99e-04
6,7.11005,0.0301,7.11721,0.01693,2.98e-04
7,7.08241,0.02252,7.08053,0.01645,2.97e-04
8,7.02255,0.01878,7.0202,0.00694,2.96e-04
9,6.94685,0.01758,6.9311,0.01211,2.95e-04
10,6.85635,0.01511,6.82379,0.0082,2.94e-04
11,6.74253,0.01298,6.70884,0.00434,2.93e-04
12,6.62721,0.0116,6.59233,0.00434,2.91e-04
13,6.50248,0.01396,6.44699,0.01037,2.90e-04
14,6.36683,0.01672,6.27405,0.01341,2.88e-04
15,6.21406,0.02171,6.22388,0.02205,2.86e-04
16,6.10786,0.02447,6.08661,0.01935,2.84e-04
17,6.02713,0.02901,5.99711,0.03059,2.82e-04
18,5.95247,0.03757,5.92889,0.0368,2.79e-04
19,5.9063,0.04096,5.89641,0.0519,2.77e-04
20,5.83041,0.05348,5.88167,0.04206,2.74e-04
21,5.84748,0.05888,5.85707,0.05538,2.71e-04
22,5.86262,0.06037,5.96762,0.03984,2.69e-04
23,5.94353,0.0548,6.04556,0.03376,2.66e-04
24,6.05998,0.04366,6.10771,0.04101,2.63e-04
25,6.18425,0.03504,6.26019,0.0233,2.59e-04
26,6.26928,0.03079,6.33222,0.02335,2.56e-04
27,6.40091,0.02401,6.42284,0.02764,2.53e-04
28,6.44423,0.02298,6.46146,0.02287,2.49e-04
29,6.48738,0.02166,6.54199,0.01814,2.46e-04
30,6.50467,0.02131,6.50818,0.01158,2.42e-04
31,6.48943,0.02045,6.48176,0.01462,2.38e-04
32,6.47954,0.02108,6.44203,0.01597,2.35e-04
33,6.43932,0.02194,6.4133,0.02378,2.31e-04
34,6.39598,0.02355,6.42675,0.03016,2.27e-04
35,6.38152,0.02252,6.35423,0.02543,2.23e-04
36,6.36979,0.02304,6.3391,0.02538,2.18e-04
37,6.35498,0.02631,6.36369,0.02417,2.14e-04
38,6.34922,0.02671,6.3416,0.01857,2.10e-04
39,6.33164,0.02798,6.31991,0.02851,2.06e-04
40,6.34313,0.02619,6.32185,0.02426,2.01e-04
41,6.33531,0.02706,6.32802,0.02465,1.97e-04
42,6.34572,0.02792,6.30894,0.03025,1.92e-04
43,6.33098,0.02958,6.28849,0.02977,1.88e-04
44,6.33083,0.03022,6.34983,0.03324,1.83e-04
45,6.33368,0.02838,6.26094,0.03064,1.79e-04
46,6.32227,0.03096,6.25095,0.03402,1.74e-04
47,6.28199,0.03435,6.27292,0.0414,1.69e-04
48,6.24144,0.03872,6.23279,0.04396,1.65e-04
49,6.19538,0.04239,6.12502,0.03745,1.60e-04
50,6.14663,0.04538,6.16867,0.04686,1.55e-04
51,6.14034,0.04498,6.12028,0.05211,1.50e-04
52,6.16089,0.04176,6.16918,0.03667,1.46e-04
