epoch,train_loss,train_acc,val_loss,val_acc,lr
1,7.04607,0.03033,7.15007,0.0194,3.00e-04
2,7.08923,0.03228,7.09572,0.01818,3.00e-04
3,7.05428,0.03269,7.07403,0.02933,3.00e-04
4,7.0648,0.02884,7.12479,0.0276,2.99e-04
5,7.08878,0.02327,7.10006,0.02209,2.99e-04
6,7.08438,0.01614,7.1356,0.01558,2.98e-04
7,7.05481,0.01471,7.08819,0.00898,2.97e-04
8,7.02224,0.01453,7.0245,0.01081,2.96e-04
9,6.97462,0.01488,7.02691,0.00608,2.95e-04
10,6.9131,0.01195,6.98759,0.00347,2.94e-04
11,6.83947,0.01344,6.82154,0.01211,2.93e-04
12,6.75289,0.01298,6.73013,0.00781,2.91e-04
13,6.64888,0.01476,6.64996,0.01085,2.90e-04
14,6.55001,0.01373,6.56672,0.01081,2.88e-04
15,6.43241,0.01643,6.42798,0.01732,2.86e-04
16,6.32034,0.0185,6.31176,0.02291,2.84e-04
17,6.24604,0.02286,6.25616,0.01823,2.82e-04
18,6.17113,0.02057,6.15256,0.02074,2.79e-04
19,6.08814,0.02602,6.06367,0.01862,2.77e-04
20,5.9974,0.027,6.07395,0.01428,2.74e-04
21,5.91465,0.02964,6.05321,0.03411,2.71e-04
22,5.82317,0.03608,5.80479,0.03546,2.69e-04
23,5.73161,0.03786,5.70686,0.03676,2.66e-04
24,5.64771,0.04165,5.70658,0.03029,2.63e-04
25,5.6014,0.04636,5.59884,0.0332,2.59e-04
26,5.59741,0.04326,5.65304,0.03806,2.56e-04
27,5.62768,0.04573,5.78903,0.03102,2.53e-04
28,5.68682,0.03688,5.7824,0.04092,2.49e-04
29,5.74757,0.03653,6.16977,0.01723,2.46e-04
30,5.83884,0.03096,5.92505,0.03589,2.42e-04
31,5.91926,0.02619,5.99063,0.02113,2.38e-04
32,6.00112,0.02097,6.10649,0.01211,2.35e-04
33,6.07585,0.01654,6.14843,0.01467,2.31e-04
34,6.14213,0.01476,6.18416,0.02543,2.27e-04
35,6.17626,0.01379,6.25343,0.01037,2.23e-04
36,6.21213,0.01241,6.27061,0.01723,2.18e-04
37,6.24597,0.01212,6.30822,0.01549,2.14e-04
38,6.27204,0.01074,6.33599,0.01163,2.10e-04
39,6.29664,0.01028,6.36142,0.01298,2.06e-04
40,6.31836,0.00948,6.37036,0.00733,2.01e-04
41,6.32478,0.01,6.38024,0.01158,1.97e-04
42,6.34438,0.0081,6.41691,0.00902,1.92e-04
43,6.35722,0.00936,6.42929,0.00777,1.88e-04
44,6.38288,0.00867,6.49598,0.01163,1.83e-04
45,6.4018,0.00827,6.45849,0.00955,1.79e-04
46,6.41525,0.00873,6.45632,0.00864,1.74e-04
47,6.4202,0.00821,6.4744,0.00694,1.69e-04
48,6.43005,0.00793,6.45559,0.00907,1.65e-04
49,6.43363,0.00781,6.47517,0.00907,1.60e-04
50,6.44296,0.00896,6.46918,0.01037,1.55e-04
51,6.44138,0.00833,6.46793,0.00994,1.50e-04
52,6.43465,0.00833,6.49378,0.00946,1.46e-04
53,6.44452,0.00758,6.49196,0.00902,1.41e-04
54,6.45184,0.00816,6.47764,0.01254,1.36e-04
55,6.45341,0.00867,6.50475,0.00955,1.32e-04
56,6.45588,0.00695,6.51428,0.01119,1.27e-04
57,6.46428,0.00867,6.49652,0.00998,1.22e-04
58,6.46678,0.00776,6.50082,0.00868,1.18e-04
59,6.47223,0.00724,6.49987,0.01384,1.13e-04
60,6.47401,0.00753,6.48894,0.01128,1.09e-04
61,6.47608,0.0073,6.51181,0.00781,1.04e-04
62,6.4787,0.00718,6.51852,0.00864,9.99e-05
63,6.47275,0.00695,6.50902,0.00738,9.55e-05
64,6.47134,0.00707,6.48746,0.01172,9.11e-05
65,6.46033,0.00833,6.52722,0.00864,8.68e-05
66,6.45392,0.00701,6.49042,0.00781,8.26e-05
