epoch,train_loss,train_acc,val_loss,val_acc,lr
1,7.04607,0.03033,7.15007,0.0194,3.00e-04
2,7.08923,0.03228,7.09572,0.01818,3.00e-04
3,7.05428,0.03269,7.07403,0.02933,3.00e-04
4,7.0648,0.02884,7.12479,0.0276,2.99e-04
5,7.08878,0.02327,7.10006,0.02209,2.99e-04
6,7.08438,0.01614,7.1356,0.01558,2.98e-04
7,7.05481,0.01471,7.08819,0.00898,2.97e-04
8,7.02224,0.01453,7.0245,0.01081,2.96e-04
9,6.97462,0.01488,7.02691,0.00608,2.95e-04
10,6.9131,0.01195,6.98759,0.00347,2.94e-04
11,6.83947,0.01344,6.82154,0.01211,2.93e-04
