epoch,bce,kd,crf,feat,att,label_corr,akd_weight,mean_recoverability,mean_r500,mean_r100,clrd,total,val_auc,val_f1,best_val_auc
1,0.45938,0.85477,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.31415,0.81963,0.53109,0.81963
2,0.38608,0.33871,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.72478,0.83069,0.57481,0.83069
3,0.37037,0.24588,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.61624,0.83474,0.54096,0.83474
4,0.3668,0.23405,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.60085,0.83923,0.59263,0.83923
5,0.35963,0.19606,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.5557,0.83821,0.5686,0.83923
6,0.35551,0.18062,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.53614,0.84139,0.58442,0.84139
7,0.35229,0.17962,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.53191,0.84298,0.56364,0.84298
8,0.35111,0.16918,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.5203,0.84659,0.58342,0.84659
9,0.34675,0.16254,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.50929,0.84727,0.59285,0.84727
10,0.34647,0.16462,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.51109,0.83899,0.5562,0.84727
11,0.34578,0.16632,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.5121,0.84355,0.59214,0.84727
12,0.34127,0.15386,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.49513,0.84584,0.59979,0.84727
13,0.33948,0.14979,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.48927,0.84623,0.59527,0.84727
14,0.33602,0.14099,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.47701,0.84685,0.59156,0.84727
15,0.33562,0.14201,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.47763,0.84686,0.58561,0.84727
16,0.33094,0.13835,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.46929,0.84558,0.584,0.84727
17,0.32785,0.13374,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.46159,0.84733,0.57962,0.84733
18,0.32795,0.1465,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.47445,0.84512,0.58997,0.84733
19,0.32635,0.13729,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.46364,0.84679,0.58073,0.84733
20,0.32391,0.13472,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.45863,0.84589,0.5601,0.84733
21,0.32052,0.13719,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.45771,0.84716,0.59505,0.84733
22,0.31917,0.1352,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.45437,0.84934,0.58977,0.84934
23,0.31643,0.13159,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.44802,0.84902,0.59781,0.84934
24,0.31355,0.13174,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.44529,0.8477,0.58932,0.84934
25,0.31235,0.13467,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.44701,0.84669,0.5945,0.84934
26,0.31256,0.13502,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.44759,0.84633,0.58968,0.84934
27,0.3079,0.12955,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.43745,0.84699,0.59221,0.84934
28,0.30493,0.13202,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.43694,0.84723,0.58318,0.84934
29,0.30196,0.12833,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.43029,0.84815,0.58627,0.84934
30,0.29984,0.12978,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.42963,0.84682,0.58414,0.84934
31,0.29869,0.12778,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.42647,0.84687,0.58605,0.84934
32,0.29584,0.13209,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.42793,0.84862,0.59116,0.84934
33,0.29458,0.13496,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.42954,0.84445,0.59069,0.84934
34,0.2924,0.13209,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.42448,0.84804,0.58968,0.84934
35,0.28811,0.13155,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.41966,0.84841,0.58876,0.84934
36,0.28717,0.13109,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.41826,0.84865,0.58151,0.84934
37,0.2846,0.13253,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.41713,0.84796,0.59398,0.84934
38,0.28211,0.13012,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.41223,0.84865,0.58626,0.84934
39,0.28114,0.13339,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.41454,0.84784,0.57565,0.84934
40,0.2808,0.13039,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.41119,0.8492,0.58746,0.84934
41,0.27661,0.13137,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.40799,0.84857,0.583,0.84934
42,0.27886,0.13529,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.41415,0.84706,0.5801,0.84934
43,0.27686,0.13166,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.40851,0.84807,0.58875,0.84934
44,0.27456,0.13265,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.40721,0.84981,0.59454,0.84981
45,0.27392,0.13291,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.40683,0.84761,0.5926,0.84981
46,0.27071,0.13117,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.40189,0.84919,0.59205,0.84981
47,0.26972,0.13185,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.40158,0.84816,0.58248,0.84981
48,0.26968,0.13079,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.40047,0.84869,0.59345,0.84981
49,0.26798,0.13339,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.40137,0.84911,0.57685,0.84981
50,0.26728,0.133,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.40028,0.84811,0.58536,0.84981
51,0.26598,0.13153,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.39751,0.84855,0.58699,0.84981
52,0.26597,0.13519,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.40116,0.8472,0.58579,0.84981
53,0.26609,0.13225,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.39834,0.84665,0.59703,0.84981
54,0.2651,0.13427,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.39937,0.84892,0.58284,0.84981
55,0.26349,0.12992,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.39341,0.84942,0.58506,0.84981
56,0.26216,0.13268,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.39484,0.84856,0.58857,0.84981
57,0.26201,0.13334,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.39535,0.84785,0.58709,0.84981
58,0.26238,0.13336,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.39575,0.84841,0.58868,0.84981
59,0.26137,0.13202,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.39339,0.84826,0.58497,0.84981
60,0.26111,0.1337,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.39482,0.84926,0.58479,0.84981
61,0.26136,0.13193,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.39328,0.84843,0.58808,0.84981
62,0.25985,0.13185,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.39171,0.8489,0.58783,0.84981
63,0.25959,0.13211,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.3917,0.84888,0.58523,0.84981
64,0.25829,0.13178,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.39007,0.84903,0.58711,0.84981
65,0.25843,0.13109,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38952,0.84851,0.58691,0.84981
66,0.25806,0.13074,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.3888,0.84824,0.58745,0.84981
67,0.25774,0.13062,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38837,0.84859,0.58819,0.84981
68,0.25785,0.13227,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.39012,0.84868,0.58768,0.84981
69,0.25741,0.13248,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38988,0.84883,0.58775,0.84981
70,0.25755,0.1327,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.39025,0.84822,0.59108,0.84981
71,0.25779,0.1303,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38808,0.84835,0.58847,0.84981
72,0.25656,0.13061,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38717,0.84818,0.59077,0.84981
73,0.25761,0.13017,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38778,0.84847,0.58921,0.84981
74,0.25652,0.13082,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38734,0.84884,0.59018,0.84981
75,0.25641,0.12995,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38636,0.84856,0.58729,0.84981
76,0.25637,0.13173,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38811,0.84795,0.58778,0.84981
77,0.25631,0.13139,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.3877,0.849,0.58653,0.84981
78,0.25639,0.12966,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38605,0.84889,0.58604,0.84981
79,0.25602,0.13009,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38611,0.84857,0.58723,0.84981
80,0.25534,0.12896,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.3843,0.84874,0.59172,0.84981
81,0.25529,0.12933,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38462,0.84838,0.58916,0.84981
82,0.25503,0.13032,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38536,0.84852,0.59067,0.84981
83,0.25506,0.13158,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38664,0.84896,0.58656,0.84981
84,0.25538,0.12864,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38402,0.84859,0.58916,0.84981
85,0.25476,0.12961,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38437,0.84865,0.58872,0.84981
86,0.25491,0.12909,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.384,0.84836,0.58891,0.84981
87,0.25447,0.13024,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38471,0.84849,0.58781,0.84981
88,0.25402,0.12849,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.3825,0.84857,0.58769,0.84981
89,0.25442,0.12928,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38371,0.84845,0.58786,0.84981
90,0.25437,0.12947,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38384,0.84855,0.58778,0.84981
91,0.25416,0.12906,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38323,0.84864,0.58909,0.84981
92,0.25448,0.12874,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38322,0.84851,0.58719,0.84981
93,0.25469,0.12821,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.3829,0.84866,0.58877,0.84981
94,0.25429,0.1296,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38389,0.84868,0.588,0.84981
95,0.25431,0.12824,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38255,0.84865,0.58825,0.84981
96,0.25423,0.12895,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38318,0.84866,0.58873,0.84981
97,0.25422,0.13075,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38497,0.84861,0.58752,0.84981
98,0.25406,0.12833,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38239,0.84862,0.58809,0.84981
99,0.25422,0.12901,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38322,0.84867,0.58815,0.84981
100,0.25357,0.12816,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.38174,0.84869,0.58773,0.84981
