epoch,bce,kd,crf,feat,total,val_auc,best_val_auc
1,0.46083,1.03998,0.0,0.00234,1.50104,0.82069,0.82069
2,0.38491,0.40489,0.0,0.00233,0.79004,0.83229,0.83229
3,0.37113,0.3021,0.0,0.00233,0.67347,0.83508,0.83508
4,0.36431,0.26462,0.0,0.00233,0.62916,0.84206,0.84206
5,0.36018,0.24378,0.0,0.00233,0.60418,0.8397,0.84206
6,0.35636,0.23685,0.0,0.00233,0.59345,0.84347,0.84347
7,0.3551,0.22439,0.0,0.00233,0.57972,0.84388,0.84388
8,0.35117,0.20908,0.0,0.00233,0.56049,0.84384,0.84388
9,0.34683,0.20526,0.0,0.00233,0.55232,0.84599,0.84599
10,0.34606,0.19624,0.0,0.00233,0.54254,0.8473,0.8473
11,0.34201,0.19372,0.0,0.00233,0.53596,0.84241,0.8473
12,0.34082,0.18384,0.0,0.00233,0.52489,0.84547,0.8473
13,0.34029,0.19763,0.0,0.00233,0.53815,0.84673,0.8473
14,0.33928,0.19314,0.0,0.00234,0.53266,0.84442,0.8473
15,0.3371,0.18538,0.0,0.00234,0.52272,0.845,0.8473
16,0.3361,0.18527,0.0,0.00234,0.52161,0.84703,0.8473
17,0.33463,0.18709,0.0,0.00234,0.52195,0.84614,0.8473
18,0.33295,0.17742,0.0,0.00234,0.5106,0.84582,0.8473
19,0.33085,0.17342,0.0,0.00234,0.5045,0.8479,0.8479
20,0.32818,0.17001,0.0,0.00234,0.49843,0.84526,0.8479
21,0.32602,0.17118,0.0,0.00234,0.49744,0.84981,0.84981
22,0.32282,0.16767,0.0,0.00234,0.49073,0.84513,0.84981
23,0.32131,0.16712,0.0,0.00234,0.48867,0.84834,0.84981
24,0.31941,0.16582,0.0,0.00234,0.48547,0.84877,0.84981
25,0.31861,0.16961,0.0,0.00235,0.48845,0.8462,0.84981
26,0.31711,0.16496,0.0,0.00235,0.4823,0.84767,0.84981
27,0.31356,0.16351,0.0,0.00235,0.4773,0.84871,0.84981
28,0.31397,0.16587,0.0,0.00235,0.48008,0.84582,0.84981
29,0.31186,0.16793,0.0,0.00235,0.48003,0.84755,0.84981
30,0.31116,0.16595,0.0,0.00235,0.47734,0.84681,0.84981
31,0.30829,0.16625,0.0,0.00236,0.47478,0.84739,0.84981
32,0.30721,0.16461,0.0,0.00236,0.47205,0.84852,0.84981
33,0.30433,0.15961,0.0,0.00236,0.46417,0.84734,0.84981
34,0.30298,0.16455,0.0,0.00236,0.46776,0.84772,0.84981
35,0.30014,0.1605,0.0,0.00236,0.46087,0.84575,0.84981
36,0.30011,0.16088,0.0,0.00236,0.46122,0.84607,0.84981
37,0.29972,0.1622,0.0,0.00236,0.46215,0.84609,0.84981
38,0.29639,0.16067,0.0,0.00236,0.4573,0.84721,0.84981
39,0.29594,0.16029,0.0,0.00236,0.45646,0.84565,0.84981
40,0.29247,0.15497,0.0,0.00236,0.44767,0.8468,0.84981
41,0.29168,0.1599,0.0,0.00237,0.45182,0.84827,0.84981
42,0.29135,0.15981,0.0,0.00237,0.45139,0.84806,0.84981
43,0.28809,0.15689,0.0,0.00237,0.44522,0.84684,0.84981
44,0.28835,0.15714,0.0,0.00237,0.44572,0.84754,0.84981
45,0.28599,0.15847,0.0,0.00237,0.4447,0.84674,0.84981
46,0.28622,0.15952,0.0,0.00237,0.44598,0.84705,0.84981
47,0.28649,0.16154,0.0,0.00237,0.44826,0.8465,0.84981
48,0.28516,0.15957,0.0,0.00237,0.44497,0.8483,0.84981
49,0.28181,0.15598,0.0,0.00237,0.43803,0.84716,0.84981
50,0.28023,0.15785,0.0,0.00237,0.43832,0.84668,0.84981
51,0.28171,0.16083,0.0,0.00238,0.44278,0.84658,0.84981
52,0.28034,0.15595,0.0,0.00238,0.43653,0.84797,0.84981
53,0.27624,0.15379,0.0,0.00238,0.43026,0.84722,0.84981
54,0.27737,0.15638,0.0,0.00238,0.43399,0.8475,0.84981
55,0.27701,0.15595,0.0,0.00238,0.43319,0.84725,0.84981
56,0.2761,0.15771,0.0,0.00238,0.43405,0.84752,0.84981
57,0.27586,0.15848,0.0,0.00238,0.43457,0.848,0.84981
58,0.27573,0.1582,0.0,0.00238,0.43417,0.84785,0.84981
59,0.27285,0.15569,0.0,0.00238,0.42878,0.84697,0.84981
60,0.27412,0.15892,0.0,0.00238,0.43327,0.84776,0.84981
61,0.27263,0.15714,0.0,0.00238,0.43001,0.84802,0.84981
62,0.27222,0.15745,0.0,0.00238,0.42992,0.84806,0.84981
63,0.27181,0.15688,0.0,0.00238,0.42893,0.8477,0.84981
64,0.27115,0.15504,0.0,0.00238,0.42643,0.84798,0.84981
65,0.27149,0.15796,0.0,0.00238,0.42969,0.84677,0.84981
66,0.27053,0.15669,0.0,0.00238,0.42746,0.84788,0.84981
67,0.27032,0.15674,0.0,0.00238,0.4273,0.84796,0.84981
68,0.26973,0.15495,0.0,0.00238,0.42491,0.8475,0.84981
69,0.26907,0.15316,0.0,0.00238,0.42246,0.84817,0.84981
70,0.26867,0.15764,0.0,0.00238,0.42654,0.84742,0.84981
71,0.26861,0.1561,0.0,0.00238,0.42495,0.84798,0.84981
72,0.26743,0.1544,0.0,0.00238,0.42207,0.84808,0.84981
73,0.26761,0.15424,0.0,0.00238,0.42208,0.84805,0.84981
74,0.26751,0.15404,0.0,0.00238,0.4218,0.8477,0.84981
75,0.26759,0.15763,0.0,0.00238,0.42546,0.84778,0.84981
76,0.26757,0.1553,0.0,0.00238,0.42311,0.84796,0.84981
77,0.26705,0.15509,0.0,0.00238,0.42238,0.84798,0.84981
78,0.26699,0.15494,0.0,0.00238,0.42217,0.84788,0.84981
79,0.26656,0.15513,0.0,0.00238,0.42192,0.84771,0.84981
80,0.26653,0.15425,0.0,0.00238,0.42102,0.84842,0.84981
81,0.26625,0.15287,0.0,0.00238,0.41936,0.84792,0.84981
82,0.26577,0.15413,0.0,0.00238,0.42013,0.8478,0.84981
83,0.26637,0.15467,0.0,0.00238,0.42129,0.848,0.84981
84,0.26552,0.15329,0.0,0.00238,0.41904,0.84792,0.84981
85,0.26589,0.15169,0.0,0.00238,0.41782,0.84773,0.84981
86,0.26534,0.15493,0.0,0.00238,0.42051,0.8482,0.84981
87,0.26525,0.1541,0.0,0.00238,0.41959,0.84828,0.84981
88,0.26449,0.15237,0.0,0.00238,0.4171,0.84802,0.84981
89,0.26529,0.15416,0.0,0.00238,0.41968,0.84802,0.84981
90,0.26566,0.15352,0.0,0.00238,0.41942,0.84802,0.84981
91,0.26521,0.15247,0.0,0.00238,0.41792,0.84816,0.84981
92,0.26457,0.15317,0.0,0.00238,0.41798,0.84798,0.84981
93,0.26516,0.15285,0.0,0.00238,0.41825,0.84805,0.84981
94,0.26429,0.1528,0.0,0.00238,0.41733,0.84804,0.84981
95,0.26491,0.15325,0.0,0.00238,0.4184,0.84798,0.84981
96,0.26455,0.15258,0.0,0.00238,0.41737,0.84805,0.84981
97,0.2644,0.15203,0.0,0.00238,0.41667,0.84803,0.84981
98,0.26508,0.15242,0.0,0.00238,0.41774,0.84801,0.84981
99,0.26417,0.15215,0.0,0.00238,0.41656,0.84795,0.84981
100,0.2645,0.15234,0.0,0.00238,0.41708,0.84801,0.84981
