epoch,bce,kd,crf,feat,total,val_auc,best_val_auc
1,0.46292,1.27163,0.0,0.0,1.73454,0.82245,0.82245
2,0.387,0.50246,0.0,0.0,0.88946,0.82929,0.82929
3,0.3734,0.38585,0.0,0.0,0.75925,0.83549,0.83549
4,0.36551,0.33748,0.0,0.0,0.70299,0.83692,0.83692
5,0.36213,0.31181,0.0,0.0,0.67395,0.83872,0.83872
6,0.35993,0.30749,0.0,0.0,0.66743,0.84179,0.84179
7,0.35715,0.295,0.0,0.0,0.65215,0.84219,0.84219
8,0.35291,0.2619,0.0,0.0,0.61481,0.84476,0.84476
9,0.3486,0.25839,0.0,0.0,0.60699,0.84265,0.84476
10,0.34907,0.25844,0.0,0.0,0.60751,0.84545,0.84545
11,0.34459,0.24654,0.0,0.0,0.59113,0.84246,0.84545
12,0.34294,0.23156,0.0,0.0,0.5745,0.84523,0.84545
13,0.34232,0.2489,0.0,0.0,0.59123,0.84536,0.84545
14,0.34156,0.24037,0.0,0.0,0.58193,0.84356,0.84545
15,0.33937,0.23457,0.0,0.0,0.57394,0.84436,0.84545
16,0.33943,0.24009,0.0,0.0,0.57952,0.84798,0.84798
17,0.33738,0.23553,0.0,0.0,0.57291,0.84672,0.84798
18,0.3366,0.22923,0.0,0.0,0.56583,0.84562,0.84798
19,0.33462,0.22082,0.0,0.0,0.55544,0.84657,0.84798
20,0.33284,0.21692,0.0,0.0,0.54976,0.8451,0.84798
21,0.33024,0.21704,0.0,0.0,0.54728,0.8496,0.8496
22,0.32744,0.21308,0.0,0.0,0.54052,0.84407,0.8496
23,0.32666,0.21533,0.0,0.0,0.54199,0.8478,0.8496
24,0.32482,0.21139,0.0,0.0,0.5362,0.84719,0.8496
25,0.32422,0.21347,0.0,0.0,0.53769,0.84721,0.8496
26,0.32305,0.21287,0.0,0.0,0.53592,0.8473,0.8496
27,0.32146,0.21102,0.0,0.0,0.53248,0.84947,0.8496
28,0.31992,0.20854,0.0,0.0,0.52846,0.84501,0.8496
29,0.31859,0.21136,0.0,0.0,0.52995,0.84668,0.8496
30,0.31824,0.21362,0.0,0.0,0.53186,0.8471,0.8496
31,0.31535,0.20869,0.0,0.0,0.52403,0.84872,0.8496
32,0.31412,0.20611,0.0,0.0,0.52024,0.84902,0.8496
33,0.3117,0.19891,0.0,0.0,0.51061,0.8477,0.8496
34,0.31104,0.20652,0.0,0.0,0.51756,0.84632,0.8496
35,0.30882,0.20092,0.0,0.0,0.50974,0.84598,0.8496
36,0.30869,0.20197,0.0,0.0,0.51066,0.84684,0.8496
37,0.3082,0.20316,0.0,0.0,0.51137,0.84677,0.8496
38,0.3048,0.19899,0.0,0.0,0.50379,0.84708,0.8496
39,0.30514,0.20156,0.0,0.0,0.50669,0.84535,0.8496
40,0.30129,0.19171,0.0,0.0,0.49299,0.84631,0.8496
41,0.30155,0.2013,0.0,0.0,0.50284,0.84834,0.8496
42,0.30098,0.20005,0.0,0.0,0.50104,0.84797,0.8496
43,0.29843,0.19592,0.0,0.0,0.49436,0.84749,0.8496
44,0.29865,0.19559,0.0,0.0,0.49423,0.84699,0.8496
45,0.29556,0.19692,0.0,0.0,0.49248,0.84786,0.8496
46,0.29648,0.19855,0.0,0.0,0.49504,0.84779,0.8496
47,0.2962,0.20073,0.0,0.0,0.49694,0.84686,0.8496
48,0.29496,0.19907,0.0,0.0,0.49403,0.84747,0.8496
49,0.29231,0.19304,0.0,0.0,0.48535,0.84704,0.8496
50,0.29099,0.19659,0.0,0.0,0.48759,0.84657,0.8496
51,0.29188,0.19901,0.0,0.0,0.49089,0.84683,0.8496
52,0.2911,0.19401,0.0,0.0,0.4851,0.84797,0.8496
53,0.28679,0.1897,0.0,0.0,0.47649,0.84696,0.8496
54,0.28798,0.19218,0.0,0.0,0.48017,0.84742,0.8496
55,0.28762,0.19185,0.0,0.0,0.47947,0.84652,0.8496
56,0.28596,0.19387,0.0,0.0,0.47983,0.84626,0.8496
57,0.28588,0.19464,0.0,0.0,0.48052,0.84808,0.8496
58,0.28613,0.19474,0.0,0.0,0.48087,0.84729,0.8496
59,0.28334,0.19144,0.0,0.0,0.47477,0.84699,0.8496
60,0.28415,0.19593,0.0,0.0,0.48008,0.84743,0.8496
61,0.28287,0.19444,0.0,0.0,0.47731,0.84746,0.8496
62,0.28243,0.1937,0.0,0.0,0.47613,0.84752,0.8496
63,0.28196,0.19305,0.0,0.0,0.47501,0.84727,0.8496
64,0.28114,0.18995,0.0,0.0,0.47109,0.848,0.8496
65,0.28148,0.19454,0.0,0.0,0.47602,0.84714,0.8496
66,0.28078,0.19248,0.0,0.0,0.47327,0.84829,0.8496
67,0.28011,0.19239,0.0,0.0,0.4725,0.84824,0.8496
68,0.27968,0.19035,0.0,0.0,0.47003,0.84702,0.8496
69,0.279,0.1883,0.0,0.0,0.4673,0.84779,0.8496
70,0.27847,0.19311,0.0,0.0,0.47158,0.84716,0.8496
71,0.27831,0.19248,0.0,0.0,0.47078,0.84775,0.8496
72,0.27716,0.18885,0.0,0.0,0.46601,0.84815,0.8496
73,0.27718,0.18943,0.0,0.0,0.46661,0.84747,0.8496
74,0.27701,0.18849,0.0,0.0,0.4655,0.84774,0.8496
75,0.27696,0.19343,0.0,0.0,0.4704,0.84764,0.8496
76,0.27706,0.19039,0.0,0.0,0.46745,0.8481,0.8496
77,0.27634,0.1902,0.0,0.0,0.46655,0.84774,0.8496
78,0.2765,0.18966,0.0,0.0,0.46616,0.84778,0.8496
79,0.2759,0.1902,0.0,0.0,0.4661,0.84752,0.8496
80,0.27597,0.18922,0.0,0.0,0.46518,0.84819,0.8496
81,0.27554,0.18753,0.0,0.0,0.46307,0.84755,0.8496
82,0.27509,0.18848,0.0,0.0,0.46357,0.84764,0.8496
83,0.27565,0.18996,0.0,0.0,0.46561,0.84775,0.8496
84,0.27464,0.18806,0.0,0.0,0.4627,0.84765,0.8496
85,0.27532,0.18567,0.0,0.0,0.46099,0.84751,0.8496
86,0.2746,0.19013,0.0,0.0,0.46473,0.84805,0.8496
87,0.27465,0.18859,0.0,0.0,0.46324,0.84795,0.8496
88,0.27362,0.18702,0.0,0.0,0.46064,0.84778,0.8496
89,0.27453,0.18896,0.0,0.0,0.46349,0.84778,0.8496
90,0.27486,0.18812,0.0,0.0,0.46299,0.84774,0.8496
91,0.27446,0.1868,0.0,0.0,0.46126,0.84785,0.8496
92,0.27374,0.18763,0.0,0.0,0.46137,0.84787,0.8496
93,0.27443,0.18725,0.0,0.0,0.46168,0.84785,0.8496
