epoch,bce,kd,crf,feat,total,val_auc,best_val_auc
1,0.46075,1.04941,0.0,0.0,1.51016,0.8204,0.8204
2,0.38487,0.40773,0.0,0.0,0.7926,0.83303,0.83303
3,0.37097,0.30253,0.0,0.0,0.67351,0.83493,0.83493
4,0.36374,0.26538,0.0,0.0,0.62912,0.84125,0.84125
5,0.3598,0.24853,0.0,0.0,0.60833,0.83866,0.84125
6,0.35504,0.23369,0.0,0.0,0.58873,0.84391,0.84391
7,0.35423,0.22569,0.0,0.0,0.57992,0.84256,0.84391
8,0.35045,0.21064,0.0,0.0,0.56108,0.84313,0.84391
9,0.34589,0.20553,0.0,0.0,0.55141,0.84476,0.84476
10,0.34516,0.19871,0.0,0.0,0.54386,0.84605,0.84605
11,0.34141,0.19665,0.0,0.0,0.53806,0.84283,0.84605
12,0.33966,0.18539,0.0,0.0,0.52506,0.84453,0.84605
13,0.33927,0.19932,0.0,0.0,0.5386,0.84655,0.84655
14,0.33848,0.1986,0.0,0.0,0.53708,0.84233,0.84655
15,0.33674,0.18997,0.0,0.0,0.52671,0.84401,0.84655
16,0.33546,0.18745,0.0,0.0,0.52291,0.84745,0.84745
17,0.33345,0.18961,0.0,0.0,0.52306,0.84516,0.84745
18,0.33183,0.18025,0.0,0.0,0.51208,0.84503,0.84745
19,0.33033,0.17799,0.0,0.0,0.50832,0.8471,0.84745
20,0.32744,0.17336,0.0,0.0,0.5008,0.84433,0.84745
21,0.32555,0.17578,0.0,0.0,0.50133,0.84886,0.84886
22,0.3225,0.17093,0.0,0.0,0.49342,0.84343,0.84886
23,0.32093,0.17144,0.0,0.0,0.49237,0.84695,0.84886
24,0.31902,0.16951,0.0,0.0,0.48852,0.84838,0.84886
25,0.31849,0.17494,0.0,0.0,0.49343,0.84539,0.84886
26,0.31703,0.1707,0.0,0.0,0.48773,0.84611,0.84886
27,0.31303,0.1672,0.0,0.0,0.48023,0.84745,0.84886
28,0.31374,0.16956,0.0,0.0,0.4833,0.8447,0.84886
29,0.3111,0.17034,0.0,0.0,0.48145,0.84767,0.84886
30,0.31003,0.16966,0.0,0.0,0.47969,0.8465,0.84886
31,0.30729,0.17013,0.0,0.0,0.47742,0.8465,0.84886
32,0.3065,0.16928,0.0,0.0,0.47577,0.84728,0.84886
33,0.30396,0.1643,0.0,0.0,0.46826,0.84704,0.84886
34,0.30247,0.16906,0.0,0.0,0.47153,0.84808,0.84886
35,0.29949,0.16415,0.0,0.0,0.46364,0.84549,0.84886
36,0.2995,0.16583,0.0,0.0,0.46534,0.84544,0.84886
37,0.29901,0.16696,0.0,0.0,0.46596,0.84627,0.84886
38,0.29571,0.16423,0.0,0.0,0.45993,0.84697,0.84886
39,0.2955,0.1656,0.0,0.0,0.4611,0.846,0.84886
40,0.29191,0.15926,0.0,0.0,0.45117,0.84658,0.84886
41,0.29118,0.16511,0.0,0.0,0.45629,0.84749,0.84886
42,0.29056,0.16386,0.0,0.0,0.45441,0.84757,0.84886
43,0.28709,0.16089,0.0,0.0,0.44797,0.84676,0.84886
44,0.28725,0.16149,0.0,0.0,0.44874,0.84684,0.84886
45,0.28489,0.16372,0.0,0.0,0.4486,0.84607,0.84886
46,0.28569,0.16489,0.0,0.0,0.45058,0.84687,0.84886
47,0.28577,0.16708,0.0,0.0,0.45285,0.84609,0.84886
48,0.28472,0.16468,0.0,0.0,0.4494,0.84742,0.84886
49,0.28122,0.16139,0.0,0.0,0.44261,0.84705,0.84886
50,0.27965,0.16297,0.0,0.0,0.44263,0.846,0.84886
51,0.28086,0.16598,0.0,0.0,0.44683,0.84678,0.84886
52,0.27952,0.16099,0.0,0.0,0.44051,0.84776,0.84886
53,0.27527,0.15913,0.0,0.0,0.4344,0.84642,0.84886
54,0.27641,0.16169,0.0,0.0,0.4381,0.84677,0.84886
55,0.276,0.16097,0.0,0.0,0.43696,0.84691,0.84886
56,0.27502,0.16353,0.0,0.0,0.43854,0.84696,0.84886
57,0.27526,0.16307,0.0,0.0,0.43832,0.84767,0.84886
58,0.2749,0.16381,0.0,0.0,0.43871,0.84748,0.84886
59,0.27184,0.16092,0.0,0.0,0.43276,0.84677,0.84886
60,0.273,0.16398,0.0,0.0,0.43698,0.84778,0.84886
61,0.27164,0.16247,0.0,0.0,0.43411,0.84748,0.84886
62,0.27133,0.16287,0.0,0.0,0.4342,0.84719,0.84886
63,0.27081,0.16219,0.0,0.0,0.433,0.84736,0.84886
64,0.27014,0.16025,0.0,0.0,0.4304,0.84773,0.84886
65,0.27035,0.16357,0.0,0.0,0.43393,0.84612,0.84886
66,0.26954,0.1622,0.0,0.0,0.43174,0.84762,0.84886
67,0.26922,0.16239,0.0,0.0,0.43161,0.84712,0.84886
68,0.26865,0.16046,0.0,0.0,0.42911,0.84699,0.84886
69,0.26805,0.1585,0.0,0.0,0.42655,0.84776,0.84886
70,0.26759,0.16317,0.0,0.0,0.43076,0.84732,0.84886
71,0.26748,0.16164,0.0,0.0,0.42912,0.84709,0.84886
72,0.26641,0.15989,0.0,0.0,0.4263,0.84746,0.84886
73,0.26651,0.1597,0.0,0.0,0.42621,0.84753,0.84886
74,0.26633,0.15961,0.0,0.0,0.42594,0.84742,0.84886
75,0.26638,0.16342,0.0,0.0,0.4298,0.84705,0.84886
76,0.26645,0.16059,0.0,0.0,0.42704,0.84748,0.84886
77,0.26581,0.16095,0.0,0.0,0.42676,0.84715,0.84886
78,0.26589,0.16046,0.0,0.0,0.42634,0.84761,0.84886
79,0.26546,0.16071,0.0,0.0,0.42617,0.84691,0.84886
80,0.26548,0.15983,0.0,0.0,0.42531,0.84789,0.84886
81,0.26502,0.15849,0.0,0.0,0.42352,0.84728,0.84886
82,0.26482,0.15954,0.0,0.0,0.42436,0.84725,0.84886
83,0.26529,0.16019,0.0,0.0,0.42548,0.84748,0.84886
84,0.26432,0.1589,0.0,0.0,0.42322,0.84733,0.84886
85,0.26475,0.15721,0.0,0.0,0.42196,0.84707,0.84886
86,0.2641,0.16065,0.0,0.0,0.42474,0.84765,0.84886
87,0.26412,0.15972,0.0,0.0,0.42384,0.84778,0.84886
88,0.26327,0.15799,0.0,0.0,0.42127,0.84749,0.84886
89,0.26411,0.15972,0.0,0.0,0.42384,0.84749,0.84886
90,0.26441,0.15914,0.0,0.0,0.42355,0.8474,0.84886
91,0.26392,0.158,0.0,0.0,0.42192,0.84753,0.84886
92,0.26339,0.1587,0.0,0.0,0.42209,0.84739,0.84886
93,0.26391,0.15845,0.0,0.0,0.42236,0.84748,0.84886
94,0.26309,0.15826,0.0,0.0,0.42136,0.84754,0.84886
95,0.26367,0.15901,0.0,0.0,0.42268,0.8474,0.84886
96,0.26327,0.15822,0.0,0.0,0.42149,0.84746,0.84886
97,0.26315,0.15761,0.0,0.0,0.42076,0.84743,0.84886
98,0.26391,0.15805,0.0,0.0,0.42196,0.84748,0.84886
99,0.26291,0.15774,0.0,0.0,0.42066,0.84741,0.84886
100,0.26328,0.15793,0.0,0.0,0.42122,0.84745,0.84886
