epoch,bce,kd,total,val_auc,best_val_auc
1,0.44904,0.90921,1.35825,0.82959,0.82959
2,0.38301,0.33244,0.71545,0.8426,0.8426
3,0.37332,0.26237,0.63569,0.84069,0.8426
4,0.36886,0.22715,0.59601,0.84214,0.8426
5,0.36219,0.19045,0.55264,0.84881,0.84881
6,0.35816,0.17069,0.52885,0.84846,0.84881
7,0.35602,0.16304,0.51906,0.8458,0.84881
8,0.35151,0.14325,0.49476,0.84667,0.84881
9,0.34905,0.13639,0.48543,0.84939,0.84939
10,0.34561,0.12095,0.46656,0.85158,0.85158
11,0.3449,0.1224,0.46731,0.84994,0.85158
12,0.34117,0.11133,0.45251,0.85192,0.85192
13,0.33924,0.11001,0.44925,0.84535,0.85192
14,0.33689,0.10692,0.44382,0.85048,0.85192
15,0.33523,0.09296,0.42819,0.85144,0.85192
16,0.33544,0.11133,0.44676,0.8506,0.85192
17,0.33215,0.09149,0.42363,0.84897,0.85192
18,0.32992,0.09745,0.42737,0.85338,0.85338
19,0.327,0.09136,0.41836,0.85101,0.85338
20,0.32429,0.08238,0.40667,0.85334,0.85338
21,0.32105,0.07955,0.40059,0.85011,0.85338
22,0.32252,0.08748,0.41,0.85151,0.85338
23,0.31648,0.07659,0.39307,0.85075,0.85338
24,0.31304,0.07417,0.38721,0.84903,0.85338
25,0.31502,0.0803,0.39532,0.85296,0.85338
26,0.31052,0.06881,0.37933,0.85248,0.85338
27,0.30756,0.06564,0.3732,0.85122,0.85338
28,0.30755,0.07049,0.37804,0.85177,0.85338
29,0.30392,0.06885,0.37277,0.85217,0.85338
30,0.30293,0.067,0.36993,0.85253,0.85338
31,0.30106,0.06567,0.36673,0.85054,0.85338
32,0.2983,0.06729,0.36558,0.85398,0.85398
33,0.29492,0.0587,0.35362,0.85308,0.85398
34,0.29376,0.0612,0.35496,0.85367,0.85398
35,0.2925,0.06237,0.35487,0.85487,0.85487
36,0.29087,0.05963,0.3505,0.85073,0.85487
37,0.28982,0.06627,0.35609,0.85231,0.85487
38,0.28534,0.05716,0.3425,0.85433,0.85487
39,0.28464,0.05962,0.34426,0.85313,0.85487
40,0.28399,0.05905,0.34304,0.85426,0.85487
41,0.28239,0.06393,0.34632,0.85254,0.85487
42,0.28077,0.05264,0.33341,0.85417,0.85487
43,0.27873,0.05629,0.33502,0.85277,0.85487
44,0.27704,0.04847,0.3255,0.8532,0.85487
45,0.27623,0.05615,0.33237,0.85196,0.85487
46,0.2747,0.04923,0.32392,0.85356,0.85487
47,0.27348,0.05103,0.32451,0.85278,0.85487
48,0.27358,0.05421,0.3278,0.85238,0.85487
49,0.27285,0.05038,0.32323,0.85352,0.85487
50,0.27204,0.05173,0.32377,0.8538,0.85487
51,0.27169,0.05211,0.32379,0.85324,0.85487
52,0.27101,0.05051,0.32152,0.85439,0.85487
53,0.26931,0.05137,0.32068,0.85273,0.85487
54,0.26966,0.05534,0.325,0.85287,0.85487
55,0.26777,0.04996,0.31773,0.8524,0.85487
56,0.26714,0.04866,0.3158,0.85267,0.85487
57,0.26619,0.048,0.31418,0.85367,0.85487
58,0.26608,0.05181,0.31789,0.85352,0.85487
59,0.26581,0.048,0.31381,0.85302,0.85487
60,0.26485,0.04808,0.31293,0.85344,0.85487
61,0.26342,0.04805,0.31147,0.85353,0.85487
62,0.26393,0.04677,0.3107,0.85246,0.85487
63,0.26525,0.05297,0.31822,0.85432,0.85487
64,0.26396,0.05046,0.31443,0.85427,0.85487
65,0.26254,0.0477,0.31024,0.85312,0.85487
66,0.26278,0.04667,0.30946,0.85283,0.85487
67,0.2627,0.04769,0.3104,0.85353,0.85487
68,0.26191,0.04706,0.30896,0.85382,0.85487
69,0.26142,0.04662,0.30804,0.85359,0.85487
70,0.26181,0.04589,0.30771,0.85353,0.85487
71,0.26136,0.04731,0.30867,0.85376,0.85487
72,0.26136,0.04725,0.30861,0.85319,0.85487
73,0.26096,0.04714,0.3081,0.85366,0.85487
74,0.2605,0.04482,0.30532,0.85363,0.85487
75,0.26041,0.04618,0.30659,0.85374,0.85487
76,0.2605,0.04358,0.30408,0.85314,0.85487
77,0.25939,0.04446,0.30385,0.85347,0.85487
78,0.26009,0.04379,0.30388,0.8534,0.85487
79,0.2603,0.04386,0.30416,0.85346,0.85487
80,0.25962,0.04528,0.3049,0.85315,0.85487
81,0.25924,0.04262,0.30186,0.85317,0.85487
82,0.25936,0.0426,0.30197,0.85354,0.85487
83,0.25991,0.04365,0.30356,0.85356,0.85487
84,0.25977,0.04291,0.30268,0.85336,0.85487
85,0.25911,0.04364,0.30274,0.85382,0.85487
86,0.25906,0.04252,0.30158,0.85343,0.85487
87,0.25903,0.04285,0.30188,0.85377,0.85487
88,0.25943,0.04395,0.30339,0.8536,0.85487
89,0.25884,0.04331,0.30215,0.85364,0.85487
90,0.25885,0.04249,0.30134,0.85372,0.85487
91,0.25878,0.04339,0.30217,0.85373,0.85487
92,0.25907,0.04385,0.30292,0.85345,0.85487
93,0.25957,0.04232,0.30188,0.8538,0.85487
94,0.25829,0.04284,0.30113,0.85366,0.85487
95,0.25852,0.04134,0.29986,0.85365,0.85487
96,0.25851,0.04229,0.3008,0.85372,0.85487
97,0.25846,0.04262,0.30108,0.8537,0.85487
98,0.25894,0.0447,0.30364,0.85367,0.85487
99,0.25878,0.04256,0.30134,0.8536,0.85487
100,0.25906,0.0412,0.30026,0.85367,0.85487
