epoch,bce,kd2,kd3,total,val_auc,best_val_auc
1,0.47489,2.20475,1.19187,2.1732,0.8076,0.8076
2,0.39409,1.52296,0.49782,1.40448,0.81708,0.81708
3,0.37672,1.37435,0.37495,1.25137,0.83119,0.83119
4,0.36493,1.2941,0.31521,1.16958,0.8364,0.8364
5,0.35741,1.24723,0.28801,1.12503,0.82756,0.8364
6,0.35538,1.22098,0.26762,1.09968,0.83578,0.8364
7,0.34823,1.18454,0.24409,1.06255,0.82987,0.8364
8,0.34334,1.14998,0.23264,1.03466,0.83588,0.8364
9,0.34046,1.12654,0.22825,1.01786,0.83644,0.83644
10,0.33269,1.07891,0.21783,0.98106,0.84054,0.84054
11,0.3267,1.04563,0.20721,0.95312,0.8398,0.84054
12,0.3198,1.00787,0.20061,0.92404,0.84257,0.84257
13,0.31484,0.97856,0.21253,0.91039,0.83283,0.84257
14,0.30638,0.93243,0.22103,0.88311,0.8374,0.84257
15,0.30415,0.91651,0.22194,0.87338,0.8352,0.84257
16,0.29594,0.86054,0.21541,0.83392,0.84049,0.84257
17,0.28814,0.82888,0.22346,0.81431,0.84003,0.84257
18,0.27994,0.77811,0.23691,0.78745,0.83942,0.84257
19,0.2702,0.72734,0.24161,0.75467,0.83957,0.84257
20,0.26029,0.6804,0.25577,0.72838,0.84202,0.84257
21,0.25451,0.6421,0.25899,0.70505,0.83719,0.84257
22,0.24702,0.61039,0.26916,0.68679,0.83987,0.84257
23,0.2425,0.5888,0.27891,0.67635,0.8365,0.84257
24,0.23325,0.54679,0.28819,0.65074,0.84143,0.84257
25,0.22912,0.52189,0.29534,0.63773,0.83833,0.84257
26,0.22656,0.51174,0.30513,0.635,0.8404,0.84257
27,0.22026,0.48316,0.31342,0.61855,0.83691,0.84257
28,0.2162,0.46024,0.31467,0.60365,0.83843,0.84257
29,0.21279,0.44757,0.31849,0.59582,0.83731,0.84257
30,0.21076,0.44001,0.32772,0.59462,0.84003,0.84257
31,0.20732,0.42382,0.32798,0.58322,0.84154,0.84257
32,0.20197,0.39117,0.33295,0.56402,0.84024,0.84257
33,0.20108,0.39258,0.34385,0.56929,0.83976,0.84257
34,0.19938,0.37982,0.3326,0.55559,0.84212,0.84257
35,0.19805,0.37427,0.3363,0.55333,0.8394,0.84257
36,0.19618,0.36081,0.33651,0.54484,0.84142,0.84257
37,0.1927,0.34774,0.33612,0.53463,0.83984,0.84257
38,0.19291,0.34789,0.33913,0.53642,0.84289,0.84289
39,0.19177,0.34515,0.34353,0.53611,0.84023,0.84289
40,0.18966,0.3337,0.33924,0.52613,0.84315,0.84315
41,0.18879,0.32756,0.3464,0.52577,0.84116,0.84315
42,0.18739,0.31942,0.34864,0.52141,0.84228,0.84315
43,0.1868,0.32024,0.34636,0.52009,0.84074,0.84315
44,0.18564,0.31147,0.34745,0.5151,0.84189,0.84315
45,0.18514,0.30519,0.35154,0.51351,0.84001,0.84315
46,0.18437,0.30172,0.34362,0.50705,0.84227,0.84315
47,0.18431,0.30259,0.35023,0.51072,0.84203,0.84315
48,0.18365,0.29976,0.34499,0.50602,0.84058,0.84315
49,0.18273,0.29242,0.34489,0.50139,0.84164,0.84315
50,0.18239,0.29096,0.34896,0.50235,0.84314,0.84315
51,0.1825,0.29197,0.35084,0.5039,0.84262,0.84315
52,0.18187,0.28904,0.35185,0.50231,0.84259,0.84315
53,0.18202,0.28374,0.34772,0.49775,0.84418,0.84418
54,0.1811,0.28621,0.35894,0.50367,0.84093,0.84418
55,0.18115,0.28878,0.34987,0.50047,0.84341,0.84418
56,0.18097,0.28708,0.35557,0.5023,0.84306,0.84418
57,0.18122,0.28121,0.35369,0.49868,0.83987,0.84418
58,0.18053,0.28239,0.34784,0.49564,0.84284,0.84418
59,0.18003,0.27755,0.35006,0.49383,0.84232,0.84418
60,0.17888,0.26981,0.3477,0.48764,0.843,0.84418
61,0.17979,0.27555,0.35355,0.49434,0.84282,0.84418
62,0.17937,0.27119,0.34864,0.48928,0.84352,0.84418
63,0.17881,0.26711,0.34629,0.48552,0.84413,0.84418
64,0.1786,0.26826,0.34909,0.48727,0.84372,0.84418
65,0.17834,0.26824,0.34961,0.48727,0.84295,0.84418
66,0.17786,0.26265,0.34578,0.48207,0.84351,0.84418
67,0.17787,0.26096,0.34814,0.48242,0.84427,0.84427
68,0.17762,0.26296,0.3456,0.4819,0.84355,0.84427
69,0.17806,0.26207,0.34883,0.48351,0.84375,0.84427
70,0.17758,0.26117,0.34651,0.48143,0.84364,0.84427
71,0.17821,0.26244,0.34788,0.48336,0.84274,0.84427
72,0.17788,0.25927,0.34946,0.48224,0.84279,0.84427
73,0.17743,0.25923,0.34811,0.4811,0.84326,0.84427
74,0.17762,0.26155,0.35021,0.4835,0.84363,0.84427
75,0.17747,0.26035,0.34587,0.48058,0.84336,0.84427
76,0.17704,0.25953,0.3504,0.482,0.84349,0.84427
77,0.17809,0.26404,0.34612,0.48317,0.84359,0.84427
78,0.17662,0.25793,0.35122,0.48119,0.84375,0.84427
79,0.17782,0.25877,0.3477,0.48106,0.84325,0.84427
80,0.17658,0.25403,0.34895,0.47807,0.84373,0.84427
81,0.17681,0.25791,0.34842,0.47997,0.84334,0.84427
82,0.17726,0.25657,0.34687,0.47898,0.84359,0.84427
83,0.17644,0.25408,0.34834,0.47765,0.84346,0.84427
84,0.17646,0.25587,0.34768,0.47823,0.844,0.84427
85,0.17688,0.25507,0.34745,0.47814,0.84318,0.84427
86,0.17674,0.25503,0.34731,0.47791,0.8439,0.84427
87,0.17635,0.25542,0.34634,0.47724,0.84347,0.84427
88,0.17632,0.25252,0.34597,0.47557,0.84382,0.84427
89,0.17695,0.25288,0.34575,0.47627,0.84364,0.84427
90,0.1764,0.2537,0.34918,0.47784,0.84367,0.84427
91,0.17633,0.25378,0.34781,0.47712,0.84363,0.84427
92,0.17643,0.25223,0.34747,0.47628,0.84359,0.84427
93,0.17686,0.25823,0.34936,0.48066,0.84362,0.84427
94,0.17671,0.25564,0.34573,0.4774,0.84364,0.84427
95,0.17575,0.251,0.34623,0.47437,0.8437,0.84427
96,0.17678,0.25408,0.34679,0.47721,0.84365,0.84427
97,0.17634,0.25453,0.34699,0.47709,0.8437,0.84427
98,0.17664,0.2525,0.3473,0.47654,0.8435,0.84427
99,0.17621,0.25223,0.34692,0.47579,0.84361,0.84427
100,0.17652,0.25156,0.34735,0.47598,0.8436,0.84427
