epoch,bce,kd,total,val_auc,best_val_auc
1,0.41168,1.63709,2.04876,0.87752,0.87752
2,0.29903,0.55387,0.8529,0.8931,0.8931
3,0.27548,0.40663,0.68211,0.89475,0.89475
4,0.26186,0.33903,0.60089,0.89594,0.89594
5,0.24645,0.26459,0.51104,0.89633,0.89633
6,0.24026,0.24591,0.48617,0.90016,0.90016
7,0.22999,0.20707,0.43706,0.89785,0.90016
8,0.22106,0.17586,0.39692,0.90332,0.90332
9,0.21646,0.16275,0.37921,0.90166,0.90332
10,0.21139,0.16403,0.37542,0.90055,0.90332
11,0.20582,0.13365,0.33947,0.90356,0.90356
12,0.20293,0.12491,0.32785,0.90098,0.90356
13,0.20121,0.13146,0.33267,0.90431,0.90431
14,0.19907,0.11443,0.31349,0.90278,0.90431
15,0.19725,0.11143,0.30868,0.90334,0.90431
16,0.19417,0.09325,0.28742,0.90102,0.90431
17,0.193,0.09514,0.28814,0.90446,0.90446
18,0.19287,0.10214,0.29501,0.90363,0.90446
19,0.19402,0.10749,0.30151,0.90452,0.90452
20,0.19051,0.08817,0.27869,0.9043,0.90452
21,0.18848,0.08439,0.27286,0.90403,0.90452
22,0.18759,0.08473,0.27231,0.90408,0.90452
23,0.18836,0.096,0.28436,0.90535,0.90535
24,0.18763,0.07818,0.26581,0.90445,0.90535
25,0.18698,0.08145,0.26843,0.90552,0.90552
26,0.18605,0.07418,0.26024,0.90569,0.90569
27,0.18519,0.0723,0.25748,0.90486,0.90569
28,0.18495,0.07852,0.26347,0.90171,0.90569
29,0.18408,0.06951,0.25359,0.90487,0.90569
30,0.18405,0.07278,0.25683,0.90312,0.90569
31,0.18432,0.07162,0.25594,0.9052,0.90569
32,0.18195,0.06253,0.24448,0.90539,0.90569
33,0.18259,0.06131,0.2439,0.90511,0.90569
34,0.18132,0.06303,0.24435,0.90658,0.90658
35,0.18123,0.0583,0.23953,0.90481,0.90658
36,0.18145,0.06231,0.24376,0.90518,0.90658
37,0.18414,0.07909,0.26323,0.90557,0.90658
38,0.1809,0.05471,0.23561,0.90653,0.90658
39,0.18211,0.06258,0.24469,0.90558,0.90658
40,0.18164,0.05921,0.24085,0.90188,0.90658
41,0.18042,0.0565,0.23691,0.90675,0.90675
42,0.18124,0.0613,0.24254,0.90475,0.90675
43,0.18104,0.06487,0.24591,0.90606,0.90675
44,0.17918,0.05336,0.23254,0.90576,0.90675
45,0.17942,0.05312,0.23255,0.90617,0.90675
46,0.17816,0.04648,0.22464,0.90609,0.90675
47,0.17888,0.04965,0.22853,0.90499,0.90675
48,0.17918,0.05095,0.23013,0.90611,0.90675
49,0.17809,0.04361,0.2217,0.90555,0.90675
50,0.17786,0.04148,0.21934,0.90659,0.90675
51,0.17794,0.04899,0.22692,0.90614,0.90675
52,0.17797,0.04519,0.22316,0.9061,0.90675
53,0.17957,0.05432,0.23389,0.90577,0.90675
54,0.1786,0.04664,0.22524,0.90532,0.90675
55,0.17827,0.04724,0.22551,0.90658,0.90675
56,0.17745,0.04441,0.22186,0.90557,0.90675
57,0.17773,0.0446,0.22233,0.90644,0.90675
58,0.17696,0.0382,0.21516,0.9061,0.90675
59,0.17745,0.03842,0.21587,0.90655,0.90675
60,0.17682,0.03875,0.21558,0.90627,0.90675
61,0.1768,0.04118,0.21798,0.90672,0.90675
62,0.17773,0.04421,0.22194,0.9055,0.90675
63,0.17615,0.03368,0.20982,0.90553,0.90675
64,0.17625,0.03683,0.21308,0.90577,0.90675
65,0.1775,0.03888,0.21638,0.90558,0.90675
66,0.17597,0.03612,0.21209,0.90568,0.90675
67,0.17674,0.03764,0.21438,0.90689,0.90689
68,0.17653,0.03704,0.21357,0.90536,0.90689
69,0.17664,0.03606,0.2127,0.90603,0.90689
70,0.17631,0.03507,0.21139,0.90586,0.90689
71,0.17637,0.03416,0.21053,0.90634,0.90689
72,0.1761,0.03189,0.208,0.90595,0.90689
73,0.17592,0.03209,0.20801,0.9059,0.90689
74,0.17586,0.03368,0.20954,0.90618,0.90689
75,0.17646,0.03481,0.21127,0.90585,0.90689
76,0.17625,0.03242,0.20868,0.90655,0.90689
77,0.17537,0.03144,0.20681,0.90599,0.90689
78,0.17567,0.03201,0.20768,0.90663,0.90689
79,0.1757,0.03083,0.20653,0.90598,0.90689
80,0.17557,0.03097,0.20654,0.90616,0.90689
81,0.17512,0.03085,0.20597,0.90628,0.90689
82,0.17549,0.03357,0.20905,0.9065,0.90689
83,0.17562,0.03133,0.20695,0.90638,0.90689
84,0.17519,0.0291,0.20429,0.90634,0.90689
85,0.17564,0.02984,0.20549,0.90637,0.90689
86,0.1751,0.02951,0.20462,0.90661,0.90689
87,0.1757,0.0299,0.2056,0.90646,0.90689
88,0.17485,0.0297,0.20456,0.90639,0.90689
89,0.17513,0.02933,0.20446,0.90628,0.90689
90,0.17553,0.03022,0.20574,0.90633,0.90689
91,0.17565,0.03012,0.20578,0.90653,0.90689
92,0.17502,0.0287,0.20372,0.90649,0.90689
93,0.17469,0.02871,0.2034,0.90646,0.90689
94,0.17555,0.02851,0.20407,0.90634,0.90689
95,0.17525,0.02857,0.20382,0.90645,0.90689
96,0.17466,0.02795,0.20261,0.90643,0.90689
97,0.17494,0.02793,0.20287,0.9064,0.90689
98,0.17505,0.02766,0.20272,0.9064,0.90689
99,0.17529,0.02834,0.20362,0.90646,0.90689
100,0.17567,0.02922,0.20489,0.90638,0.90689
