epoch,bce,kd,total,val_auc,best_val_auc
1,0.47493,1.20116,1.67609,0.80854,0.80854
2,0.39801,0.52253,0.92054,0.83072,0.83072
3,0.38212,0.40274,0.78486,0.8344,0.8344
4,0.37406,0.34896,0.72302,0.8395,0.8395
5,0.36585,0.3014,0.66725,0.84018,0.84018
6,0.36181,0.29206,0.65386,0.83265,0.84018
7,0.35708,0.26667,0.62375,0.83448,0.84018
8,0.34995,0.24214,0.59209,0.84373,0.84373
9,0.34454,0.22721,0.57175,0.84126,0.84373
10,0.34075,0.21387,0.55462,0.84494,0.84494
11,0.33639,0.20269,0.53908,0.84357,0.84494
12,0.33077,0.19381,0.52458,0.83923,0.84494
13,0.32459,0.18016,0.50475,0.83783,0.84494
14,0.31943,0.16893,0.48836,0.84358,0.84494
15,0.31231,0.14531,0.45762,0.84363,0.84494
16,0.30762,0.15822,0.46584,0.84154,0.84494
17,0.2994,0.13225,0.43165,0.84579,0.84579
18,0.29304,0.12607,0.41911,0.84457,0.84579
19,0.2837,0.11333,0.39703,0.84606,0.84606
20,0.27833,0.1113,0.38963,0.84189,0.84606
21,0.26931,0.09965,0.36896,0.8444,0.84606
22,0.26724,0.10328,0.37052,0.84478,0.84606
23,0.25985,0.09095,0.35079,0.84172,0.84606
24,0.25246,0.08387,0.33634,0.84458,0.84606
25,0.25108,0.08654,0.33761,0.84819,0.84819
26,0.2447,0.07744,0.32213,0.84434,0.84819
27,0.2414,0.07502,0.31642,0.84334,0.84819
28,0.23791,0.07391,0.31183,0.84234,0.84819
29,0.23601,0.07325,0.30926,0.8444,0.84819
30,0.23306,0.06891,0.30198,0.84678,0.84819
31,0.23046,0.06598,0.29644,0.84434,0.84819
32,0.22781,0.06923,0.29704,0.84241,0.84819
33,0.2234,0.05996,0.28336,0.84769,0.84819
34,0.22291,0.06168,0.28459,0.84661,0.84819
35,0.22115,0.06111,0.28226,0.84254,0.84819
36,0.22143,0.06005,0.28148,0.84528,0.84819
37,0.21984,0.06525,0.28509,0.84549,0.84819
38,0.21628,0.06099,0.27726,0.84565,0.84819
39,0.217,0.05663,0.27363,0.84898,0.84898
40,0.21494,0.05456,0.2695,0.84659,0.84898
41,0.2137,0.05697,0.27067,0.8469,0.84898
42,0.21198,0.04837,0.26035,0.84766,0.84898
43,0.21034,0.04731,0.25765,0.84676,0.84898
44,0.20896,0.04338,0.25235,0.8473,0.84898
45,0.21022,0.05015,0.26037,0.84701,0.84898
46,0.20868,0.04262,0.2513,0.84721,0.84898
47,0.20792,0.0466,0.25452,0.84624,0.84898
48,0.20975,0.04954,0.25929,0.84814,0.84898
49,0.20757,0.04505,0.25262,0.84725,0.84898
50,0.20739,0.04477,0.25216,0.84961,0.84961
51,0.20658,0.0435,0.25008,0.84536,0.84961
52,0.20685,0.0443,0.25115,0.84729,0.84961
53,0.20559,0.04296,0.24855,0.84626,0.84961
54,0.20534,0.04524,0.25058,0.84798,0.84961
55,0.20409,0.04149,0.24557,0.84747,0.84961
56,0.20399,0.03885,0.24284,0.84834,0.84961
57,0.20335,0.03773,0.24108,0.8488,0.84961
58,0.20348,0.04079,0.24426,0.84845,0.84961
59,0.20328,0.03818,0.24147,0.84741,0.84961
60,0.20282,0.03824,0.24106,0.84861,0.84961
61,0.20223,0.03853,0.24076,0.84862,0.84961
62,0.20209,0.03728,0.23937,0.84892,0.84961
63,0.20319,0.03925,0.24244,0.84778,0.84961
64,0.20237,0.03903,0.2414,0.84933,0.84961
65,0.20208,0.03797,0.24005,0.84919,0.84961
66,0.20205,0.03708,0.23913,0.84758,0.84961
67,0.2021,0.03674,0.23884,0.84915,0.84961
68,0.20124,0.03667,0.23791,0.84836,0.84961
69,0.20108,0.03577,0.23685,0.84839,0.84961
70,0.20153,0.03529,0.23682,0.8488,0.84961
71,0.20115,0.03614,0.23729,0.84817,0.84961
72,0.20127,0.036,0.23727,0.84874,0.84961
73,0.20079,0.03658,0.23736,0.84817,0.84961
74,0.2003,0.03335,0.23365,0.8488,0.84961
75,0.20055,0.03508,0.23563,0.84823,0.84961
76,0.20064,0.03336,0.234,0.84914,0.84961
77,0.19935,0.03384,0.23319,0.84851,0.84961
78,0.20019,0.03298,0.23317,0.84848,0.84961
79,0.20066,0.03273,0.23339,0.84883,0.84961
80,0.20003,0.03376,0.2338,0.8492,0.84961
81,0.19983,0.031,0.23083,0.84899,0.84961
82,0.19968,0.03146,0.23113,0.8488,0.84961
83,0.19996,0.03269,0.23265,0.84864,0.84961
84,0.2002,0.03156,0.23176,0.84918,0.84961
85,0.19988,0.03271,0.23258,0.84896,0.84961
86,0.19938,0.03112,0.2305,0.84873,0.84961
87,0.19955,0.03212,0.23167,0.84907,0.84961
88,0.20009,0.03211,0.2322,0.84878,0.84961
89,0.19927,0.0321,0.23137,0.84888,0.84961
90,0.19995,0.03131,0.23126,0.84896,0.84961
91,0.19932,0.03252,0.23184,0.84922,0.84961
92,0.19993,0.032,0.23193,0.84892,0.84961
93,0.20001,0.03138,0.23139,0.84921,0.84961
94,0.19912,0.03137,0.2305,0.84895,0.84961
95,0.19924,0.0297,0.22894,0.84905,0.84961
96,0.19906,0.03121,0.23027,0.84894,0.84961
97,0.19924,0.03124,0.23048,0.84895,0.84961
98,0.1994,0.03287,0.23226,0.84895,0.84961
99,0.19937,0.03109,0.23046,0.84899,0.84961
100,0.19943,0.02979,0.22922,0.84896,0.84961
