epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,gated_kd,segment_feature,mean_w_teacher,mean_w_ta,mean_agreement,total,macro_auc,macro_f1
1,0.4367,0.0,0.87477,3.57348,0.00215,0.0,0.0,0.0,0.0,0.0,1.66925,0.83216,0.56069
2,0.38098,0.0,0.27332,1.98667,0.00215,0.0,0.0,0.0,0.0,0.0,0.8534,0.83926,0.51879
3,0.37017,0.0,0.20407,1.40983,0.00215,0.0,0.0,0.0,0.0,0.0,0.71565,0.84662,0.55377
4,0.3642,0.0,0.17076,1.10152,0.00215,0.0,0.0,0.0,0.0,0.0,0.64555,0.8443,0.55765
5,0.3596,0.0,0.14653,0.95039,0.00215,0.0,0.0,0.0,0.0,0.0,0.6016,0.84585,0.54523
6,0.35455,0.0,0.13398,0.85645,0.00215,0.0,0.0,0.0,0.0,0.0,0.5746,0.84576,0.53941
7,0.34936,0.0,0.11844,0.79725,0.00215,0.0,0.0,0.0,0.0,0.0,0.54796,0.84807,0.53881
8,0.34655,0.0,0.10743,0.74278,0.00215,0.0,0.0,0.0,0.0,0.0,0.52869,0.84655,0.55516
9,0.34224,0.0,0.09895,0.68647,0.00215,0.0,0.0,0.0,0.0,0.0,0.51027,0.84557,0.54632
10,0.33813,0.0,0.09452,0.65351,0.00215,0.0,0.0,0.0,0.0,0.0,0.49843,0.84509,0.56712
11,0.33402,0.0,0.09215,0.61924,0.00215,0.0,0.0,0.0,0.0,0.0,0.48852,0.84498,0.54024
12,0.33082,0.0,0.08471,0.5938,0.00215,0.0,0.0,0.0,0.0,0.0,0.47534,0.84719,0.53472
13,0.32571,0.0,0.08119,0.5733,0.00216,0.0,0.0,0.0,0.0,0.0,0.46467,0.84478,0.54938
14,0.32087,0.0,0.0776,0.54449,0.00216,0.0,0.0,0.0,0.0,0.0,0.45335,0.84411,0.54708
15,0.3179,0.0,0.0739,0.52608,0.00216,0.0,0.0,0.0,0.0,0.0,0.44484,0.84699,0.55289
16,0.31368,0.0,0.07083,0.51118,0.00216,0.0,0.0,0.0,0.0,0.0,0.43605,0.84465,0.54195
17,0.30923,0.0,0.06484,0.49679,0.00216,0.0,0.0,0.0,0.0,0.0,0.42418,0.84412,0.55734
18,0.30608,0.0,0.06817,0.48943,0.00215,0.0,0.0,0.0,0.0,0.0,0.42362,0.84713,0.55875
19,0.30272,0.0,0.06081,0.47112,0.00216,0.0,0.0,0.0,0.0,0.0,0.41108,0.84661,0.52955
20,0.29937,0.0,0.06905,0.46901,0.00216,0.0,0.0,0.0,0.0,0.0,0.41575,0.84744,0.55836
21,0.29726,0.0,0.05791,0.44907,0.00216,0.0,0.0,0.0,0.0,0.0,0.40052,0.84654,0.54139
22,0.29454,0.0,0.06069,0.44309,0.00216,0.0,0.0,0.0,0.0,0.0,0.39997,0.84728,0.5487
23,0.29168,0.0,0.05169,0.4346,0.00216,0.0,0.0,0.0,0.0,0.0,0.38726,0.84723,0.54954
24,0.28871,0.0,0.05615,0.43214,0.00215,0.0,0.0,0.0,0.0,0.0,0.3885,0.84764,0.5421
25,0.28699,0.0,0.05516,0.43039,0.00215,0.0,0.0,0.0,0.0,0.0,0.38562,0.84935,0.54657
26,0.28578,0.0,0.05648,0.42104,0.00215,0.0,0.0,0.0,0.0,0.0,0.38479,0.84739,0.55659
27,0.28415,0.0,0.05428,0.41323,0.00215,0.0,0.0,0.0,0.0,0.0,0.38018,0.84622,0.55141
28,0.28126,0.0,0.05224,0.40976,0.00215,0.0,0.0,0.0,0.0,0.0,0.37491,0.84847,0.54631
29,0.27997,0.0,0.05303,0.40617,0.00215,0.0,0.0,0.0,0.0,0.0,0.37405,0.84777,0.52794
30,0.27924,0.0,0.05387,0.3996,0.00215,0.0,0.0,0.0,0.0,0.0,0.3735,0.84752,0.55517
31,0.27855,0.0,0.0589,0.404,0.00215,0.0,0.0,0.0,0.0,0.0,0.37828,0.84736,0.557
32,0.27671,0.0,0.05503,0.39766,0.00215,0.0,0.0,0.0,0.0,0.0,0.37193,0.84799,0.54254
33,0.27432,0.0,0.05052,0.38989,0.00215,0.0,0.0,0.0,0.0,0.0,0.36427,0.84674,0.54301
34,0.27298,0.0,0.05111,0.38811,0.00215,0.0,0.0,0.0,0.0,0.0,0.36333,0.84782,0.54749
35,0.27153,0.0,0.04962,0.38434,0.00215,0.0,0.0,0.0,0.0,0.0,0.36001,0.84769,0.53296
36,0.27178,0.0,0.05027,0.38163,0.00215,0.0,0.0,0.0,0.0,0.0,0.36064,0.84649,0.55317
37,0.27007,0.0,0.04775,0.37612,0.00215,0.0,0.0,0.0,0.0,0.0,0.35586,0.84647,0.54737
38,0.26891,0.0,0.04622,0.37067,0.00215,0.0,0.0,0.0,0.0,0.0,0.35262,0.8475,0.54981
39,0.2682,0.0,0.04662,0.37105,0.00215,0.0,0.0,0.0,0.0,0.0,0.35235,0.84758,0.52767
40,0.26649,0.0,0.04587,0.36811,0.00215,0.0,0.0,0.0,0.0,0.0,0.3496,0.84747,0.55658
41,0.26697,0.0,0.04943,0.36685,0.00215,0.0,0.0,0.0,0.0,0.0,0.35352,0.84602,0.5587
42,0.26533,0.0,0.04751,0.36419,0.00215,0.0,0.0,0.0,0.0,0.0,0.34969,0.84675,0.55098
43,0.26567,0.0,0.04592,0.36206,0.00215,0.0,0.0,0.0,0.0,0.0,0.34823,0.84644,0.54937
44,0.26505,0.0,0.04817,0.36349,0.00215,0.0,0.0,0.0,0.0,0.0,0.35,0.84724,0.55018
45,0.26491,0.0,0.04773,0.36131,0.00215,0.0,0.0,0.0,0.0,0.0,0.3492,0.84706,0.55137
46,0.26441,0.0,0.04628,0.36001,0.00215,0.0,0.0,0.0,0.0,0.0,0.34712,0.84714,0.54632
47,0.26385,0.0,0.04449,0.35753,0.00215,0.0,0.0,0.0,0.0,0.0,0.34452,0.84693,0.55058
48,0.26364,0.0,0.04525,0.36048,0.00215,0.0,0.0,0.0,0.0,0.0,0.34537,0.847,0.55023
49,0.26293,0.0,0.04602,0.35648,0.00215,0.0,0.0,0.0,0.0,0.0,0.34503,0.8473,0.55009
50,0.26288,0.0,0.04494,0.35321,0.00215,0.0,0.0,0.0,0.0,0.0,0.34356,0.84719,0.54504
