epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,gated_kd,segment_feature,mean_w_teacher,mean_w_ta,mean_agreement,total,macro_auc,macro_f1
1,0.43709,0.0,0.93983,3.68583,0.00212,0.0,0.0,0.0,0.0,0.0,1.74593,0.83653,0.56074
2,0.38433,0.0,0.37015,2.12283,0.00209,0.0,0.0,0.0,0.0,0.0,0.96719,0.84089,0.52744
3,0.37128,0.0,0.28096,1.497,0.00209,0.0,0.0,0.0,0.0,0.0,0.80235,0.84895,0.5472
4,0.36431,0.0,0.22926,1.18821,0.00208,0.0,0.0,0.0,0.0,0.0,0.71281,0.84571,0.56488
5,0.35909,0.0,0.19885,1.0151,0.00208,0.0,0.0,0.0,0.0,0.0,0.65987,0.84846,0.57291
6,0.35377,0.0,0.18001,0.9062,0.00208,0.0,0.0,0.0,0.0,0.0,0.62481,0.84862,0.5547
7,0.34792,0.0,0.15926,0.81603,0.00208,0.0,0.0,0.0,0.0,0.0,0.5892,0.84856,0.54132
8,0.34429,0.0,0.14388,0.76392,0.00208,0.0,0.0,0.0,0.0,0.0,0.56497,0.84817,0.55551
9,0.34001,0.0,0.12921,0.68981,0.00208,0.0,0.0,0.0,0.0,0.0,0.53862,0.84863,0.55283
10,0.33588,0.0,0.1206,0.65267,0.00208,0.0,0.0,0.0,0.0,0.0,0.52217,0.8484,0.5538
11,0.33019,0.0,0.11623,0.6095,0.00208,0.0,0.0,0.0,0.0,0.0,0.50778,0.84773,0.56188
12,0.32604,0.0,0.10372,0.57227,0.00208,0.0,0.0,0.0,0.0,0.0,0.48741,0.84752,0.54072
13,0.32115,0.0,0.10147,0.55452,0.00208,0.0,0.0,0.0,0.0,0.0,0.4785,0.84788,0.5665
14,0.31476,0.0,0.09159,0.52623,0.00208,0.0,0.0,0.0,0.0,0.0,0.45939,0.84832,0.56842
15,0.31069,0.0,0.08744,0.50281,0.00209,0.0,0.0,0.0,0.0,0.0,0.44882,0.84767,0.55636
16,0.30587,0.0,0.08012,0.47882,0.00208,0.0,0.0,0.0,0.0,0.0,0.43429,0.84695,0.55899
17,0.30235,0.0,0.07408,0.46686,0.00208,0.0,0.0,0.0,0.0,0.0,0.42354,0.84791,0.57636
18,0.29822,0.0,0.07701,0.45923,0.00209,0.0,0.0,0.0,0.0,0.0,0.42157,0.84874,0.58111
19,0.29423,0.0,0.0682,0.44193,0.00209,0.0,0.0,0.0,0.0,0.0,0.40704,0.84673,0.53696
20,0.29231,0.0,0.07516,0.43762,0.00208,0.0,0.0,0.0,0.0,0.0,0.41164,0.84868,0.56564
21,0.28939,0.0,0.06348,0.41393,0.00208,0.0,0.0,0.0,0.0,0.0,0.39468,0.84829,0.55663
22,0.28673,0.0,0.06574,0.40805,0.00208,0.0,0.0,0.0,0.0,0.0,0.3937,0.84856,0.55783
23,0.28398,0.0,0.05537,0.395,0.00208,0.0,0.0,0.0,0.0,0.0,0.37927,0.84886,0.55659
24,0.28089,0.0,0.0603,0.39147,0.00208,0.0,0.0,0.0,0.0,0.0,0.38076,0.84889,0.56356
25,0.27979,0.0,0.0576,0.38604,0.00208,0.0,0.0,0.0,0.0,0.0,0.37641,0.84855,0.5704
26,0.27828,0.0,0.05885,0.38165,0.00208,0.0,0.0,0.0,0.0,0.0,0.37572,0.84787,0.56288
27,0.27719,0.0,0.05805,0.3702,0.00208,0.0,0.0,0.0,0.0,0.0,0.37268,0.848,0.56571
28,0.27403,0.0,0.055,0.36771,0.00208,0.0,0.0,0.0,0.0,0.0,0.36622,0.84976,0.56595
29,0.27236,0.0,0.05493,0.36054,0.00208,0.0,0.0,0.0,0.0,0.0,0.36376,0.84657,0.55578
30,0.2719,0.0,0.05717,0.35684,0.00208,0.0,0.0,0.0,0.0,0.0,0.36518,0.84943,0.56718
31,0.27138,0.0,0.06128,0.35648,0.00208,0.0,0.0,0.0,0.0,0.0,0.36873,0.8475,0.55929
32,0.26933,0.0,0.05793,0.35193,0.00208,0.0,0.0,0.0,0.0,0.0,0.36287,0.84831,0.55498
33,0.26767,0.0,0.05398,0.34393,0.00208,0.0,0.0,0.0,0.0,0.0,0.35646,0.84883,0.55295
34,0.26641,0.0,0.05249,0.34224,0.00208,0.0,0.0,0.0,0.0,0.0,0.35355,0.8483,0.55943
35,0.26459,0.0,0.05156,0.33724,0.00208,0.0,0.0,0.0,0.0,0.0,0.3503,0.84823,0.54958
36,0.26488,0.0,0.05037,0.33351,0.00208,0.0,0.0,0.0,0.0,0.0,0.34901,0.84801,0.56148
37,0.26346,0.0,0.05036,0.328,0.00208,0.0,0.0,0.0,0.0,0.0,0.34704,0.84721,0.55848
38,0.26248,0.0,0.04706,0.32418,0.00208,0.0,0.0,0.0,0.0,0.0,0.34238,0.84842,0.5621
39,0.26182,0.0,0.04816,0.32404,0.00208,0.0,0.0,0.0,0.0,0.0,0.34279,0.84805,0.54414
40,0.26053,0.0,0.04693,0.31992,0.00208,0.0,0.0,0.0,0.0,0.0,0.33986,0.84918,0.56833
41,0.26031,0.0,0.04871,0.31585,0.00208,0.0,0.0,0.0,0.0,0.0,0.34102,0.84772,0.56742
42,0.25946,0.0,0.04776,0.31631,0.00208,0.0,0.0,0.0,0.0,0.0,0.33927,0.84784,0.55958
43,0.25935,0.0,0.04643,0.31295,0.00208,0.0,0.0,0.0,0.0,0.0,0.3375,0.84872,0.55745
44,0.25918,0.0,0.04741,0.31529,0.00208,0.0,0.0,0.0,0.0,0.0,0.33854,0.84866,0.55993
