epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,total,macro_auc,macro_f1
1,0.4289,0.0,0.79063,3.31601,0.00217,1.55157,0.83236,0.54587
2,0.36552,0.0,0.25087,1.42658,0.00217,0.75948,0.83601,0.53669
3,0.34529,0.0,0.17096,0.90033,0.00217,0.60672,0.84066,0.5883
4,0.33065,0.0,0.12832,0.69655,0.00217,0.52907,0.84182,0.56194
5,0.31605,0.0,0.09978,0.57646,0.00217,0.47391,0.84107,0.55622
6,0.30503,0.0,0.09037,0.52072,0.00217,0.44791,0.84112,0.56714
7,0.29573,0.0,0.08207,0.47098,0.00217,0.42533,0.84269,0.5534
8,0.28974,0.0,0.07549,0.43433,0.00217,0.4091,0.84256,0.56738
9,0.285,0.0,0.07339,0.41092,0.00217,0.39992,0.84262,0.57569
10,0.28164,0.0,0.07164,0.3937,0.00217,0.39308,0.84233,0.57913
11,0.27856,0.0,0.07161,0.37464,0.00217,0.38806,0.84191,0.57008
12,0.27645,0.0,0.0685,0.36236,0.00217,0.38162,0.84488,0.57447
13,0.27404,0.0,0.06794,0.35618,0.00217,0.37803,0.84428,0.58166
14,0.27267,0.0,0.06529,0.34411,0.00217,0.3728,0.84275,0.57473
15,0.27147,0.0,0.06411,0.33024,0.00217,0.36903,0.84236,0.58291
16,0.26975,0.0,0.06352,0.32647,0.00217,0.36636,0.84399,0.57583
17,0.26802,0.0,0.05875,0.3156,0.00217,0.35876,0.84369,0.57123
18,0.2679,0.0,0.06462,0.30869,0.00217,0.36382,0.84426,0.57032
19,0.2653,0.0,0.05626,0.29639,0.00217,0.35163,0.8457,0.57191
20,0.26563,0.0,0.06766,0.3001,0.00217,0.36373,0.84273,0.57485
21,0.26442,0.0,0.05699,0.28606,0.00217,0.35045,0.84398,0.5861
22,0.26311,0.0,0.05849,0.28538,0.00217,0.35057,0.8445,0.57406
23,0.26256,0.0,0.05027,0.27303,0.00217,0.34057,0.84449,0.57456
24,0.26107,0.0,0.05515,0.27547,0.00217,0.34421,0.84534,0.58396
25,0.26041,0.0,0.05274,0.26963,0.00217,0.34056,0.84582,0.58148
26,0.26061,0.0,0.05222,0.26224,0.00217,0.33948,0.84542,0.58032
27,0.26006,0.0,0.05395,0.25906,0.00217,0.34035,0.84506,0.57023
28,0.25883,0.0,0.05125,0.25638,0.00217,0.33615,0.84665,0.55768
29,0.25883,0.0,0.05257,0.25542,0.00217,0.33737,0.84617,0.56242
30,0.25872,0.0,0.05337,0.24933,0.00217,0.33745,0.84598,0.5806
31,0.25869,0.0,0.05556,0.25138,0.00217,0.33983,0.84555,0.56794
32,0.25802,0.0,0.0536,0.24714,0.00217,0.33677,0.84585,0.56786
33,0.25676,0.0,0.04966,0.2422,0.00217,0.33107,0.84581,0.56715
34,0.25634,0.0,0.04833,0.23834,0.00217,0.32893,0.84588,0.56161
35,0.25606,0.0,0.04648,0.23654,0.00217,0.32663,0.84549,0.57645
36,0.25567,0.0,0.04771,0.23395,0.00217,0.32721,0.84552,0.58238
37,0.25528,0.0,0.04487,0.23053,0.00217,0.32364,0.84585,0.57715
38,0.25435,0.0,0.04395,0.22759,0.00217,0.32149,0.84596,0.57033
39,0.25496,0.0,0.04454,0.2269,0.00217,0.32263,0.84606,0.56272
40,0.25389,0.0,0.04375,0.22263,0.00217,0.32033,0.84564,0.57734
41,0.25458,0.0,0.04603,0.22276,0.00217,0.32331,0.84543,0.57973
42,0.2533,0.0,0.04508,0.22012,0.00217,0.32082,0.84558,0.57584
43,0.25401,0.0,0.04319,0.21918,0.00217,0.31955,0.84614,0.57502
44,0.25377,0.0,0.04478,0.22015,0.00217,0.321,0.84619,0.57346
45,0.25389,0.0,0.04359,0.22034,0.00217,0.31995,0.84549,0.57803
46,0.25366,0.0,0.04374,0.21852,0.00217,0.31969,0.84624,0.57037
47,0.25374,0.0,0.04206,0.21527,0.00217,0.31776,0.84564,0.5718
48,0.2532,0.0,0.04176,0.21794,0.00217,0.31718,0.8459,0.57074
49,0.253,0.0,0.04237,0.21482,0.00217,0.31728,0.8462,0.57367
50,0.25321,0.0,0.04183,0.21158,0.00217,0.31663,0.8464,0.57296
51,0.25342,0.0,0.04174,0.21248,0.00217,0.31684,0.84598,0.5736
52,0.25275,0.0,0.04009,0.21132,0.00217,0.31441,0.84621,0.57472
53,0.25269,0.0,0.04159,0.21005,0.00217,0.31572,0.84627,0.57667
54,0.25289,0.0,0.04096,0.21089,0.00217,0.31537,0.84638,0.57134
55,0.25283,0.0,0.04094,0.21041,0.00217,0.31525,0.84598,0.57404
56,0.25231,0.0,0.04068,0.21113,0.00217,0.31454,0.84609,0.57308
57,0.25261,0.0,0.04086,0.20815,0.00217,0.31472,0.84613,0.5743
58,0.25303,0.0,0.04109,0.2105,0.00217,0.3156,0.84616,0.57376
59,0.25262,0.0,0.041,0.20952,0.00217,0.315,0.84611,0.57373
60,0.25295,0.0,0.04057,0.2097,0.00217,0.31493,0.84609,0.57273
