epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,gated_kd,segment_feature,mean_w_teacher,mean_w_ta,mean_agreement,total,macro_auc,macro_f1
1,0.41982,0.0,0.64636,2.13728,0.00222,0.0,0.0,0.0,0.0,0.0,1.28035,0.84011,0.53955
2,0.37358,0.0,0.24046,1.02825,0.00222,0.0,0.0,0.0,0.0,0.0,0.71731,0.83691,0.52956
3,0.36561,0.0,0.19934,0.83771,0.00222,0.0,0.0,0.0,0.0,0.0,0.64917,0.8434,0.51974
4,0.36139,0.0,0.17642,0.75163,0.00222,0.0,0.0,0.0,0.0,0.0,0.61343,0.83988,0.55106
5,0.35686,0.0,0.1548,0.6896,0.00222,0.0,0.0,0.0,0.0,0.0,0.58105,0.84547,0.57254
6,0.35304,0.0,0.14562,0.65279,0.00222,0.0,0.0,0.0,0.0,0.0,0.56439,0.84682,0.54158
7,0.34839,0.0,0.13144,0.62943,0.00222,0.0,0.0,0.0,0.0,0.0,0.54322,0.84651,0.5512
8,0.34718,0.0,0.12209,0.60761,0.00222,0.0,0.0,0.0,0.0,0.0,0.53048,0.84864,0.55653
9,0.34463,0.0,0.1101,0.58237,0.00222,0.0,0.0,0.0,0.0,0.0,0.51341,0.84811,0.57388
10,0.3424,0.0,0.10885,0.56787,0.00222,0.0,0.0,0.0,0.0,0.0,0.50847,0.84784,0.55167
11,0.33913,0.0,0.10226,0.55838,0.00222,0.0,0.0,0.0,0.0,0.0,0.49767,0.84702,0.54075
12,0.33785,0.0,0.0998,0.54828,0.00222,0.0,0.0,0.0,0.0,0.0,0.49292,0.84764,0.5476
13,0.33444,0.0,0.09354,0.5358,0.00222,0.0,0.0,0.0,0.0,0.0,0.482,0.84794,0.55828
14,0.3319,0.0,0.09002,0.52661,0.00222,0.0,0.0,0.0,0.0,0.0,0.47503,0.84974,0.54209
15,0.33018,0.0,0.08455,0.51696,0.00222,0.0,0.0,0.0,0.0,0.0,0.46687,0.85132,0.54572
16,0.32692,0.0,0.08084,0.49892,0.00222,0.0,0.0,0.0,0.0,0.0,0.45809,0.84537,0.5558
17,0.32462,0.0,0.07615,0.48616,0.00222,0.0,0.0,0.0,0.0,0.0,0.44983,0.84863,0.55116
18,0.32295,0.0,0.0788,0.47574,0.00222,0.0,0.0,0.0,0.0,0.0,0.44977,0.84855,0.5468
19,0.31999,0.0,0.06944,0.45524,0.00222,0.0,0.0,0.0,0.0,0.0,0.4354,0.85221,0.54173
20,0.31748,0.0,0.07801,0.44686,0.00222,0.0,0.0,0.0,0.0,0.0,0.44062,0.84639,0.54695
21,0.31602,0.0,0.06718,0.4278,0.00222,0.0,0.0,0.0,0.0,0.0,0.42643,0.85038,0.53262
22,0.312,0.0,0.06561,0.41774,0.00222,0.0,0.0,0.0,0.0,0.0,0.41982,0.85004,0.56129
23,0.30881,0.0,0.05628,0.41226,0.00222,0.0,0.0,0.0,0.0,0.0,0.40676,0.84938,0.56768
24,0.30592,0.0,0.06058,0.407,0.00222,0.0,0.0,0.0,0.0,0.0,0.40764,0.85017,0.54543
25,0.30305,0.0,0.05798,0.40208,0.00222,0.0,0.0,0.0,0.0,0.0,0.40168,0.85025,0.56323
26,0.30208,0.0,0.05834,0.39343,0.00221,0.0,0.0,0.0,0.0,0.0,0.40021,0.8498,0.5532
27,0.30033,0.0,0.05669,0.38905,0.00221,0.0,0.0,0.0,0.0,0.0,0.39637,0.84815,0.55577
28,0.29657,0.0,0.05376,0.38269,0.00221,0.0,0.0,0.0,0.0,0.0,0.38904,0.85078,0.55751
29,0.29487,0.0,0.05255,0.37786,0.00221,0.0,0.0,0.0,0.0,0.0,0.38565,0.84825,0.54679
30,0.29327,0.0,0.05475,0.37376,0.00221,0.0,0.0,0.0,0.0,0.0,0.38584,0.84718,0.56125
31,0.29189,0.0,0.05672,0.37571,0.00221,0.0,0.0,0.0,0.0,0.0,0.38662,0.84979,0.55565
32,0.28997,0.0,0.05379,0.37082,0.00221,0.0,0.0,0.0,0.0,0.0,0.38129,0.85069,0.56551
33,0.28685,0.0,0.04956,0.36404,0.00221,0.0,0.0,0.0,0.0,0.0,0.37326,0.84933,0.55365
34,0.2856,0.0,0.04953,0.36395,0.00221,0.0,0.0,0.0,0.0,0.0,0.37196,0.85013,0.55023
35,0.28402,0.0,0.04696,0.35923,0.00221,0.0,0.0,0.0,0.0,0.0,0.36735,0.84833,0.55345
36,0.28272,0.0,0.04705,0.35661,0.00221,0.0,0.0,0.0,0.0,0.0,0.36588,0.8488,0.56258
37,0.28133,0.0,0.04499,0.35171,0.00221,0.0,0.0,0.0,0.0,0.0,0.36193,0.84981,0.55383
38,0.27927,0.0,0.0435,0.34841,0.00221,0.0,0.0,0.0,0.0,0.0,0.35805,0.85057,0.56128
39,0.2788,0.0,0.04398,0.34854,0.00221,0.0,0.0,0.0,0.0,0.0,0.35807,0.85013,0.55231
40,0.27666,0.0,0.04273,0.34641,0.00221,0.0,0.0,0.0,0.0,0.0,0.35447,0.84954,0.56314
41,0.27662,0.0,0.0453,0.34429,0.00221,0.0,0.0,0.0,0.0,0.0,0.35679,0.84901,0.56696
42,0.27526,0.0,0.04485,0.34218,0.00221,0.0,0.0,0.0,0.0,0.0,0.35477,0.85073,0.55607
43,0.27496,0.0,0.0427,0.339,0.00221,0.0,0.0,0.0,0.0,0.0,0.352,0.84977,0.56152
44,0.27413,0.0,0.04385,0.34102,0.00221,0.0,0.0,0.0,0.0,0.0,0.35253,0.84955,0.55594
45,0.27366,0.0,0.04311,0.33957,0.00221,0.0,0.0,0.0,0.0,0.0,0.35117,0.84953,0.55132
46,0.27267,0.0,0.04278,0.33814,0.00221,0.0,0.0,0.0,0.0,0.0,0.34971,0.84988,0.55225
47,0.27223,0.0,0.04055,0.33664,0.00221,0.0,0.0,0.0,0.0,0.0,0.34689,0.85009,0.55486
48,0.27179,0.0,0.04122,0.3392,0.00221,0.0,0.0,0.0,0.0,0.0,0.34738,0.84941,0.56069
49,0.27097,0.0,0.04203,0.33532,0.00221,0.0,0.0,0.0,0.0,0.0,0.34697,0.84988,0.55616
50,0.27084,0.0,0.04095,0.33247,0.00221,0.0,0.0,0.0,0.0,0.0,0.34548,0.85032,0.55509
51,0.27084,0.0,0.04012,0.33138,0.00221,0.0,0.0,0.0,0.0,0.0,0.34454,0.85009,0.56073
52,0.27,0.0,0.03863,0.33026,0.00221,0.0,0.0,0.0,0.0,0.0,0.3421,0.85033,0.55459
53,0.26946,0.0,0.04116,0.33304,0.00221,0.0,0.0,0.0,0.0,0.0,0.34437,0.84991,0.55718
54,0.26955,0.0,0.03978,0.33055,0.00221,0.0,0.0,0.0,0.0,0.0,0.34283,0.8499,0.55641
55,0.26979,0.0,0.03923,0.33003,0.00221,0.0,0.0,0.0,0.0,0.0,0.34246,0.85013,0.5596
56,0.26864,0.0,0.03931,0.33131,0.00221,0.0,0.0,0.0,0.0,0.0,0.34152,0.84998,0.55853
57,0.26947,0.0,0.03956,0.32942,0.00221,0.0,0.0,0.0,0.0,0.0,0.34242,0.84987,0.55919
58,0.26929,0.0,0.03993,0.33116,0.00221,0.0,0.0,0.0,0.0,0.0,0.34278,0.84987,0.55867
59,0.26919,0.0,0.03943,0.33018,0.00221,0.0,0.0,0.0,0.0,0.0,0.34208,0.85005,0.55817
60,0.26917,0.0,0.03932,0.32888,0.00221,0.0,0.0,0.0,0.0,0.0,0.34181,0.84998,0.55678
