epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,gated_kd,segment_feature,mean_w_teacher,mean_w_ta,mean_agreement,total,macro_auc,macro_f1
1,0.42328,0.0,0.69349,1.96428,0.00221,0.0,0.0,0.0,0.0,0.0,1.31364,0.84361,0.537
2,0.37752,0.0,0.30095,0.79056,0.0022,0.0,0.0,0.0,0.0,0.0,0.75796,0.84001,0.57788
3,0.36718,0.0,0.24191,0.62112,0.00219,0.0,0.0,0.0,0.0,0.0,0.67164,0.84466,0.54574
4,0.36261,0.0,0.21175,0.54333,0.00219,0.0,0.0,0.0,0.0,0.0,0.62913,0.84878,0.58631
5,0.35785,0.0,0.18039,0.47718,0.00219,0.0,0.0,0.0,0.0,0.0,0.5864,0.85007,0.59314
6,0.35368,0.0,0.16526,0.44548,0.00219,0.0,0.0,0.0,0.0,0.0,0.56393,0.84852,0.55623
7,0.34915,0.0,0.14905,0.41686,0.00219,0.0,0.0,0.0,0.0,0.0,0.54032,0.84952,0.56539
8,0.34745,0.0,0.13392,0.396,0.00219,0.0,0.0,0.0,0.0,0.0,0.52141,0.84983,0.57404
9,0.34346,0.0,0.12433,0.3762,0.00219,0.0,0.0,0.0,0.0,0.0,0.50585,0.85111,0.60385
10,0.34136,0.0,0.11982,0.36456,0.00219,0.0,0.0,0.0,0.0,0.0,0.49807,0.8503,0.57915
11,0.33847,0.0,0.11439,0.35337,0.00219,0.0,0.0,0.0,0.0,0.0,0.48863,0.85056,0.56886
12,0.33713,0.0,0.10803,0.34149,0.00218,0.0,0.0,0.0,0.0,0.0,0.47974,0.8496,0.57341
13,0.33302,0.0,0.10499,0.33854,0.00218,0.0,0.0,0.0,0.0,0.0,0.4723,0.8515,0.5746
14,0.33056,0.0,0.09865,0.32772,0.00218,0.0,0.0,0.0,0.0,0.0,0.46242,0.85409,0.57397
15,0.32883,0.0,0.09368,0.32067,0.00218,0.0,0.0,0.0,0.0,0.0,0.45501,0.85312,0.56888
16,0.32602,0.0,0.08614,0.31114,0.00218,0.0,0.0,0.0,0.0,0.0,0.44371,0.84808,0.57062
17,0.32394,0.0,0.08331,0.30721,0.00218,0.0,0.0,0.0,0.0,0.0,0.43842,0.84958,0.58687
18,0.32234,0.0,0.08342,0.29865,0.00218,0.0,0.0,0.0,0.0,0.0,0.43607,0.85021,0.5837
19,0.31991,0.0,0.07674,0.29173,0.00218,0.0,0.0,0.0,0.0,0.0,0.42626,0.85029,0.54558
20,0.31709,0.0,0.08087,0.28708,0.00218,0.0,0.0,0.0,0.0,0.0,0.42711,0.85208,0.56762
21,0.31551,0.0,0.07012,0.27556,0.00218,0.0,0.0,0.0,0.0,0.0,0.41362,0.85195,0.56117
22,0.31211,0.0,0.06995,0.2697,0.00218,0.0,0.0,0.0,0.0,0.0,0.40947,0.8525,0.56587
23,0.30956,0.0,0.05995,0.26469,0.00218,0.0,0.0,0.0,0.0,0.0,0.39642,0.85282,0.59057
24,0.30661,0.0,0.06412,0.26251,0.00218,0.0,0.0,0.0,0.0,0.0,0.39741,0.85257,0.56739
25,0.30432,0.0,0.0608,0.25704,0.00218,0.0,0.0,0.0,0.0,0.0,0.39127,0.85307,0.58939
26,0.30374,0.0,0.06258,0.25285,0.00218,0.0,0.0,0.0,0.0,0.0,0.39204,0.85321,0.57566
27,0.30229,0.0,0.0598,0.24614,0.00218,0.0,0.0,0.0,0.0,0.0,0.38714,0.85265,0.57312
28,0.29961,0.0,0.05821,0.24491,0.00218,0.0,0.0,0.0,0.0,0.0,0.38275,0.8535,0.59255
29,0.29738,0.0,0.05624,0.23974,0.00218,0.0,0.0,0.0,0.0,0.0,0.37803,0.85182,0.57676
30,0.29575,0.0,0.05958,0.23722,0.00218,0.0,0.0,0.0,0.0,0.0,0.37949,0.85222,0.58461
31,0.29534,0.0,0.06193,0.23825,0.00218,0.0,0.0,0.0,0.0,0.0,0.38153,0.85287,0.58302
32,0.29331,0.0,0.05677,0.23552,0.00218,0.0,0.0,0.0,0.0,0.0,0.37407,0.85409,0.58759
33,0.29072,0.0,0.05288,0.22974,0.00218,0.0,0.0,0.0,0.0,0.0,0.36701,0.8538,0.57651
34,0.28926,0.0,0.05344,0.22938,0.00218,0.0,0.0,0.0,0.0,0.0,0.36608,0.8531,0.57658
35,0.28734,0.0,0.05057,0.2271,0.00218,0.0,0.0,0.0,0.0,0.0,0.36106,0.85301,0.56604
36,0.28672,0.0,0.04907,0.2227,0.00218,0.0,0.0,0.0,0.0,0.0,0.3585,0.85284,0.5851
