epoch,bce,kd,total,val_auc,best_val_auc
1,0.42318,1.11633,1.53951,0.83415,0.83415
2,0.37724,0.72709,1.10433,0.83617,0.83617
3,0.36674,0.66121,1.02795,0.83855,0.83855
4,0.35917,0.6166,0.97577,0.83979,0.83979
5,0.35441,0.59616,0.95057,0.83628,0.83979
6,0.35038,0.56943,0.91981,0.8453,0.8453
7,0.34478,0.55193,0.89671,0.83949,0.8453
8,0.3426,0.54104,0.88364,0.84077,0.8453
9,0.33777,0.52062,0.85839,0.84769,0.84769
10,0.33494,0.52334,0.85829,0.84507,0.84769
11,0.32817,0.49689,0.82506,0.84714,0.84769
12,0.32577,0.49326,0.81903,0.84314,0.84769
13,0.31977,0.47717,0.79694,0.84663,0.84769
14,0.31333,0.45779,0.77112,0.84537,0.84769
15,0.30825,0.44929,0.75754,0.84491,0.84769
16,0.30233,0.44263,0.74497,0.84354,0.84769
17,0.29695,0.43694,0.73389,0.84394,0.84769
18,0.28828,0.41736,0.70565,0.8416,0.84769
19,0.28082,0.40784,0.68866,0.84472,0.84769
20,0.2744,0.39406,0.66846,0.84357,0.84769
21,0.26708,0.38793,0.65501,0.84522,0.84769
22,0.2603,0.37847,0.63877,0.84387,0.84769
23,0.25554,0.37582,0.63136,0.84604,0.84769
24,0.2499,0.36161,0.61151,0.841,0.84769
25,0.24479,0.35998,0.60478,0.84226,0.84769
26,0.2394,0.35167,0.59107,0.84327,0.84769
27,0.23486,0.34181,0.57667,0.84108,0.84769
28,0.23028,0.33688,0.56715,0.84399,0.84769
29,0.22676,0.3334,0.56015,0.8436,0.84769
30,0.22338,0.32742,0.5508,0.8408,0.84769
31,0.22053,0.32698,0.54751,0.84378,0.84769
32,0.21781,0.32128,0.5391,0.84184,0.84769
33,0.21579,0.3213,0.53709,0.84238,0.84769
34,0.21402,0.31534,0.52936,0.84129,0.84769
35,0.21063,0.31089,0.52151,0.84345,0.84769
36,0.2082,0.30713,0.51533,0.84468,0.84769
37,0.20795,0.30654,0.5145,0.84412,0.84769
38,0.206,0.30429,0.51029,0.84231,0.84769
39,0.20468,0.30291,0.50759,0.84306,0.84769
40,0.20408,0.30582,0.5099,0.84389,0.84769
41,0.20245,0.29899,0.50144,0.84497,0.84769
42,0.20122,0.29876,0.49999,0.8426,0.84769
43,0.20016,0.29494,0.4951,0.84496,0.84769
44,0.19906,0.29244,0.4915,0.84327,0.84769
45,0.19832,0.29314,0.49146,0.84398,0.84769
46,0.19709,0.28983,0.48692,0.84514,0.84769
47,0.19771,0.29152,0.48922,0.84407,0.84769
48,0.19685,0.28903,0.48589,0.84515,0.84769
49,0.19601,0.28698,0.483,0.84498,0.84769
50,0.19573,0.28463,0.48036,0.84576,0.84769
51,0.19537,0.2859,0.48127,0.84384,0.84769
52,0.1951,0.2851,0.4802,0.84464,0.84769
53,0.19455,0.28295,0.47749,0.84581,0.84769
54,0.19306,0.28099,0.47404,0.8448,0.84769
55,0.19392,0.28196,0.47588,0.84501,0.84769
56,0.19286,0.27761,0.47047,0.84522,0.84769
57,0.19192,0.27681,0.46873,0.8459,0.84769
58,0.19208,0.27709,0.46917,0.84623,0.84769
59,0.19214,0.27678,0.46891,0.84629,0.84769
60,0.1921,0.27834,0.47044,0.84689,0.84769
61,0.19127,0.27473,0.466,0.84521,0.84769
62,0.19126,0.27317,0.46443,0.84561,0.84769
63,0.19119,0.27381,0.465,0.84501,0.84769
64,0.19073,0.27304,0.46377,0.84526,0.84769
65,0.19054,0.27261,0.46316,0.84587,0.84769
66,0.18996,0.27203,0.46198,0.84559,0.84769
67,0.19057,0.27171,0.46228,0.84527,0.84769
68,0.18975,0.27087,0.46063,0.84623,0.84769
69,0.18992,0.27023,0.46015,0.84466,0.84769
70,0.18969,0.2704,0.46009,0.84519,0.84769
71,0.18977,0.27005,0.45982,0.84563,0.84769
72,0.18922,0.26939,0.45861,0.84587,0.84769
73,0.18951,0.26817,0.45768,0.84561,0.84769
74,0.18871,0.26794,0.45665,0.84623,0.84769
75,0.18918,0.26789,0.45707,0.84581,0.84769
76,0.18887,0.26717,0.45603,0.84556,0.84769
77,0.18865,0.26693,0.45558,0.84574,0.84769
78,0.18876,0.26722,0.45598,0.8461,0.84769
79,0.18855,0.26647,0.45502,0.84619,0.84769
80,0.1885,0.26608,0.45458,0.84618,0.84769
81,0.1888,0.26707,0.45586,0.84596,0.84769
82,0.18847,0.26669,0.45516,0.84623,0.84769
83,0.1886,0.26627,0.45486,0.8457,0.84769
84,0.18815,0.26577,0.45392,0.84574,0.84769
85,0.18846,0.26529,0.45375,0.84563,0.84769
86,0.18851,0.26552,0.45403,0.84587,0.84769
87,0.18795,0.26548,0.45343,0.846,0.84769
88,0.18811,0.26525,0.45336,0.84587,0.84769
89,0.18825,0.26501,0.45326,0.84618,0.84769
90,0.18804,0.26499,0.45302,0.84603,0.84769
91,0.18831,0.26471,0.45303,0.84604,0.84769
92,0.18821,0.26477,0.45297,0.84601,0.84769
93,0.18808,0.26464,0.45272,0.84584,0.84769
94,0.18802,0.26476,0.45279,0.84589,0.84769
95,0.18817,0.26429,0.45247,0.846,0.84769
96,0.18828,0.26431,0.45259,0.84603,0.84769
97,0.18803,0.26413,0.45216,0.84591,0.84769
98,0.18794,0.2645,0.45244,0.84593,0.84769
99,0.18807,0.2643,0.45237,0.84601,0.84769
100,0.18801,0.26443,0.45245,0.84595,0.84769
