epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,gated_kd,segment_feature,mean_w_teacher,mean_w_ta,mean_agreement,total,macro_auc,macro_f1
1,0.45893,0.0,0.0,0.0,0.00218,0.31344,0.0,0.2819,0.7181,0.8915,0.77281,0.8144,0.45891
2,0.37212,0.0,0.0,0.0,0.00219,0.17009,0.0,0.28186,0.71814,0.8916,0.54264,0.82018,0.50749
3,0.3234,0.0,0.0,0.0,0.00219,0.13677,0.0,0.2818,0.7182,0.89151,0.46061,0.81647,0.50664
4,0.26544,0.0,0.0,0.0,0.00218,0.1188,0.0,0.28184,0.71816,0.89171,0.38468,0.81979,0.53337
5,0.2215,0.0,0.0,0.0,0.00218,0.11303,0.0,0.28183,0.71817,0.89171,0.33496,0.8168,0.48623
6,0.1943,0.0,0.0,0.0,0.00217,0.11191,0.0,0.28194,0.71806,0.89152,0.30664,0.81374,0.53586
7,0.17534,0.0,0.0,0.0,0.00217,0.1102,0.0,0.28187,0.71813,0.89163,0.28597,0.81842,0.5495
8,0.16699,0.0,0.0,0.0,0.00217,0.11087,0.0,0.28184,0.71816,0.89166,0.2783,0.8178,0.5677
9,0.15912,0.0,0.0,0.0,0.00217,0.10944,0.0,0.28188,0.71812,0.89152,0.269,0.81677,0.55025
10,0.15353,0.0,0.0,0.0,0.00217,0.10772,0.0,0.28182,0.71818,0.89159,0.26169,0.81582,0.55575
11,0.15008,0.0,0.0,0.0,0.00218,0.10766,0.0,0.28177,0.71823,0.89168,0.25818,0.81771,0.52199
12,0.14663,0.0,0.0,0.0,0.00218,0.10789,0.0,0.28202,0.71798,0.89152,0.25496,0.81678,0.54148
13,0.14455,0.0,0.0,0.0,0.00218,0.106,0.0,0.28188,0.71812,0.89167,0.25099,0.82016,0.53843
14,0.1402,0.0,0.0,0.0,0.00218,0.1043,0.0,0.28187,0.71813,0.89175,0.24494,0.82184,0.53333
15,0.13828,0.0,0.0,0.0,0.00218,0.10379,0.0,0.2819,0.7181,0.89156,0.24251,0.82538,0.53641
16,0.13855,0.0,0.0,0.0,0.00218,0.10271,0.0,0.28198,0.71802,0.8916,0.2417,0.82328,0.54078
17,0.13347,0.0,0.0,0.0,0.00218,0.10154,0.0,0.28177,0.71823,0.89159,0.23545,0.82478,0.55482
18,0.13108,0.0,0.0,0.0,0.00218,0.10088,0.0,0.28185,0.71815,0.89168,0.2324,0.82414,0.53208
19,0.12893,0.0,0.0,0.0,0.00218,0.09791,0.0,0.28188,0.71812,0.89149,0.22727,0.82539,0.53301
20,0.12659,0.0,0.0,0.0,0.00219,0.09977,0.0,0.28194,0.71806,0.89152,0.2268,0.82272,0.5481
21,0.125,0.0,0.0,0.0,0.00219,0.09646,0.0,0.28198,0.71802,0.89134,0.2219,0.82413,0.53903
22,0.12306,0.0,0.0,0.0,0.00219,0.09561,0.0,0.28172,0.71828,0.89156,0.21911,0.82405,0.54123
23,0.12204,0.0,0.0,0.0,0.00219,0.09391,0.0,0.28198,0.71802,0.89156,0.21639,0.8239,0.53223
24,0.12148,0.0,0.0,0.0,0.00219,0.09498,0.0,0.28183,0.71817,0.89157,0.2169,0.82692,0.52707
25,0.12151,0.0,0.0,0.0,0.00219,0.09367,0.0,0.28199,0.71801,0.89156,0.21562,0.82455,0.54607
26,0.1209,0.0,0.0,0.0,0.00219,0.09419,0.0,0.28177,0.71823,0.89153,0.21553,0.82556,0.53646
27,0.12042,0.0,0.0,0.0,0.00219,0.0932,0.0,0.2819,0.7181,0.89159,0.21406,0.82589,0.52784
28,0.11973,0.0,0.0,0.0,0.00219,0.09282,0.0,0.28187,0.71813,0.8918,0.21299,0.82588,0.53392
29,0.11913,0.0,0.0,0.0,0.00219,0.09243,0.0,0.28193,0.71807,0.8915,0.21199,0.8268,0.53305
30,0.11957,0.0,0.0,0.0,0.00219,0.09224,0.0,0.28193,0.71807,0.89155,0.21224,0.827,0.53537
31,0.11888,0.0,0.0,0.0,0.00219,0.09267,0.0,0.28185,0.71815,0.89165,0.21199,0.82729,0.54063
32,0.11939,0.0,0.0,0.0,0.00219,0.09237,0.0,0.28185,0.71815,0.89161,0.2122,0.82543,0.53925
33,0.11844,0.0,0.0,0.0,0.00219,0.0927,0.0,0.28182,0.71818,0.89166,0.21158,0.82636,0.53198
34,0.11835,0.0,0.0,0.0,0.00219,0.09136,0.0,0.28182,0.71818,0.89164,0.21014,0.82453,0.52344
35,0.11751,0.0,0.0,0.0,0.00219,0.0911,0.0,0.28196,0.71804,0.89155,0.20905,0.82639,0.52973
36,0.11799,0.0,0.0,0.0,0.00219,0.0906,0.0,0.28194,0.71806,0.89153,0.20903,0.82704,0.52427
37,0.11712,0.0,0.0,0.0,0.00219,0.09051,0.0,0.28192,0.71808,0.89154,0.20806,0.8257,0.52461
38,0.11689,0.0,0.0,0.0,0.00219,0.08997,0.0,0.28214,0.71786,0.89158,0.2073,0.82701,0.53663
39,0.11729,0.0,0.0,0.0,0.00219,0.08968,0.0,0.28184,0.71816,0.89162,0.20741,0.82652,0.53539
40,0.11659,0.0,0.0,0.0,0.00219,0.08964,0.0,0.28183,0.71817,0.89151,0.20667,0.82682,0.53154
41,0.1169,0.0,0.0,0.0,0.00219,0.08997,0.0,0.28188,0.71812,0.89169,0.2073,0.82645,0.52926
42,0.11645,0.0,0.0,0.0,0.00219,0.0895,0.0,0.28178,0.71822,0.89174,0.20639,0.82649,0.53168
43,0.11651,0.0,0.0,0.0,0.00219,0.08952,0.0,0.2819,0.7181,0.89156,0.20646,0.82638,0.53072
44,0.11671,0.0,0.0,0.0,0.00219,0.08965,0.0,0.2818,0.7182,0.89175,0.2068,0.82688,0.53117
45,0.11678,0.0,0.0,0.0,0.00218,0.08949,0.0,0.28181,0.71819,0.89163,0.2067,0.82591,0.53105
46,0.11655,0.0,0.0,0.0,0.00218,0.08954,0.0,0.28174,0.71826,0.89162,0.20652,0.82676,0.5316
47,0.11647,0.0,0.0,0.0,0.00218,0.08908,0.0,0.28187,0.71813,0.89149,0.206,0.82669,0.53096
48,0.11626,0.0,0.0,0.0,0.00218,0.08884,0.0,0.28186,0.71814,0.89158,0.20554,0.82669,0.53303
49,0.11605,0.0,0.0,0.0,0.00218,0.08926,0.0,0.28192,0.71808,0.89162,0.20574,0.82657,0.53248
50,0.11612,0.0,0.0,0.0,0.00218,0.08892,0.0,0.28183,0.71817,0.89161,0.20548,0.82629,0.53356
51,0.11629,0.0,0.0,0.0,0.00218,0.08891,0.0,0.28182,0.71818,0.89135,0.20564,0.82666,0.52753
52,0.11584,0.0,0.0,0.0,0.00218,0.08862,0.0,0.28192,0.71808,0.8916,0.2049,0.82663,0.53469
53,0.11619,0.0,0.0,0.0,0.00218,0.08873,0.0,0.28191,0.71809,0.89156,0.20536,0.82645,0.53364
