epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,gated_kd,segment_feature,mean_w_teacher,mean_w_ta,mean_agreement,total,macro_auc,macro_f1
1,0.45953,0.0,0.0,0.0,0.0,0.31419,0.0,0.2819,0.7181,0.8915,0.77371,0.81122,0.45165
2,0.37063,0.0,0.0,0.0,0.0,0.1682,0.0,0.28186,0.71814,0.8916,0.53884,0.81895,0.51077
3,0.31889,0.0,0.0,0.0,0.0,0.13498,0.0,0.2818,0.7182,0.89151,0.45387,0.81608,0.51856
4,0.26061,0.0,0.0,0.0,0.0,0.11837,0.0,0.28184,0.71816,0.89171,0.37898,0.81542,0.51444
5,0.21462,0.0,0.0,0.0,0.0,0.11174,0.0,0.28183,0.71817,0.89171,0.32636,0.81637,0.49535
6,0.19189,0.0,0.0,0.0,0.0,0.11205,0.0,0.28194,0.71806,0.89152,0.30394,0.81615,0.52628
7,0.17599,0.0,0.0,0.0,0.0,0.11078,0.0,0.28187,0.71813,0.89163,0.28677,0.81638,0.53652
8,0.16574,0.0,0.0,0.0,0.0,0.11031,0.0,0.28184,0.71816,0.89166,0.27604,0.81586,0.55606
9,0.1588,0.0,0.0,0.0,0.0,0.10874,0.0,0.28188,0.71812,0.89152,0.26754,0.82055,0.53704
10,0.15331,0.0,0.0,0.0,0.0,0.10816,0.0,0.28182,0.71818,0.89159,0.26148,0.81475,0.50789
11,0.14979,0.0,0.0,0.0,0.0,0.10846,0.0,0.28177,0.71823,0.89168,0.25825,0.81363,0.51394
12,0.14708,0.0,0.0,0.0,0.0,0.10681,0.0,0.28202,0.71798,0.89152,0.2539,0.81597,0.5587
13,0.14306,0.0,0.0,0.0,0.0,0.10623,0.0,0.28188,0.71812,0.89167,0.24929,0.82226,0.53321
14,0.1397,0.0,0.0,0.0,0.0,0.10476,0.0,0.28187,0.71813,0.89175,0.24446,0.82037,0.51803
15,0.13821,0.0,0.0,0.0,0.0,0.10349,0.0,0.2819,0.7181,0.89156,0.2417,0.82522,0.53655
16,0.13651,0.0,0.0,0.0,0.0,0.10258,0.0,0.28198,0.71802,0.8916,0.23909,0.82432,0.5133
17,0.13293,0.0,0.0,0.0,0.0,0.10109,0.0,0.28177,0.71823,0.89159,0.23402,0.82549,0.53783
18,0.13072,0.0,0.0,0.0,0.0,0.10056,0.0,0.28185,0.71815,0.89168,0.23128,0.82818,0.54267
19,0.12856,0.0,0.0,0.0,0.0,0.09833,0.0,0.28188,0.71812,0.89149,0.2269,0.82789,0.52107
20,0.12673,0.0,0.0,0.0,0.0,0.09954,0.0,0.28194,0.71806,0.89152,0.22628,0.82777,0.532
21,0.12497,0.0,0.0,0.0,0.0,0.09647,0.0,0.28198,0.71802,0.89134,0.22144,0.82641,0.55196
22,0.12311,0.0,0.0,0.0,0.0,0.09585,0.0,0.28172,0.71828,0.89156,0.21896,0.82798,0.53064
23,0.12203,0.0,0.0,0.0,0.0,0.09351,0.0,0.28198,0.71802,0.89156,0.21554,0.82903,0.53302
24,0.12137,0.0,0.0,0.0,0.0,0.09469,0.0,0.28183,0.71817,0.89157,0.21606,0.82902,0.52856
25,0.12113,0.0,0.0,0.0,0.0,0.09397,0.0,0.28199,0.71801,0.89156,0.21509,0.8287,0.52449
26,0.12088,0.0,0.0,0.0,0.0,0.09408,0.0,0.28177,0.71823,0.89153,0.21496,0.82871,0.53614
27,0.1205,0.0,0.0,0.0,0.0,0.09322,0.0,0.2819,0.7181,0.89159,0.21373,0.82967,0.53434
28,0.11976,0.0,0.0,0.0,0.0,0.09244,0.0,0.28187,0.71813,0.8918,0.2122,0.83023,0.53549
29,0.11914,0.0,0.0,0.0,0.0,0.09228,0.0,0.28193,0.71807,0.8915,0.21142,0.83072,0.54443
30,0.11942,0.0,0.0,0.0,0.0,0.09222,0.0,0.28193,0.71807,0.89155,0.21164,0.83032,0.52475
31,0.11892,0.0,0.0,0.0,0.0,0.0926,0.0,0.28185,0.71815,0.89165,0.21152,0.83025,0.55229
32,0.11931,0.0,0.0,0.0,0.0,0.09239,0.0,0.28185,0.71815,0.89161,0.2117,0.82968,0.55213
33,0.11847,0.0,0.0,0.0,0.0,0.09254,0.0,0.28182,0.71818,0.89166,0.21102,0.83156,0.53157
34,0.11809,0.0,0.0,0.0,0.0,0.09153,0.0,0.28182,0.71818,0.89164,0.20962,0.83074,0.52328
35,0.1178,0.0,0.0,0.0,0.0,0.09084,0.0,0.28196,0.71804,0.89155,0.20865,0.83115,0.5328
36,0.11795,0.0,0.0,0.0,0.0,0.09074,0.0,0.28194,0.71806,0.89153,0.20869,0.83187,0.52345
37,0.11703,0.0,0.0,0.0,0.0,0.09043,0.0,0.28192,0.71808,0.89154,0.20746,0.83116,0.52307
38,0.11691,0.0,0.0,0.0,0.0,0.08992,0.0,0.28214,0.71786,0.89158,0.20684,0.83205,0.53235
39,0.1173,0.0,0.0,0.0,0.0,0.08976,0.0,0.28184,0.71816,0.89162,0.20705,0.83106,0.52985
40,0.11661,0.0,0.0,0.0,0.0,0.0896,0.0,0.28183,0.71817,0.89151,0.2062,0.8313,0.53705
41,0.11692,0.0,0.0,0.0,0.0,0.08988,0.0,0.28188,0.71812,0.89169,0.20679,0.83142,0.53802
42,0.11643,0.0,0.0,0.0,0.0,0.08956,0.0,0.28178,0.71822,0.89174,0.20599,0.83145,0.53768
43,0.1165,0.0,0.0,0.0,0.0,0.08951,0.0,0.2819,0.7181,0.89156,0.20602,0.83215,0.53668
44,0.11674,0.0,0.0,0.0,0.0,0.08959,0.0,0.2818,0.7182,0.89175,0.20632,0.8316,0.53658
45,0.11682,0.0,0.0,0.0,0.0,0.08948,0.0,0.28181,0.71819,0.89163,0.2063,0.83127,0.53354
46,0.11646,0.0,0.0,0.0,0.0,0.08959,0.0,0.28174,0.71826,0.89162,0.20605,0.83204,0.53439
47,0.11653,0.0,0.0,0.0,0.0,0.08907,0.0,0.28187,0.71813,0.89149,0.2056,0.83151,0.53462
48,0.11632,0.0,0.0,0.0,0.0,0.08875,0.0,0.28186,0.71814,0.89158,0.20507,0.83183,0.53604
49,0.11602,0.0,0.0,0.0,0.0,0.08922,0.0,0.28192,0.71808,0.89162,0.20524,0.83175,0.53565
50,0.11625,0.0,0.0,0.0,0.0,0.08879,0.0,0.28183,0.71817,0.89161,0.20504,0.83139,0.53732
51,0.1162,0.0,0.0,0.0,0.0,0.08898,0.0,0.28182,0.71818,0.89135,0.20518,0.83165,0.53246
52,0.11584,0.0,0.0,0.0,0.0,0.08859,0.0,0.28192,0.71808,0.8916,0.20443,0.83166,0.53533
53,0.11624,0.0,0.0,0.0,0.0,0.0887,0.0,0.28191,0.71809,0.89156,0.20494,0.83145,0.53515
54,0.11609,0.0,0.0,0.0,0.0,0.08864,0.0,0.28197,0.71803,0.89162,0.20473,0.83191,0.53478
55,0.11611,0.0,0.0,0.0,0.0,0.08866,0.0,0.28188,0.71812,0.89165,0.20477,0.8317,0.53291
56,0.11581,0.0,0.0,0.0,0.0,0.08844,0.0,0.28182,0.71818,0.89165,0.20425,0.8319,0.53426
57,0.11595,0.0,0.0,0.0,0.0,0.08879,0.0,0.28183,0.71817,0.89171,0.20474,0.83188,0.53347
58,0.11604,0.0,0.0,0.0,0.0,0.08894,0.0,0.28185,0.71815,0.89145,0.20498,0.83198,0.53356
59,0.11625,0.0,0.0,0.0,0.0,0.08856,0.0,0.28183,0.71817,0.89154,0.20481,0.83172,0.5334
60,0.11606,0.0,0.0,0.0,0.0,0.08871,0.0,0.28209,0.71791,0.89149,0.20477,0.83178,0.53215
