epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,gated_kd,segment_feature,mean_w_teacher,mean_w_ta,mean_agreement,total,macro_auc,macro_f1
1,0.45755,0.0,0.0,3.61186,0.00218,0.30978,0.0,0.2819,0.7181,0.8915,1.12895,0.81273,0.47871
2,0.37208,0.0,0.0,1.98505,0.0022,0.1635,0.0,0.28186,0.71814,0.8916,0.73453,0.82589,0.50557
3,0.33382,0.0,0.0,1.43634,0.00219,0.13148,0.0,0.2818,0.7182,0.89151,0.60937,0.82685,0.54598
4,0.28499,0.0,0.0,1.15351,0.00219,0.11227,0.0,0.28184,0.71816,0.89171,0.51305,0.82452,0.48834
5,0.23908,0.0,0.0,0.97512,0.00218,0.10198,0.0,0.28183,0.71817,0.89171,0.439,0.82153,0.55927
6,0.20717,0.0,0.0,0.84904,0.00218,0.10101,0.0,0.28194,0.71806,0.89152,0.39352,0.81185,0.48449
7,0.18535,0.0,0.0,0.75332,0.00218,0.10098,0.0,0.28187,0.71813,0.89163,0.3621,0.8224,0.54539
8,0.17219,0.0,0.0,0.69127,0.00217,0.10131,0.0,0.28184,0.71816,0.89166,0.34306,0.81738,0.54047
9,0.16329,0.0,0.0,0.62035,0.00217,0.10139,0.0,0.28188,0.71812,0.89152,0.32715,0.81898,0.55111
10,0.15536,0.0,0.0,0.57905,0.00217,0.10166,0.0,0.28182,0.71818,0.89159,0.31536,0.81951,0.56704
11,0.15198,0.0,0.0,0.5293,0.00217,0.10128,0.0,0.28177,0.71823,0.89168,0.30663,0.82478,0.53226
12,0.14741,0.0,0.0,0.49754,0.00217,0.10047,0.0,0.28202,0.71798,0.89152,0.29807,0.82731,0.55952
13,0.14421,0.0,0.0,0.47404,0.00217,0.09998,0.0,0.28188,0.71812,0.89167,0.29202,0.82649,0.54643
14,0.14058,0.0,0.0,0.44327,0.00218,0.09913,0.0,0.28187,0.71813,0.89175,0.28447,0.82741,0.54305
15,0.1391,0.0,0.0,0.41858,0.00217,0.09887,0.0,0.2819,0.7181,0.89156,0.28026,0.82458,0.54727
16,0.13809,0.0,0.0,0.40052,0.00217,0.09883,0.0,0.28198,0.71802,0.8916,0.2774,0.8248,0.53046
17,0.13398,0.0,0.0,0.38259,0.00217,0.09765,0.0,0.28177,0.71823,0.89159,0.27032,0.82735,0.54442
18,0.13185,0.0,0.0,0.36505,0.00217,0.09787,0.0,0.28185,0.71815,0.89168,0.26666,0.83146,0.55616
