epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,gated_kd,segment_feature,mean_w_teacher,mean_w_ta,mean_agreement,total,macro_auc,macro_f1
1,0.45782,0.0,0.0,3.60036,0.0,0.30983,0.0,0.2819,0.7181,0.8915,1.12768,0.81383,0.46896
2,0.37193,0.0,0.0,1.97914,0.0,0.16246,0.0,0.28186,0.71814,0.8916,0.7323,0.82608,0.52712
3,0.33274,0.0,0.0,1.43099,0.0,0.13062,0.0,0.2818,0.7182,0.89151,0.60646,0.82619,0.52867
4,0.28547,0.0,0.0,1.15713,0.0,0.11175,0.0,0.28184,0.71816,0.89171,0.51293,0.82432,0.56158
5,0.23718,0.0,0.0,0.97633,0.0,0.1026,0.0,0.28183,0.71817,0.89171,0.43741,0.82297,0.55484
6,0.20757,0.0,0.0,0.85442,0.0,0.10196,0.0,0.28194,0.71806,0.89152,0.39496,0.822,0.50381
7,0.18569,0.0,0.0,0.75439,0.0,0.10057,0.0,0.28187,0.71813,0.89163,0.3617,0.8258,0.52692
8,0.17247,0.0,0.0,0.68556,0.0,0.10196,0.0,0.28184,0.71816,0.89166,0.34298,0.81972,0.51924
9,0.16248,0.0,0.0,0.61229,0.0,0.10052,0.0,0.28188,0.71812,0.89152,0.32423,0.82243,0.49808
10,0.15612,0.0,0.0,0.57616,0.0,0.10175,0.0,0.28182,0.71818,0.89159,0.31549,0.81812,0.56074
11,0.15178,0.0,0.0,0.52668,0.0,0.10161,0.0,0.28177,0.71823,0.89168,0.30606,0.82402,0.51104
12,0.14802,0.0,0.0,0.49659,0.0,0.10092,0.0,0.28202,0.71798,0.89152,0.2986,0.82566,0.56281
13,0.14398,0.0,0.0,0.47097,0.0,0.10019,0.0,0.28188,0.71812,0.89167,0.29127,0.8251,0.56473
14,0.14054,0.0,0.0,0.44304,0.0,0.09927,0.0,0.28187,0.71813,0.89175,0.28412,0.82192,0.52471
15,0.13867,0.0,0.0,0.41822,0.0,0.09883,0.0,0.2819,0.7181,0.89156,0.27932,0.82894,0.53935
16,0.13778,0.0,0.0,0.40095,0.0,0.09865,0.0,0.28198,0.71802,0.8916,0.27653,0.82608,0.53223
17,0.13424,0.0,0.0,0.38155,0.0,0.09811,0.0,0.28177,0.71823,0.89159,0.27051,0.83238,0.52304
18,0.1326,0.0,0.0,0.36664,0.0,0.09808,0.0,0.28185,0.71815,0.89168,0.26734,0.83043,0.51959
19,0.12948,0.0,0.0,0.34493,0.0,0.09605,0.0,0.28188,0.71812,0.89149,0.26002,0.82835,0.50701
20,0.1286,0.0,0.0,0.33931,0.0,0.09749,0.0,0.28194,0.71806,0.89152,0.26002,0.8299,0.5194
21,0.12684,0.0,0.0,0.31707,0.0,0.09471,0.0,0.28198,0.71802,0.89134,0.25326,0.83033,0.54112
22,0.12502,0.0,0.0,0.30734,0.0,0.09424,0.0,0.28172,0.71828,0.89156,0.24999,0.83111,0.53118
