epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,total,macro_auc,macro_f1
1,0.46428,0.0,0.0,0.0,0.0,0.46428,0.79156,0.41802
2,0.37373,0.0,0.0,0.0,0.0,0.37373,0.80432,0.48779
3,0.30525,0.0,0.0,0.0,0.0,0.30525,0.78259,0.51117
4,0.22316,0.0,0.0,0.0,0.0,0.22316,0.76905,0.48931
5,0.14471,0.0,0.0,0.0,0.0,0.14471,0.74581,0.41138
6,0.1033,0.0,0.0,0.0,0.0,0.1033,0.76422,0.45549
7,0.0824,0.0,0.0,0.0,0.0,0.0824,0.75439,0.47567
8,0.07258,0.0,0.0,0.0,0.0,0.07258,0.75785,0.50183
9,0.06524,0.0,0.0,0.0,0.0,0.06524,0.77226,0.43075
10,0.05705,0.0,0.0,0.0,0.0,0.05705,0.7637,0.46497
11,0.05218,0.0,0.0,0.0,0.0,0.05218,0.76615,0.47506
12,0.04821,0.0,0.0,0.0,0.0,0.04821,0.76316,0.42195
13,0.04135,0.0,0.0,0.0,0.0,0.04135,0.75858,0.48418
14,0.04266,0.0,0.0,0.0,0.0,0.04266,0.75546,0.48034
15,0.03778,0.0,0.0,0.0,0.0,0.03778,0.77464,0.49357
16,0.03579,0.0,0.0,0.0,0.0,0.03579,0.77629,0.53462
17,0.02982,0.0,0.0,0.0,0.0,0.02982,0.76583,0.48348
18,0.02737,0.0,0.0,0.0,0.0,0.02737,0.76812,0.48279
19,0.02773,0.0,0.0,0.0,0.0,0.02773,0.76794,0.42786
20,0.02534,0.0,0.0,0.0,0.0,0.02534,0.77025,0.48674
21,0.02053,0.0,0.0,0.0,0.0,0.02053,0.7662,0.51405
22,0.01988,0.0,0.0,0.0,0.0,0.01988,0.76652,0.51531
23,0.01636,0.0,0.0,0.0,0.0,0.01636,0.76503,0.48621
24,0.01703,0.0,0.0,0.0,0.0,0.01703,0.7702,0.52667
25,0.0158,0.0,0.0,0.0,0.0,0.0158,0.77043,0.48132
26,0.0151,0.0,0.0,0.0,0.0,0.0151,0.76996,0.52941
27,0.01175,0.0,0.0,0.0,0.0,0.01175,0.76548,0.52164
28,0.01063,0.0,0.0,0.0,0.0,0.01063,0.76496,0.50866
29,0.01139,0.0,0.0,0.0,0.0,0.01139,0.76405,0.504
30,0.00837,0.0,0.0,0.0,0.0,0.00837,0.77011,0.47255
31,0.0061,0.0,0.0,0.0,0.0,0.0061,0.76916,0.49657
32,0.00568,0.0,0.0,0.0,0.0,0.00568,0.76585,0.5247
33,0.00495,0.0,0.0,0.0,0.0,0.00495,0.76949,0.4829
34,0.00394,0.0,0.0,0.0,0.0,0.00394,0.76548,0.51989
35,0.00245,0.0,0.0,0.0,0.0,0.00245,0.76638,0.49821
36,0.00176,0.0,0.0,0.0,0.0,0.00176,0.77413,0.50698
37,0.0007,0.0,0.0,0.0,0.0,0.0007,0.77413,0.50683
38,0.00033,0.0,0.0,0.0,0.0,0.00033,0.77602,0.51736
39,0.0002,0.0,0.0,0.0,0.0,0.0002,0.77646,0.51541
40,0.00011,0.0,0.0,0.0,0.0,0.00011,0.77637,0.51526
41,0.0001,0.0,0.0,0.0,0.0,0.0001,0.77661,0.50812
42,8e-05,0.0,0.0,0.0,0.0,8e-05,0.77645,0.5131
43,7e-05,0.0,0.0,0.0,0.0,7e-05,0.77635,0.50873
44,7e-05,0.0,0.0,0.0,0.0,7e-05,0.77706,0.51809
45,7e-05,0.0,0.0,0.0,0.0,7e-05,0.77743,0.51628
46,6e-05,0.0,0.0,0.0,0.0,6e-05,0.77656,0.51462
47,5e-05,0.0,0.0,0.0,0.0,5e-05,0.77714,0.51407
48,5e-05,0.0,0.0,0.0,0.0,5e-05,0.77712,0.51835
49,6e-05,0.0,0.0,0.0,0.0,6e-05,0.77701,0.51672
50,5e-05,0.0,0.0,0.0,0.0,5e-05,0.77705,0.51613
51,5e-05,0.0,0.0,0.0,0.0,5e-05,0.7772,0.51308
52,4e-05,0.0,0.0,0.0,0.0,4e-05,0.77672,0.51147
53,5e-05,0.0,0.0,0.0,0.0,5e-05,0.77677,0.5169
54,5e-05,0.0,0.0,0.0,0.0,5e-05,0.77664,0.51345
55,5e-05,0.0,0.0,0.0,0.0,5e-05,0.7772,0.51484
56,4e-05,0.0,0.0,0.0,0.0,4e-05,0.77709,0.5151
57,5e-05,0.0,0.0,0.0,0.0,5e-05,0.77699,0.51316
58,5e-05,0.0,0.0,0.0,0.0,5e-05,0.77728,0.51662
59,5e-05,0.0,0.0,0.0,0.0,5e-05,0.77707,0.51404
60,5e-05,0.0,0.0,0.0,0.0,5e-05,0.7771,0.51082
