epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,total,macro_auc,macro_f1
1,0.45614,0.0,1.06909,0.0,0.00217,1.52566,0.81231,0.52371
2,0.3778,0.0,0.39089,0.0,0.00219,0.76912,0.82393,0.51534
3,0.35218,0.0,0.26363,0.0,0.0022,0.61625,0.83021,0.54011
4,0.32901,0.0,0.19492,0.0,0.00219,0.52436,0.82984,0.52438
5,0.31098,0.0,0.15252,0.0,0.0022,0.46394,0.8302,0.54737
6,0.30132,0.0,0.13626,0.0,0.0022,0.43802,0.82916,0.53766
7,0.29237,0.0,0.12206,0.0,0.0022,0.41487,0.83269,0.55459
8,0.28703,0.0,0.10825,0.0,0.0022,0.39572,0.82988,0.56391
9,0.28174,0.0,0.1027,0.0,0.0022,0.38487,0.83135,0.54618
10,0.27782,0.0,0.09816,0.0,0.0022,0.37643,0.83136,0.55854
11,0.27671,0.0,0.09567,0.0,0.00221,0.37282,0.83293,0.53949
12,0.27456,0.0,0.09257,0.0,0.00221,0.36758,0.83274,0.56937
13,0.27135,0.0,0.08955,0.0,0.00222,0.36134,0.83091,0.5563
14,0.26907,0.0,0.08388,0.0,0.00222,0.35339,0.83288,0.56591
15,0.26807,0.0,0.07973,0.0,0.00222,0.34824,0.8328,0.57438
16,0.2679,0.0,0.0823,0.0,0.00222,0.35064,0.83584,0.55583
17,0.26589,0.0,0.07536,0.0,0.00223,0.34169,0.83294,0.55674
18,0.26538,0.0,0.07851,0.0,0.00223,0.34434,0.8325,0.56163
19,0.26401,0.0,0.07138,0.0,0.00223,0.33584,0.8359,0.53246
20,0.26353,0.0,0.07789,0.0,0.00223,0.34186,0.83408,0.54465
21,0.26256,0.0,0.0673,0.0,0.00223,0.33031,0.83583,0.5549
22,0.26103,0.0,0.06772,0.0,0.00223,0.32919,0.83657,0.55834
23,0.26093,0.0,0.06044,0.0,0.00223,0.32181,0.83535,0.54391
24,0.25994,0.0,0.06614,0.0,0.00223,0.32652,0.83443,0.56186
25,0.25932,0.0,0.06239,0.0,0.00223,0.32216,0.83639,0.55047
26,0.25962,0.0,0.06266,0.0,0.00224,0.32272,0.83439,0.56106
27,0.2589,0.0,0.06287,0.0,0.00224,0.32222,0.83565,0.54766
28,0.25723,0.0,0.05919,0.0,0.00224,0.31687,0.83569,0.56747
29,0.25779,0.0,0.06056,0.0,0.00224,0.3188,0.83433,0.562
30,0.25709,0.0,0.05863,0.0,0.00224,0.31617,0.83592,0.55958
31,0.25712,0.0,0.06167,0.0,0.00224,0.31923,0.83489,0.55573
32,0.25684,0.0,0.05938,0.0,0.00224,0.31667,0.83588,0.54504
33,0.25541,0.0,0.05743,0.0,0.00224,0.31329,0.83697,0.53795
34,0.25532,0.0,0.05361,0.0,0.00224,0.30937,0.83648,0.54361
35,0.25489,0.0,0.0534,0.0,0.00224,0.30874,0.83677,0.54508
36,0.25488,0.0,0.05221,0.0,0.00225,0.30755,0.83648,0.5492
37,0.25386,0.0,0.05069,0.0,0.00224,0.30499,0.83714,0.5494
38,0.25344,0.0,0.04861,0.0,0.00224,0.3025,0.83604,0.55576
39,0.25388,0.0,0.04772,0.0,0.00224,0.30204,0.83651,0.54692
40,0.25302,0.0,0.04778,0.0,0.00224,0.30124,0.83674,0.55543
41,0.25344,0.0,0.04972,0.0,0.00224,0.30361,0.83644,0.54606
42,0.25247,0.0,0.0478,0.0,0.00224,0.30071,0.83635,0.5618
43,0.25308,0.0,0.04635,0.0,0.00224,0.29988,0.83675,0.55012
44,0.25285,0.0,0.04817,0.0,0.00224,0.30146,0.8368,0.56036
45,0.25306,0.0,0.04718,0.0,0.00224,0.30069,0.83635,0.55435
46,0.25288,0.0,0.0468,0.0,0.00224,0.30012,0.83686,0.55228
47,0.2528,0.0,0.0453,0.0,0.00223,0.29855,0.83628,0.55424
48,0.25242,0.0,0.04476,0.0,0.00223,0.29762,0.83622,0.5532
49,0.25217,0.0,0.04561,0.0,0.00223,0.29823,0.83685,0.55636
50,0.25248,0.0,0.04479,0.0,0.00223,0.29772,0.83686,0.54981
51,0.25262,0.0,0.04455,0.0,0.00223,0.29761,0.83664,0.55261
52,0.25218,0.0,0.043,0.0,0.00223,0.29562,0.8367,0.55337
53,0.25223,0.0,0.04446,0.0,0.00223,0.29714,0.8366,0.55305
54,0.25213,0.0,0.04401,0.0,0.00223,0.29659,0.83669,0.55136
55,0.25221,0.0,0.04381,0.0,0.00223,0.29646,0.83644,0.55176
56,0.25158,0.0,0.04384,0.0,0.00223,0.29586,0.83664,0.55155
57,0.25202,0.0,0.04379,0.0,0.00223,0.29625,0.83666,0.55309
58,0.25242,0.0,0.04416,0.0,0.00223,0.29702,0.8366,0.5527
59,0.25206,0.0,0.04416,0.0,0.00223,0.29667,0.83655,0.55346
60,0.25234,0.0,0.04368,0.0,0.00223,0.29647,0.8366,0.55049
