epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,gated_kd,segment_feature,mean_w_teacher,mean_w_ta,mean_agreement,total,macro_auc,macro_f1
1,0.45534,0.0,1.0818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53714,0.81323,0.48687
2,0.37355,0.0,0.42745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.801,0.82521,0.51737
3,0.3403,0.0,0.28881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62911,0.82596,0.52495
4,0.30781,0.0,0.21231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52012,0.82828,0.54993
5,0.28164,0.0,0.16017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44181,0.82989,0.53871
6,0.26532,0.0,0.14178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4071,0.82651,0.53779
7,0.25286,0.0,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37887,0.82705,0.54036
8,0.24589,0.0,0.11324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35913,0.82434,0.54679
9,0.23905,0.0,0.1035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34255,0.82977,0.55336
10,0.23323,0.0,0.09562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32884,0.82935,0.5464
11,0.23176,0.0,0.09376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32551,0.83064,0.53503
12,0.2294,0.0,0.08862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31802,0.83136,0.56673
13,0.22642,0.0,0.08824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31466,0.83046,0.56555
14,0.22387,0.0,0.07849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30236,0.83311,0.55463
15,0.22272,0.0,0.07685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29958,0.83377,0.55195
16,0.22182,0.0,0.07605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29787,0.83323,0.55596
17,0.21984,0.0,0.07192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29176,0.83455,0.54052
18,0.21911,0.0,0.0724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29151,0.83178,0.53862
19,0.21859,0.0,0.06555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28415,0.83289,0.52818
20,0.21733,0.0,0.07303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29036,0.83245,0.55445
21,0.21623,0.0,0.06108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27731,0.83099,0.54881
22,0.21462,0.0,0.06159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2762,0.83323,0.54799
23,0.21364,0.0,0.05407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26771,0.83265,0.53659
24,0.21328,0.0,0.05903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27231,0.83394,0.54911
25,0.21229,0.0,0.05497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26726,0.83313,0.5426
26,0.21206,0.0,0.05609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26815,0.83246,0.55816
27,0.21151,0.0,0.05452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26603,0.83378,0.55096
28,0.2102,0.0,0.05111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2613,0.83311,0.55559
29,0.21008,0.0,0.05212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26221,0.83362,0.55129
30,0.20991,0.0,0.05047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26038,0.8346,0.54714
31,0.20951,0.0,0.05294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26244,0.83333,0.54457
32,0.20917,0.0,0.05111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26028,0.83509,0.54631
33,0.20796,0.0,0.04908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25704,0.83465,0.53974
34,0.20772,0.0,0.04478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2525,0.8335,0.53979
35,0.20694,0.0,0.0445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25144,0.83464,0.53916
36,0.20726,0.0,0.04369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25095,0.83474,0.54661
37,0.20645,0.0,0.04107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24752,0.8351,0.54444
38,0.2056,0.0,0.03903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24464,0.83537,0.54795
39,0.20607,0.0,0.03832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24439,0.83527,0.54525
