epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,total,macro_auc,macro_f1
1,0.456,0.0,1.06941,0.0,0.0,1.52541,0.81307,0.54555
2,0.37832,0.0,0.38785,0.0,0.0,0.76617,0.82647,0.52365
3,0.35237,0.0,0.26143,0.0,0.0,0.6138,0.82804,0.51788
4,0.32897,0.0,0.19332,0.0,0.0,0.52229,0.82559,0.55385
5,0.31231,0.0,0.15682,0.0,0.0,0.46914,0.82656,0.52438
6,0.30175,0.0,0.13711,0.0,0.0,0.43886,0.82654,0.53638
7,0.29308,0.0,0.11977,0.0,0.0,0.41285,0.82906,0.56392
8,0.28638,0.0,0.10712,0.0,0.0,0.3935,0.82788,0.56488
9,0.28205,0.0,0.10374,0.0,0.0,0.38578,0.82716,0.53394
10,0.27817,0.0,0.09836,0.0,0.0,0.37653,0.82937,0.5567
11,0.27628,0.0,0.09689,0.0,0.0,0.37317,0.82999,0.5385
12,0.27376,0.0,0.09204,0.0,0.0,0.3658,0.83117,0.56443
13,0.27158,0.0,0.08863,0.0,0.0,0.36021,0.83112,0.53696
14,0.26864,0.0,0.0841,0.0,0.0,0.35275,0.83038,0.55848
15,0.26801,0.0,0.08014,0.0,0.0,0.34815,0.83072,0.56779
16,0.26824,0.0,0.07939,0.0,0.0,0.34763,0.8308,0.53676
17,0.26596,0.0,0.07484,0.0,0.0,0.34079,0.8321,0.55072
18,0.26526,0.0,0.07774,0.0,0.0,0.343,0.83215,0.54703
19,0.26416,0.0,0.06984,0.0,0.0,0.334,0.83296,0.51902
20,0.26342,0.0,0.07884,0.0,0.0,0.34226,0.83207,0.56005
21,0.26282,0.0,0.06729,0.0,0.0,0.33011,0.8306,0.54882
22,0.26139,0.0,0.06767,0.0,0.0,0.32906,0.83058,0.54348
23,0.26055,0.0,0.06081,0.0,0.0,0.32137,0.83086,0.54325
24,0.25983,0.0,0.06542,0.0,0.0,0.32525,0.83102,0.54657
25,0.25926,0.0,0.06157,0.0,0.0,0.32082,0.82999,0.55351
26,0.25932,0.0,0.06286,0.0,0.0,0.32218,0.83111,0.56278
27,0.25927,0.0,0.06184,0.0,0.0,0.32111,0.83087,0.55639
28,0.2574,0.0,0.05944,0.0,0.0,0.31684,0.83127,0.56556
29,0.25738,0.0,0.06074,0.0,0.0,0.31812,0.83104,0.56026
30,0.25736,0.0,0.05851,0.0,0.0,0.31588,0.8318,0.55246
31,0.25712,0.0,0.06156,0.0,0.0,0.31868,0.83226,0.55763
32,0.25664,0.0,0.0589,0.0,0.0,0.31555,0.83183,0.54861
33,0.25542,0.0,0.05738,0.0,0.0,0.3128,0.83188,0.53974
34,0.25527,0.0,0.05328,0.0,0.0,0.30855,0.83058,0.54342
35,0.25468,0.0,0.05302,0.0,0.0,0.3077,0.83099,0.54397
36,0.25462,0.0,0.05222,0.0,0.0,0.30684,0.8315,0.55322
37,0.25421,0.0,0.05027,0.0,0.0,0.30448,0.83172,0.55244
38,0.25337,0.0,0.04871,0.0,0.0,0.30208,0.83249,0.55878
39,0.25404,0.0,0.04774,0.0,0.0,0.30178,0.83251,0.54754
40,0.25302,0.0,0.04779,0.0,0.0,0.30081,0.83212,0.5588
41,0.25352,0.0,0.04976,0.0,0.0,0.30328,0.83175,0.55299
42,0.25247,0.0,0.04764,0.0,0.0,0.30011,0.83235,0.55623
43,0.25318,0.0,0.04627,0.0,0.0,0.29946,0.83234,0.55777
44,0.2528,0.0,0.04828,0.0,0.0,0.30108,0.83247,0.56076
45,0.2532,0.0,0.04691,0.0,0.0,0.30012,0.83191,0.55758
46,0.25283,0.0,0.04666,0.0,0.0,0.29949,0.83244,0.55334
47,0.2528,0.0,0.04514,0.0,0.0,0.29795,0.83227,0.5547
48,0.25243,0.0,0.04478,0.0,0.0,0.29721,0.8323,0.55569
49,0.25214,0.0,0.04562,0.0,0.0,0.29777,0.8324,0.55793
50,0.25251,0.0,0.04478,0.0,0.0,0.29729,0.83249,0.55342
51,0.25268,0.0,0.04431,0.0,0.0,0.29699,0.83244,0.55778
52,0.25201,0.0,0.04315,0.0,0.0,0.29516,0.8324,0.55217
53,0.25215,0.0,0.04444,0.0,0.0,0.29659,0.83225,0.55438
54,0.25226,0.0,0.04384,0.0,0.0,0.2961,0.83248,0.55507
55,0.25214,0.0,0.04371,0.0,0.0,0.29586,0.83208,0.55604
56,0.25169,0.0,0.04359,0.0,0.0,0.29528,0.83234,0.55497
57,0.25195,0.0,0.04373,0.0,0.0,0.29568,0.83236,0.5557
58,0.25247,0.0,0.04415,0.0,0.0,0.29661,0.83238,0.55554
59,0.25211,0.0,0.04402,0.0,0.0,0.29612,0.83238,0.55551
60,0.25234,0.0,0.04356,0.0,0.0,0.2959,0.83233,0.55282
