epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,gated_kd,segment_feature,mean_w_teacher,mean_w_ta,mean_agreement,total,macro_auc,macro_f1
1,0.45492,0.0,1.05872,3.82492,0.00218,0.0,0.0,0.0,0.0,0.0,1.89657,0.81634,0.53908
2,0.37832,0.0,0.38658,2.2019,0.0022,0.0,0.0,0.0,0.0,0.0,0.98553,0.8294,0.5128
3,0.35346,0.0,0.25883,1.64604,0.0022,0.0,0.0,0.0,0.0,0.0,0.77733,0.83183,0.53065
4,0.3332,0.0,0.19389,1.31341,0.00221,0.0,0.0,0.0,0.0,0.0,0.65887,0.83217,0.5619
5,0.31789,0.0,0.15223,1.07518,0.00221,0.0,0.0,0.0,0.0,0.0,0.57809,0.83,0.55101
6,0.30559,0.0,0.12902,0.92417,0.00221,0.0,0.0,0.0,0.0,0.0,0.52746,0.82959,0.52145
7,0.29717,0.0,0.11396,0.79712,0.00221,0.0,0.0,0.0,0.0,0.0,0.49128,0.83103,0.56051
8,0.29112,0.0,0.10134,0.70756,0.00221,0.0,0.0,0.0,0.0,0.0,0.46366,0.83178,0.54827
9,0.28593,0.0,0.09701,0.63425,0.00221,0.0,0.0,0.0,0.0,0.0,0.44681,0.83376,0.53143
10,0.28205,0.0,0.09031,0.58308,0.00222,0.0,0.0,0.0,0.0,0.0,0.43112,0.83088,0.56431
11,0.27948,0.0,0.08629,0.54173,0.00222,0.0,0.0,0.0,0.0,0.0,0.42039,0.83384,0.54851
12,0.27808,0.0,0.08421,0.51044,0.00222,0.0,0.0,0.0,0.0,0.0,0.41377,0.83218,0.56076
13,0.27492,0.0,0.08281,0.49293,0.00222,0.0,0.0,0.0,0.0,0.0,0.40747,0.83133,0.561
14,0.27323,0.0,0.07864,0.46621,0.00222,0.0,0.0,0.0,0.0,0.0,0.39894,0.83454,0.56365
15,0.27208,0.0,0.07459,0.4362,0.00222,0.0,0.0,0.0,0.0,0.0,0.39073,0.83355,0.55577
16,0.27064,0.0,0.07343,0.42288,0.00222,0.0,0.0,0.0,0.0,0.0,0.38681,0.83239,0.54901
17,0.26876,0.0,0.06972,0.40735,0.00223,0.0,0.0,0.0,0.0,0.0,0.37967,0.83196,0.56609
