epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,gated_kd,segment_feature,mean_w_teacher,mean_w_ta,mean_agreement,total,macro_auc,macro_f1
1,0.4559,0.0,1.0839,3.87619,0.00232,0.0,0.0,0.0,0.0,0.0,1.92788,0.8173,0.52282
2,0.37514,0.0,0.42398,2.03951,0.00235,0.0,0.0,0.0,0.0,0.0,1.00354,0.83017,0.51868
3,0.34407,0.0,0.29213,1.33293,0.00235,0.0,0.0,0.0,0.0,0.0,0.76996,0.83057,0.50232
4,0.31495,0.0,0.21221,0.96552,0.00235,0.0,0.0,0.0,0.0,0.0,0.62418,0.83004,0.54834
5,0.29015,0.0,0.16707,0.74902,0.00235,0.0,0.0,0.0,0.0,0.0,0.53259,0.83592,0.55336
6,0.27204,0.0,0.13541,0.59423,0.00235,0.0,0.0,0.0,0.0,0.0,0.46734,0.83176,0.51068
7,0.2587,0.0,0.11755,0.49424,0.00235,0.0,0.0,0.0,0.0,0.0,0.42615,0.83565,0.55694
8,0.2488,0.0,0.10519,0.42069,0.00235,0.0,0.0,0.0,0.0,0.0,0.39653,0.83685,0.55907
9,0.24163,0.0,0.09746,0.36377,0.00235,0.0,0.0,0.0,0.0,0.0,0.37594,0.83431,0.52612
10,0.2369,0.0,0.09297,0.32902,0.00235,0.0,0.0,0.0,0.0,0.0,0.36325,0.83439,0.56748
11,0.23384,0.0,0.08821,0.29759,0.00235,0.0,0.0,0.0,0.0,0.0,0.35228,0.83481,0.53913
12,0.2313,0.0,0.08439,0.27351,0.00235,0.0,0.0,0.0,0.0,0.0,0.34351,0.83468,0.57268
13,0.22829,0.0,0.08173,0.25966,0.00236,0.0,0.0,0.0,0.0,0.0,0.33646,0.83523,0.56597
14,0.22522,0.0,0.07432,0.23535,0.00236,0.0,0.0,0.0,0.0,0.0,0.32355,0.83658,0.5718
15,0.22481,0.0,0.07276,0.21766,0.00236,0.0,0.0,0.0,0.0,0.0,0.3198,0.83624,0.55599
16,0.22377,0.0,0.07219,0.20774,0.00236,0.0,0.0,0.0,0.0,0.0,0.3172,0.83737,0.5459
17,0.22081,0.0,0.06632,0.19738,0.00236,0.0,0.0,0.0,0.0,0.0,0.30734,0.8373,0.57598
18,0.22043,0.0,0.06899,0.18618,0.00236,0.0,0.0,0.0,0.0,0.0,0.30851,0.83511,0.55663
19,0.21865,0.0,0.06211,0.1765,0.00236,0.0,0.0,0.0,0.0,0.0,0.29888,0.83678,0.53075
20,0.21858,0.0,0.06994,0.17226,0.00236,0.0,0.0,0.0,0.0,0.0,0.30622,0.83702,0.5698
21,0.21749,0.0,0.05863,0.16069,0.00237,0.0,0.0,0.0,0.0,0.0,0.29266,0.83827,0.55635
22,0.21598,0.0,0.05947,0.15409,0.00236,0.0,0.0,0.0,0.0,0.0,0.29134,0.83743,0.54702
23,0.2142,0.0,0.05084,0.14591,0.00236,0.0,0.0,0.0,0.0,0.0,0.28011,0.83685,0.54066
24,0.21427,0.0,0.05719,0.14446,0.00236,0.0,0.0,0.0,0.0,0.0,0.28637,0.83749,0.57051
25,0.21335,0.0,0.0538,0.13784,0.00236,0.0,0.0,0.0,0.0,0.0,0.28141,0.83806,0.54978
26,0.21372,0.0,0.05492,0.13321,0.00236,0.0,0.0,0.0,0.0,0.0,0.28243,0.83829,0.57069
27,0.2126,0.0,0.05239,0.12865,0.00237,0.0,0.0,0.0,0.0,0.0,0.27833,0.83863,0.55438
28,0.2112,0.0,0.04988,0.12297,0.00237,0.0,0.0,0.0,0.0,0.0,0.27385,0.83827,0.5706
29,0.21091,0.0,0.04916,0.12206,0.00237,0.0,0.0,0.0,0.0,0.0,0.27275,0.83934,0.54919
30,0.21081,0.0,0.04915,0.11598,0.00237,0.0,0.0,0.0,0.0,0.0,0.27203,0.83927,0.54877
31,0.21039,0.0,0.05244,0.11548,0.00236,0.0,0.0,0.0,0.0,0.0,0.27485,0.83734,0.55514
32,0.20985,0.0,0.05022,0.1118,0.00237,0.0,0.0,0.0,0.0,0.0,0.27172,0.83872,0.55044
33,0.20873,0.0,0.04768,0.10886,0.00237,0.0,0.0,0.0,0.0,0.0,0.26777,0.83867,0.54714
34,0.20858,0.0,0.04354,0.10568,0.00237,0.0,0.0,0.0,0.0,0.0,0.26317,0.83848,0.54986
35,0.20765,0.0,0.04307,0.10353,0.00237,0.0,0.0,0.0,0.0,0.0,0.26155,0.83887,0.54558
36,0.20795,0.0,0.04256,0.0997,0.00237,0.0,0.0,0.0,0.0,0.0,0.26095,0.8382,0.55657
37,0.20702,0.0,0.04005,0.09719,0.00236,0.0,0.0,0.0,0.0,0.0,0.25726,0.83863,0.55412
38,0.2062,0.0,0.03833,0.09415,0.00236,0.0,0.0,0.0,0.0,0.0,0.25442,0.83872,0.55347
39,0.2068,0.0,0.03797,0.0922,0.00236,0.0,0.0,0.0,0.0,0.0,0.25447,0.83871,0.55083
40,0.20584,0.0,0.03758,0.08984,0.00236,0.0,0.0,0.0,0.0,0.0,0.25288,0.83807,0.56163
41,0.20628,0.0,0.03958,0.09046,0.00236,0.0,0.0,0.0,0.0,0.0,0.25538,0.83755,0.55107
42,0.20546,0.0,0.03762,0.08728,0.00236,0.0,0.0,0.0,0.0,0.0,0.25228,0.83919,0.56021
43,0.20565,0.0,0.03622,0.08737,0.00236,0.0,0.0,0.0,0.0,0.0,0.25108,0.83902,0.55381
44,0.20549,0.0,0.03818,0.08753,0.00236,0.0,0.0,0.0,0.0,0.0,0.25289,0.83886,0.56014
45,0.20582,0.0,0.03663,0.0856,0.00236,0.0,0.0,0.0,0.0,0.0,0.25149,0.83878,0.55468
46,0.20531,0.0,0.0366,0.08585,0.00236,0.0,0.0,0.0,0.0,0.0,0.25096,0.83926,0.55283
47,0.20536,0.0,0.03474,0.08301,0.00236,0.0,0.0,0.0,0.0,0.0,0.24888,0.83868,0.55724
48,0.20493,0.0,0.03459,0.08364,0.00236,0.0,0.0,0.0,0.0,0.0,0.24836,0.83882,0.55809
49,0.20465,0.0,0.03504,0.08241,0.00236,0.0,0.0,0.0,0.0,0.0,0.2484,0.83942,0.55694
