epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,gated_kd,segment_feature,mean_w_teacher,mean_w_ta,mean_agreement,total,macro_auc,macro_f1
1,0.43706,0.0,0.85899,2.40631,0.00241,0.0,0.0,0.0,0.0,0.0,1.53716,0.82567,0.51689
2,0.37572,0.0,0.40706,1.19748,0.0024,0.0,0.0,0.0,0.0,0.0,0.903,0.83011,0.54073
3,0.3629,0.0,0.32919,0.98947,0.0024,0.0,0.0,0.0,0.0,0.0,0.79151,0.83456,0.55308
4,0.35545,0.0,0.28709,0.86828,0.00239,0.0,0.0,0.0,0.0,0.0,0.72984,0.83454,0.5568
5,0.34926,0.0,0.25116,0.75067,0.00239,0.0,0.0,0.0,0.0,0.0,0.67597,0.83864,0.55474
6,0.34363,0.0,0.22858,0.66729,0.00239,0.0,0.0,0.0,0.0,0.0,0.63942,0.83491,0.55385
7,0.33817,0.0,0.2118,0.60048,0.00239,0.0,0.0,0.0,0.0,0.0,0.61049,0.84277,0.57183
8,0.33445,0.0,0.19144,0.55413,0.00239,0.0,0.0,0.0,0.0,0.0,0.58179,0.84322,0.5696
9,0.32983,0.0,0.17765,0.51264,0.00239,0.0,0.0,0.0,0.0,0.0,0.55922,0.8451,0.56746
10,0.32566,0.0,0.17479,0.48813,0.00239,0.0,0.0,0.0,0.0,0.0,0.54974,0.84274,0.55939
11,0.32174,0.0,0.16013,0.45915,0.00239,0.0,0.0,0.0,0.0,0.0,0.52826,0.84219,0.56465
12,0.31829,0.0,0.15642,0.44506,0.00239,0.0,0.0,0.0,0.0,0.0,0.5197,0.84364,0.57095
13,0.31347,0.0,0.14657,0.42858,0.00239,0.0,0.0,0.0,0.0,0.0,0.50337,0.84565,0.57554
14,0.30983,0.0,0.13601,0.40494,0.00239,0.0,0.0,0.0,0.0,0.0,0.48682,0.84693,0.57018
15,0.30523,0.0,0.12678,0.39072,0.00239,0.0,0.0,0.0,0.0,0.0,0.47157,0.84728,0.57197
16,0.30152,0.0,0.12342,0.38089,0.00239,0.0,0.0,0.0,0.0,0.0,0.46351,0.8423,0.58338
17,0.2966,0.0,0.114,0.36524,0.00239,0.0,0.0,0.0,0.0,0.0,0.44761,0.84407,0.57418
18,0.29375,0.0,0.11424,0.35672,0.00239,0.0,0.0,0.0,0.0,0.0,0.44414,0.84535,0.57917
