epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,total,macro_auc,macro_f1
1,0.45561,0.0,1.06353,3.85164,0.0,1.90431,0.81355,0.55153
2,0.37841,0.0,0.38896,2.21468,0.0,0.98883,0.82801,0.52102
3,0.35424,0.0,0.26282,1.67287,0.0,0.78435,0.82876,0.56446
4,0.33417,0.0,0.19465,1.32899,0.0,0.66172,0.82838,0.54287
5,0.31741,0.0,0.15056,1.07882,0.0,0.57585,0.8251,0.53012
6,0.30658,0.0,0.12861,0.92359,0.0,0.52755,0.82702,0.53382
7,0.29791,0.0,0.11398,0.80055,0.0,0.49194,0.83014,0.56241
8,0.29104,0.0,0.10326,0.70905,0.0,0.46521,0.82943,0.54266
9,0.28721,0.0,0.09758,0.63849,0.0,0.44864,0.82869,0.51986
10,0.28361,0.0,0.09258,0.59377,0.0,0.43557,0.82796,0.55229
11,0.27949,0.0,0.08736,0.54214,0.0,0.42106,0.83114,0.53644
12,0.27887,0.0,0.08399,0.51613,0.0,0.41448,0.83105,0.57614
13,0.27582,0.0,0.0829,0.49489,0.0,0.40821,0.83151,0.56163
14,0.27362,0.0,0.07857,0.47127,0.0,0.39932,0.83211,0.5491
15,0.27195,0.0,0.07658,0.44487,0.0,0.39301,0.82988,0.55368
16,0.27114,0.0,0.07414,0.42395,0.0,0.38768,0.83133,0.5442
17,0.26911,0.0,0.06988,0.40892,0.0,0.37989,0.83069,0.56837
18,0.26929,0.0,0.07305,0.40044,0.0,0.38239,0.82978,0.54702
19,0.26691,0.0,0.0664,0.38091,0.0,0.37141,0.83196,0.54365
20,0.2668,0.0,0.07546,0.37954,0.0,0.38022,0.83077,0.56037
21,0.26611,0.0,0.06296,0.35572,0.0,0.36464,0.83365,0.54716
22,0.26457,0.0,0.06485,0.35019,0.0,0.36444,0.8326,0.55533
23,0.26343,0.0,0.05718,0.33597,0.0,0.35421,0.83077,0.54208
24,0.2626,0.0,0.06211,0.33639,0.0,0.35835,0.83442,0.55519
25,0.26198,0.0,0.05901,0.32714,0.0,0.3537,0.83329,0.56286
26,0.26178,0.0,0.06066,0.31952,0.0,0.3544,0.83314,0.56495
27,0.26145,0.0,0.05842,0.30948,0.0,0.35082,0.83332,0.55463
28,0.25932,0.0,0.05726,0.30411,0.0,0.34699,0.83273,0.56358
29,0.25998,0.0,0.05705,0.3009,0.0,0.34712,0.83301,0.55776
30,0.26005,0.0,0.05656,0.29037,0.0,0.34565,0.83522,0.55158
31,0.25941,0.0,0.05963,0.29198,0.0,0.34824,0.83391,0.54232
32,0.25876,0.0,0.05759,0.2872,0.0,0.34506,0.83337,0.53806
33,0.25789,0.0,0.05563,0.28131,0.0,0.34165,0.83367,0.54798
34,0.25781,0.0,0.05208,0.27562,0.0,0.33745,0.83294,0.54183
35,0.25689,0.0,0.05118,0.27115,0.0,0.33519,0.83442,0.55178
36,0.25665,0.0,0.05056,0.26434,0.0,0.33364,0.83422,0.55592
37,0.256,0.0,0.04869,0.26083,0.0,0.33078,0.83417,0.54613
38,0.25527,0.0,0.04701,0.25727,0.0,0.328,0.83478,0.55595
39,0.25574,0.0,0.0466,0.25404,0.0,0.32774,0.83409,0.54781
40,0.25478,0.0,0.04638,0.24998,0.0,0.32616,0.83443,0.55899
41,0.2554,0.0,0.04849,0.24933,0.0,0.32882,0.83385,0.55333
42,0.25424,0.0,0.04657,0.24453,0.0,0.32526,0.83434,0.56159
43,0.25487,0.0,0.04515,0.24431,0.0,0.32445,0.83426,0.54704
44,0.25432,0.0,0.04773,0.24492,0.0,0.32654,0.8345,0.55886
45,0.25475,0.0,0.04602,0.24359,0.0,0.32513,0.83398,0.55505
46,0.2544,0.0,0.04567,0.24095,0.0,0.32417,0.83447,0.551
47,0.25436,0.0,0.04404,0.23708,0.0,0.32211,0.83393,0.56182
48,0.25393,0.0,0.04357,0.23991,0.0,0.32148,0.8342,0.55334
49,0.25359,0.0,0.04451,0.23636,0.0,0.32174,0.83441,0.55971
50,0.25385,0.0,0.04374,0.23269,0.0,0.32085,0.83445,0.54945
51,0.25386,0.0,0.0435,0.23305,0.0,0.32066,0.83452,0.55626
52,0.25336,0.0,0.04201,0.23157,0.0,0.31853,0.83462,0.55624
53,0.25361,0.0,0.04329,0.23085,0.0,0.31998,0.83455,0.5574
54,0.25362,0.0,0.04265,0.23182,0.0,0.31945,0.83484,0.5552
55,0.25349,0.0,0.04269,0.23012,0.0,0.3192,0.83461,0.55446
56,0.25291,0.0,0.0425,0.23107,0.0,0.31851,0.83471,0.55402
57,0.2533,0.0,0.04256,0.22765,0.0,0.31862,0.8347,0.55447
58,0.25364,0.0,0.04306,0.23025,0.0,0.31972,0.83476,0.55366
59,0.25329,0.0,0.04283,0.22971,0.0,0.31909,0.83466,0.55357
60,0.25348,0.0,0.04253,0.22936,0.0,0.31894,0.83462,0.55118
