epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,total,macro_auc,macro_f1
1,0.45713,2.18773,1.07432,3.9102,0.00218,2.57922,0.81233,0.49526
2,0.37731,1.45424,0.3937,2.30527,0.0022,1.43825,0.82473,0.5058
3,0.34981,1.25451,0.27389,1.77189,0.00221,1.17769,0.82961,0.52926
4,0.32343,1.07981,0.21329,1.46818,0.0022,1.00792,0.83007,0.56685
5,0.30226,0.95186,0.17809,1.24127,0.0022,0.89047,0.82655,0.54267
6,0.28823,0.86937,0.16492,1.06476,0.0022,0.82089,0.82694,0.51566
7,0.27897,0.81349,0.1568,0.93391,0.0022,0.77364,0.83085,0.55213
8,0.27187,0.78007,0.14905,0.84265,0.0022,0.73964,0.83123,0.56198
9,0.26593,0.74619,0.1444,0.74937,0.00221,0.70956,0.83241,0.54412
10,0.26189,0.72271,0.13827,0.6961,0.00221,0.68703,0.82939,0.56029
11,0.25974,0.71844,0.13925,0.64509,0.00221,0.67947,0.83208,0.54048
12,0.25805,0.70367,0.13661,0.60662,0.00221,0.66687,0.83278,0.57248
13,0.25609,0.69504,0.13685,0.58371,0.00222,0.66026,0.83178,0.57105
14,0.25221,0.67239,0.13187,0.54683,0.00222,0.64092,0.83274,0.5547
15,0.25132,0.66937,0.12721,0.51226,0.00222,0.63102,0.83169,0.56151
16,0.25039,0.65958,0.12851,0.49483,0.00222,0.6267,0.83259,0.55492
17,0.24889,0.65379,0.12531,0.48145,0.00222,0.61893,0.83018,0.56513
18,0.2481,0.655,0.1288,0.46059,0.00222,0.6199,0.83153,0.55798
19,0.24698,0.6398,0.12094,0.43933,0.00222,0.60423,0.8338,0.53823
20,0.2459,0.64457,0.13071,0.43328,0.00222,0.61376,0.83226,0.56625
21,0.24458,0.63143,0.11939,0.41201,0.00222,0.59504,0.83536,0.55577
22,0.24418,0.62861,0.12065,0.39833,0.00222,0.59369,0.83435,0.55683
23,0.24252,0.61625,0.11461,0.38228,0.00222,0.58067,0.83191,0.54912
24,0.24212,0.61996,0.11942,0.37904,0.00222,0.58588,0.83422,0.55902
25,0.24101,0.61284,0.11653,0.36892,0.00222,0.57872,0.83423,0.56026
26,0.24128,0.61172,0.11745,0.3571,0.00223,0.5784,0.83486,0.56942
27,0.24061,0.60534,0.11714,0.34715,0.00223,0.57451,0.83448,0.562
28,0.23901,0.60106,0.1146,0.34122,0.00223,0.5685,0.83543,0.57218
29,0.2393,0.60076,0.11567,0.3365,0.00223,0.5693,0.83396,0.55438
30,0.23929,0.60081,0.11541,0.32535,0.00223,0.56792,0.83543,0.55729
31,0.23889,0.59992,0.11812,0.326,0.00223,0.57003,0.83345,0.55756
32,0.23819,0.5987,0.11627,0.31782,0.00223,0.5663,0.83414,0.53943
33,0.23751,0.59369,0.11489,0.31084,0.00223,0.56204,0.8338,0.54138
34,0.23692,0.58875,0.11223,0.30569,0.00223,0.5568,0.83409,0.54316
35,0.23645,0.5869,0.11131,0.30124,0.00223,0.5544,0.8332,0.54717
36,0.23644,0.58717,0.11048,0.29457,0.00223,0.55297,0.83398,0.54749
37,0.23539,0.5797,0.10897,0.28984,0.00223,0.54769,0.83313,0.55846
38,0.23492,0.57721,0.1077,0.28427,0.00222,0.54465,0.83552,0.54659
39,0.23539,0.57862,0.10616,0.28019,0.00223,0.54361,0.83443,0.54597
40,0.23403,0.57407,0.10674,0.27472,0.00222,0.54091,0.83436,0.55878
41,0.23498,0.57719,0.10835,0.27233,0.00222,0.54417,0.83357,0.55412
42,0.23351,0.57297,0.10677,0.26745,0.00222,0.53936,0.83434,0.55864
43,0.23426,0.57312,0.10523,0.26604,0.00222,0.53847,0.83435,0.55088
44,0.23368,0.5725,0.10756,0.26519,0.00222,0.53996,0.83523,0.55908
45,0.23406,0.57255,0.10612,0.2635,0.00222,0.53874,0.83423,0.55727
46,0.2337,0.57124,0.10517,0.26054,0.00222,0.53674,0.83477,0.55285
47,0.23378,0.56601,0.10456,0.2564,0.00222,0.53422,0.83412,0.55589
48,0.23316,0.56754,0.10385,0.25872,0.00222,0.53359,0.83452,0.55794
49,0.2329,0.56724,0.10479,0.25487,0.00222,0.53379,0.83461,0.5587
50,0.2333,0.56561,0.10362,0.25077,0.00221,0.53212,0.83482,0.55228
51,0.23319,0.56849,0.10346,0.25034,0.00222,0.53268,0.83484,0.55808
52,0.23257,0.56379,0.10253,0.24924,0.00222,0.52961,0.83463,0.55734
53,0.23291,0.56596,0.10324,0.24783,0.00222,0.53116,0.8347,0.56087
54,0.23278,0.56566,0.10277,0.24935,0.00221,0.53063,0.83473,0.55531
55,0.23279,0.56203,0.10345,0.24712,0.00222,0.53,0.83461,0.55342
56,0.23235,0.56314,0.10259,0.24852,0.00221,0.52917,0.83477,0.55325
57,0.23259,0.56459,0.10297,0.24464,0.00221,0.52985,0.83471,0.55534
58,0.23287,0.56524,0.10338,0.24702,0.00221,0.53096,0.83475,0.55492
59,0.23282,0.565,0.10281,0.24698,0.00221,0.53027,0.83474,0.5559
60,0.23284,0.56574,0.10268,0.24671,0.00222,0.53036,0.83469,0.55367
