epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,gated_kd,segment_feature,mean_w_teacher,mean_w_ta,mean_agreement,total,macro_auc,macro_f1
1,0.45628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45628,0.80233,0.44137
2,0.39026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39026,0.8151,0.40456
3,0.3603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3603,0.81274,0.49617
4,0.31312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31312,0.79896,0.43735
5,0.25213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25213,0.795,0.51278
6,0.18085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18085,0.78107,0.48015
7,0.13061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13061,0.77644,0.4896
8,0.09945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09945,0.78916,0.40789
9,0.08232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08232,0.78494,0.52333
10,0.07024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07024,0.77272,0.51721
11,0.0634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0634,0.77081,0.46423
12,0.05703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05703,0.78206,0.45796
13,0.04821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04821,0.76965,0.50176
14,0.04693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04693,0.77116,0.485
15,0.04169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04169,0.7747,0.45174
16,0.04036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04036,0.77497,0.49469
17,0.03156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03156,0.77554,0.48462
18,0.03062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03062,0.77167,0.49565
19,0.02695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02695,0.78596,0.4456
20,0.02649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02649,0.78379,0.51337
21,0.02281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02281,0.77381,0.45182
22,0.02195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02195,0.78258,0.49206
23,0.01952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01952,0.78311,0.49518
