epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,gated_kd,segment_feature,mean_w_teacher,mean_w_ta,mean_agreement,total,macro_auc,macro_f1
1,0.49874,0.0,0.87277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37151,0.81569,0.51368
2,0.44382,0.0,0.36293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80674,0.81898,0.48005
3,0.4257,0.0,0.27237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69806,0.82188,0.55123
4,0.40719,0.0,0.20558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61277,0.82147,0.54875
5,0.39149,0.0,0.16514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55663,0.81996,0.5069
6,0.37662,0.0,0.14078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5174,0.82197,0.53767
7,0.36694,0.0,0.12682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49376,0.82371,0.50304
8,0.3596,0.0,0.11658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47617,0.82087,0.5151
9,0.35126,0.0,0.11176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46303,0.82377,0.50423
10,0.34584,0.0,0.10281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44865,0.82204,0.53609
11,0.34409,0.0,0.10166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44575,0.82528,0.502
12,0.34081,0.0,0.09606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43687,0.82635,0.52389
13,0.33557,0.0,0.09431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42987,0.82385,0.51071
14,0.3352,0.0,0.09076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42596,0.82683,0.55285
15,0.33341,0.0,0.08545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41886,0.82787,0.54048
16,0.33132,0.0,0.08775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41906,0.82663,0.4936
17,0.32808,0.0,0.08581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4139,0.82593,0.5248
18,0.32893,0.0,0.08669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41562,0.82654,0.48971
19,0.32647,0.0,0.07573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4022,0.82706,0.51173
20,0.32596,0.0,0.08512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41108,0.82418,0.4784
21,0.32409,0.0,0.07649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40059,0.82788,0.50562
22,0.3238,0.0,0.07641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40021,0.82543,0.49182
23,0.3224,0.0,0.07047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39287,0.82725,0.48279
24,0.32122,0.0,0.07142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39264,0.83013,0.52934
25,0.32045,0.0,0.07149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39195,0.82861,0.50447
26,0.32043,0.0,0.07173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39216,0.82907,0.53076
27,0.31997,0.0,0.07169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39166,0.82909,0.54205
28,0.31929,0.0,0.06499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38428,0.82869,0.52396
29,0.31856,0.0,0.0664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38496,0.82842,0.50864
30,0.3178,0.0,0.06651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38431,0.82924,0.53519
31,0.31642,0.0,0.06728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38369,0.82798,0.54094
32,0.31689,0.0,0.06464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38154,0.82938,0.53163
33,0.31616,0.0,0.06594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38211,0.82896,0.52551
34,0.3169,0.0,0.06214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37904,0.82946,0.49461
35,0.31476,0.0,0.06263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3774,0.82933,0.5018
36,0.31512,0.0,0.06072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37584,0.82768,0.51727
37,0.31515,0.0,0.05766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37281,0.82934,0.5216
38,0.31353,0.0,0.05707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3706,0.82925,0.53354
39,0.31501,0.0,0.05616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37117,0.82982,0.51535
40,0.31322,0.0,0.05662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36984,0.82947,0.54183
41,0.31329,0.0,0.05905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37234,0.82984,0.52558
42,0.31365,0.0,0.05468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36833,0.82975,0.52828
43,0.31252,0.0,0.05573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36825,0.82937,0.52354
44,0.31338,0.0,0.05605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36943,0.82953,0.53564
45,0.31243,0.0,0.05533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36776,0.82939,0.52863
46,0.31311,0.0,0.05491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36801,0.82976,0.52312
47,0.31317,0.0,0.05278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36595,0.82951,0.52605
48,0.31184,0.0,0.05525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36709,0.82943,0.52886
49,0.31234,0.0,0.05399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36634,0.82935,0.52199
50,0.31231,0.0,0.05392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36623,0.82966,0.52671
51,0.31331,0.0,0.05254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36585,0.82964,0.52566
