epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,gated_kd,segment_feature,mean_w_teacher,mean_w_ta,mean_agreement,total,macro_auc,macro_f1
1,0.4876,0.0,0.83242,3.77868,0.00216,0.0,0.0,0.0,0.0,0.0,1.69832,0.82183,0.49648
2,0.44586,0.0,0.3874,2.41361,0.00216,0.0,0.0,0.0,0.0,0.0,1.07505,0.83061,0.51119
3,0.43949,0.0,0.31333,1.86799,0.00216,0.0,0.0,0.0,0.0,0.0,0.94005,0.83076,0.48433
4,0.43357,0.0,0.27569,1.44478,0.00216,0.0,0.0,0.0,0.0,0.0,0.85417,0.82993,0.46816
5,0.4299,0.0,0.25064,1.19149,0.00216,0.0,0.0,0.0,0.0,0.0,0.80012,0.83007,0.51705
6,0.42597,0.0,0.22898,1.06101,0.00217,0.0,0.0,0.0,0.0,0.0,0.76148,0.8336,0.54296
7,0.42074,0.0,0.20962,0.96935,0.00217,0.0,0.0,0.0,0.0,0.0,0.72773,0.83399,0.53229
8,0.4194,0.0,0.19506,0.92924,0.00217,0.0,0.0,0.0,0.0,0.0,0.70782,0.83396,0.53392
9,0.41208,0.0,0.18232,0.88369,0.00217,0.0,0.0,0.0,0.0,0.0,0.6832,0.83453,0.51522
10,0.40714,0.0,0.1588,0.83291,0.00217,0.0,0.0,0.0,0.0,0.0,0.64967,0.83379,0.50735
11,0.40392,0.0,0.14965,0.80138,0.00217,0.0,0.0,0.0,0.0,0.0,0.63414,0.83693,0.53047
12,0.39691,0.0,0.13373,0.77034,0.00217,0.0,0.0,0.0,0.0,0.0,0.60811,0.83204,0.53948
13,0.38874,0.0,0.12133,0.73392,0.00217,0.0,0.0,0.0,0.0,0.0,0.5839,0.8279,0.49874
14,0.38373,0.0,0.11219,0.69849,0.00217,0.0,0.0,0.0,0.0,0.0,0.5662,0.8329,0.51999
15,0.37864,0.0,0.09895,0.66386,0.00217,0.0,0.0,0.0,0.0,0.0,0.54441,0.8349,0.52599
16,0.37374,0.0,0.09631,0.63856,0.00217,0.0,0.0,0.0,0.0,0.0,0.53435,0.83341,0.52091
17,0.36904,0.0,0.09495,0.61494,0.00217,0.0,0.0,0.0,0.0,0.0,0.52592,0.83222,0.53777
18,0.36582,0.0,0.08942,0.59072,0.00217,0.0,0.0,0.0,0.0,0.0,0.51474,0.83287,0.52942
19,0.36199,0.0,0.07835,0.56952,0.00216,0.0,0.0,0.0,0.0,0.0,0.49772,0.83473,0.52748
20,0.35885,0.0,0.08486,0.55265,0.00217,0.0,0.0,0.0,0.0,0.0,0.49941,0.83397,0.52321
21,0.35502,0.0,0.0756,0.54004,0.00216,0.0,0.0,0.0,0.0,0.0,0.48506,0.83565,0.52238
22,0.35294,0.0,0.07683,0.52764,0.00216,0.0,0.0,0.0,0.0,0.0,0.48296,0.82946,0.5069
23,0.34838,0.0,0.06956,0.5113,0.00216,0.0,0.0,0.0,0.0,0.0,0.46951,0.83483,0.53812
24,0.34482,0.0,0.06846,0.50036,0.00216,0.0,0.0,0.0,0.0,0.0,0.46375,0.83448,0.53579
25,0.34247,0.0,0.06889,0.49657,0.00216,0.0,0.0,0.0,0.0,0.0,0.46145,0.83445,0.53488
26,0.34196,0.0,0.06961,0.48436,0.00216,0.0,0.0,0.0,0.0,0.0,0.46044,0.83438,0.53857
27,0.33928,0.0,0.07074,0.47481,0.00216,0.0,0.0,0.0,0.0,0.0,0.45793,0.83646,0.5555
28,0.33809,0.0,0.06513,0.46858,0.00216,0.0,0.0,0.0,0.0,0.0,0.45051,0.8367,0.54564
29,0.33614,0.0,0.06453,0.45936,0.00216,0.0,0.0,0.0,0.0,0.0,0.44704,0.83471,0.51671
30,0.33399,0.0,0.06439,0.451,0.00216,0.0,0.0,0.0,0.0,0.0,0.44391,0.83316,0.54342
31,0.33173,0.0,0.0656,0.44945,0.00216,0.0,0.0,0.0,0.0,0.0,0.44271,0.83422,0.54564
32,0.33104,0.0,0.06443,0.44238,0.00216,0.0,0.0,0.0,0.0,0.0,0.44014,0.83421,0.53913
33,0.32958,0.0,0.06555,0.43894,0.00216,0.0,0.0,0.0,0.0,0.0,0.43945,0.83411,0.53396
