epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,gated_kd,segment_feature,mean_w_teacher,mean_w_ta,mean_agreement,total,macro_auc,macro_f1
1,0.45845,0.0,0.83612,3.72346,0.00215,0.0,0.0,0.0,0.0,0.0,1.66734,0.82678,0.55851
2,0.41506,0.0,0.33478,2.15683,0.00213,0.0,0.0,0.0,0.0,0.0,0.96595,0.83262,0.57508
3,0.40522,0.0,0.26145,1.46414,0.00212,0.0,0.0,0.0,0.0,0.0,0.81351,0.83307,0.56651
4,0.39852,0.0,0.22645,1.13624,0.00212,0.0,0.0,0.0,0.0,0.0,0.73902,0.83411,0.56717
5,0.39384,0.0,0.20288,0.94877,0.00212,0.0,0.0,0.0,0.0,0.0,0.69202,0.83329,0.5514
6,0.39016,0.0,0.18369,0.83303,0.00212,0.0,0.0,0.0,0.0,0.0,0.65758,0.83229,0.56267
7,0.38531,0.0,0.17122,0.75728,0.00212,0.0,0.0,0.0,0.0,0.0,0.63268,0.83449,0.55385
8,0.38131,0.0,0.15844,0.71641,0.00212,0.0,0.0,0.0,0.0,0.0,0.61182,0.83522,0.5576
9,0.37747,0.0,0.15045,0.67346,0.00212,0.0,0.0,0.0,0.0,0.0,0.59569,0.83417,0.56653
10,0.37189,0.0,0.13135,0.63553,0.00212,0.0,0.0,0.0,0.0,0.0,0.56722,0.835,0.56377
11,0.36851,0.0,0.12909,0.61588,0.00212,0.0,0.0,0.0,0.0,0.0,0.55961,0.83386,0.57655
12,0.36325,0.0,0.12403,0.59677,0.00212,0.0,0.0,0.0,0.0,0.0,0.54738,0.83373,0.55296
13,0.35835,0.0,0.11455,0.58025,0.00212,0.0,0.0,0.0,0.0,0.0,0.53135,0.8316,0.5759
14,0.3513,0.0,0.10245,0.5541,0.00212,0.0,0.0,0.0,0.0,0.0,0.50959,0.83507,0.57982
15,0.34579,0.0,0.09694,0.53901,0.00212,0.0,0.0,0.0,0.0,0.0,0.49706,0.83496,0.5807
16,0.34184,0.0,0.09282,0.53135,0.00212,0.0,0.0,0.0,0.0,0.0,0.48821,0.83107,0.56369
17,0.33713,0.0,0.09304,0.51558,0.00212,0.0,0.0,0.0,0.0,0.0,0.48215,0.83287,0.55656
18,0.3321,0.0,0.08546,0.50285,0.00212,0.0,0.0,0.0,0.0,0.0,0.46826,0.83283,0.56014
19,0.32741,0.0,0.07408,0.48852,0.00212,0.0,0.0,0.0,0.0,0.0,0.45077,0.83456,0.55926
20,0.32247,0.0,0.0792,0.48401,0.00212,0.0,0.0,0.0,0.0,0.0,0.45049,0.83322,0.57838
21,0.31996,0.0,0.06933,0.46806,0.00212,0.0,0.0,0.0,0.0,0.0,0.43652,0.83411,0.57086
22,0.31648,0.0,0.07165,0.46017,0.00212,0.0,0.0,0.0,0.0,0.0,0.43457,0.83423,0.57171
23,0.31203,0.0,0.06357,0.44617,0.00212,0.0,0.0,0.0,0.0,0.0,0.42063,0.83233,0.56366
24,0.30989,0.0,0.06228,0.4409,0.00211,0.0,0.0,0.0,0.0,0.0,0.41668,0.83439,0.57344
25,0.30854,0.0,0.06273,0.43855,0.00211,0.0,0.0,0.0,0.0,0.0,0.41555,0.83354,0.56361
26,0.30565,0.0,0.06281,0.42869,0.00211,0.0,0.0,0.0,0.0,0.0,0.41175,0.83455,0.57112
