epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,gated_kd,segment_feature,mean_w_teacher,mean_w_ta,mean_agreement,total,macro_auc,macro_f1
1,0.49858,0.0,0.86483,3.54393,0.00209,0.0,0.0,0.0,0.0,0.0,1.71822,0.81668,0.49349
2,0.44347,0.0,0.35439,1.78054,0.00209,0.0,0.0,0.0,0.0,0.0,0.97633,0.81914,0.50766
3,0.42491,0.0,0.26392,1.19159,0.0021,0.0,0.0,0.0,0.0,0.0,0.80841,0.82449,0.52532
4,0.40925,0.0,0.19719,0.94986,0.0021,0.0,0.0,0.0,0.0,0.0,0.70185,0.81871,0.49452
5,0.3929,0.0,0.16099,0.82475,0.0021,0.0,0.0,0.0,0.0,0.0,0.63678,0.82032,0.4968
6,0.37817,0.0,0.1297,0.72674,0.00211,0.0,0.0,0.0,0.0,0.0,0.58097,0.8229,0.49594
7,0.36899,0.0,0.12324,0.67593,0.00211,0.0,0.0,0.0,0.0,0.0,0.56025,0.82506,0.53619
8,0.36186,0.0,0.10915,0.63242,0.00211,0.0,0.0,0.0,0.0,0.0,0.53467,0.82585,0.54194
9,0.35374,0.0,0.10376,0.59988,0.00211,0.0,0.0,0.0,0.0,0.0,0.51791,0.82506,0.48704
10,0.34741,0.0,0.09662,0.57082,0.00211,0.0,0.0,0.0,0.0,0.0,0.50153,0.82405,0.53996
11,0.34593,0.0,0.09543,0.54013,0.00211,0.0,0.0,0.0,0.0,0.0,0.49579,0.8255,0.50569
12,0.3426,0.0,0.08759,0.52218,0.00211,0.0,0.0,0.0,0.0,0.0,0.48284,0.82623,0.54829
13,0.33764,0.0,0.08736,0.5028,0.00211,0.0,0.0,0.0,0.0,0.0,0.47569,0.82361,0.51037
14,0.33649,0.0,0.0844,0.48934,0.00211,0.0,0.0,0.0,0.0,0.0,0.47024,0.82382,0.54944
15,0.33403,0.0,0.07985,0.46953,0.00211,0.0,0.0,0.0,0.0,0.0,0.46125,0.82736,0.53786
16,0.33367,0.0,0.08413,0.46559,0.00211,0.0,0.0,0.0,0.0,0.0,0.46478,0.8285,0.53115
17,0.33003,0.0,0.08114,0.44801,0.00211,0.0,0.0,0.0,0.0,0.0,0.4564,0.82646,0.49475
18,0.33013,0.0,0.08154,0.43875,0.00211,0.0,0.0,0.0,0.0,0.0,0.45596,0.82479,0.49692
19,0.3284,0.0,0.07284,0.42523,0.00211,0.0,0.0,0.0,0.0,0.0,0.44418,0.82565,0.51603
20,0.32771,0.0,0.08117,0.42046,0.00211,0.0,0.0,0.0,0.0,0.0,0.45134,0.8263,0.54607
21,0.32684,0.0,0.07342,0.4119,0.00211,0.0,0.0,0.0,0.0,0.0,0.44187,0.82777,0.51995
22,0.32559,0.0,0.07545,0.40403,0.00211,0.0,0.0,0.0,0.0,0.0,0.44186,0.82454,0.50619
23,0.32431,0.0,0.06741,0.39375,0.00211,0.0,0.0,0.0,0.0,0.0,0.43152,0.82636,0.52058
24,0.32227,0.0,0.06807,0.38627,0.00212,0.0,0.0,0.0,0.0,0.0,0.42939,0.82642,0.53642
25,0.32175,0.0,0.06826,0.38394,0.00212,0.0,0.0,0.0,0.0,0.0,0.42883,0.82788,0.52637
26,0.32206,0.0,0.06741,0.37551,0.00212,0.0,0.0,0.0,0.0,0.0,0.42745,0.82749,0.51682
27,0.32103,0.0,0.06868,0.36765,0.00212,0.0,0.0,0.0,0.0,0.0,0.42689,0.82785,0.54067
28,0.32088,0.0,0.06447,0.36447,0.00212,0.0,0.0,0.0,0.0,0.0,0.42222,0.82816,0.5289
29,0.32101,0.0,0.06449,0.35912,0.00212,0.0,0.0,0.0,0.0,0.0,0.42183,0.82822,0.51931
30,0.31945,0.0,0.06535,0.35187,0.00211,0.0,0.0,0.0,0.0,0.0,0.42041,0.82765,0.52628
