epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,gated_kd,segment_feature,mean_w_teacher,mean_w_ta,mean_agreement,total,macro_auc,macro_f1
1,0.48101,0.0,0.66771,2.35991,0.0022,0.0,0.0,0.0,0.0,0.0,1.38515,0.82346,0.50437
2,0.4382,0.0,0.3349,1.21326,0.0022,0.0,0.0,0.0,0.0,0.0,0.89486,0.83028,0.50372
3,0.43335,0.0,0.29033,1.00285,0.0022,0.0,0.0,0.0,0.0,0.0,0.8244,0.83085,0.53389
4,0.42906,0.0,0.26498,0.91665,0.0022,0.0,0.0,0.0,0.0,0.0,0.78614,0.82702,0.47411
5,0.42579,0.0,0.2474,0.85157,0.0022,0.0,0.0,0.0,0.0,0.0,0.75878,0.83137,0.54504
6,0.42192,0.0,0.22603,0.80178,0.0022,0.0,0.0,0.0,0.0,0.0,0.72857,0.83232,0.53216
7,0.41799,0.0,0.2121,0.76997,0.0022,0.0,0.0,0.0,0.0,0.0,0.70753,0.83488,0.52836
8,0.41675,0.0,0.1973,0.73764,0.0022,0.0,0.0,0.0,0.0,0.0,0.68825,0.83436,0.54218
9,0.41156,0.0,0.1916,0.72196,0.00219,0.0,0.0,0.0,0.0,0.0,0.6758,0.8333,0.53914
10,0.40939,0.0,0.1724,0.70056,0.00219,0.0,0.0,0.0,0.0,0.0,0.65228,0.83048,0.51121
11,0.40676,0.0,0.16416,0.67374,0.00219,0.0,0.0,0.0,0.0,0.0,0.63873,0.83225,0.53727
12,0.40453,0.0,0.15532,0.66323,0.00219,0.0,0.0,0.0,0.0,0.0,0.62661,0.83038,0.5075
13,0.39963,0.0,0.14797,0.64503,0.00219,0.0,0.0,0.0,0.0,0.0,0.61255,0.8318,0.53874
14,0.39554,0.0,0.13267,0.62613,0.00219,0.0,0.0,0.0,0.0,0.0,0.59127,0.83288,0.52826
15,0.39159,0.0,0.12273,0.6059,0.00219,0.0,0.0,0.0,0.0,0.0,0.57534,0.83492,0.55138
16,0.38849,0.0,0.11973,0.59632,0.00219,0.0,0.0,0.0,0.0,0.0,0.56829,0.82959,0.54354
17,0.38344,0.0,0.11277,0.5728,0.00219,0.0,0.0,0.0,0.0,0.0,0.55392,0.82632,0.52759
18,0.38083,0.0,0.10955,0.55727,0.00219,0.0,0.0,0.0,0.0,0.0,0.54655,0.83118,0.55079
19,0.37582,0.0,0.09384,0.53722,0.00219,0.0,0.0,0.0,0.0,0.0,0.52382,0.83198,0.53308
20,0.37284,0.0,0.09866,0.52141,0.00219,0.0,0.0,0.0,0.0,0.0,0.52408,0.83107,0.52597
21,0.3691,0.0,0.08615,0.50268,0.00219,0.0,0.0,0.0,0.0,0.0,0.50596,0.83442,0.55462
22,0.36593,0.0,0.08753,0.48669,0.00219,0.0,0.0,0.0,0.0,0.0,0.50256,0.83201,0.53654
23,0.36172,0.0,0.07686,0.47372,0.00219,0.0,0.0,0.0,0.0,0.0,0.48639,0.82892,0.52694
24,0.35906,0.0,0.07585,0.46458,0.00219,0.0,0.0,0.0,0.0,0.0,0.48181,0.83504,0.53078
25,0.35593,0.0,0.07303,0.45695,0.00219,0.0,0.0,0.0,0.0,0.0,0.47509,0.83318,0.53538
26,0.35481,0.0,0.07307,0.44604,0.00219,0.0,0.0,0.0,0.0,0.0,0.47292,0.83367,0.54339
27,0.35213,0.0,0.07214,0.44034,0.00218,0.0,0.0,0.0,0.0,0.0,0.46874,0.83443,0.551
28,0.35013,0.0,0.06855,0.43422,0.00218,0.0,0.0,0.0,0.0,0.0,0.46254,0.83203,0.53352
29,0.34858,0.0,0.0691,0.42846,0.00219,0.0,0.0,0.0,0.0,0.0,0.46096,0.83181,0.54337
30,0.34601,0.0,0.06629,0.42167,0.00218,0.0,0.0,0.0,0.0,0.0,0.4549,0.83322,0.55124
31,0.34338,0.0,0.06594,0.42013,0.00218,0.0,0.0,0.0,0.0,0.0,0.45177,0.83341,0.55074
32,0.34136,0.0,0.06422,0.41137,0.00218,0.0,0.0,0.0,0.0,0.0,0.44715,0.83184,0.54388
33,0.34045,0.0,0.0654,0.41112,0.00218,0.0,0.0,0.0,0.0,0.0,0.4474,0.83348,0.54017
34,0.33836,0.0,0.06079,0.40274,0.00218,0.0,0.0,0.0,0.0,0.0,0.43985,0.83322,0.5455
35,0.3358,0.0,0.06094,0.40368,0.00218,0.0,0.0,0.0,0.0,0.0,0.43754,0.83286,0.53094
36,0.33588,0.0,0.05873,0.39648,0.00218,0.0,0.0,0.0,0.0,0.0,0.4347,0.83199,0.53835
37,0.33416,0.0,0.05528,0.39169,0.00218,0.0,0.0,0.0,0.0,0.0,0.42904,0.83469,0.54672
38,0.33173,0.0,0.05628,0.39006,0.00218,0.0,0.0,0.0,0.0,0.0,0.42745,0.8329,0.54307
39,0.33206,0.0,0.0548,0.38835,0.00218,0.0,0.0,0.0,0.0,0.0,0.42613,0.83448,0.54611
40,0.32994,0.0,0.05506,0.38327,0.00218,0.0,0.0,0.0,0.0,0.0,0.42375,0.83396,0.55189
41,0.32894,0.0,0.05906,0.38288,0.00218,0.0,0.0,0.0,0.0,0.0,0.42672,0.83342,0.54208
42,0.32906,0.0,0.05311,0.38238,0.00218,0.0,0.0,0.0,0.0,0.0,0.42085,0.83376,0.5415
43,0.32669,0.0,0.05473,0.37663,0.00218,0.0,0.0,0.0,0.0,0.0,0.41952,0.83345,0.54146
44,0.32732,0.0,0.05538,0.37729,0.00218,0.0,0.0,0.0,0.0,0.0,0.42087,0.83405,0.54809
45,0.32561,0.0,0.05409,0.37548,0.00218,0.0,0.0,0.0,0.0,0.0,0.41768,0.83281,0.53941
46,0.32579,0.0,0.05289,0.37367,0.00218,0.0,0.0,0.0,0.0,0.0,0.41648,0.83435,0.53882
47,0.32545,0.0,0.05117,0.37159,0.00218,0.0,0.0,0.0,0.0,0.0,0.41421,0.83459,0.54319
48,0.32446,0.0,0.05356,0.36956,0.00218,0.0,0.0,0.0,0.0,0.0,0.41541,0.83409,0.5458
49,0.32411,0.0,0.05205,0.36889,0.00218,0.0,0.0,0.0,0.0,0.0,0.41349,0.8332,0.54545
50,0.32405,0.0,0.05166,0.36573,0.00218,0.0,0.0,0.0,0.0,0.0,0.41272,0.83389,0.54346
51,0.3246,0.0,0.05085,0.3668,0.00218,0.0,0.0,0.0,0.0,0.0,0.41257,0.83422,0.54587
52,0.32392,0.0,0.04834,0.3635,0.00218,0.0,0.0,0.0,0.0,0.0,0.40905,0.83362,0.5438
53,0.32302,0.0,0.05086,0.36244,0.00218,0.0,0.0,0.0,0.0,0.0,0.41056,0.8333,0.54201
54,0.32287,0.0,0.05045,0.36318,0.00218,0.0,0.0,0.0,0.0,0.0,0.41007,0.83359,0.54444
55,0.32236,0.0,0.05,0.36033,0.00218,0.0,0.0,0.0,0.0,0.0,0.40883,0.8337,0.54387
56,0.32288,0.0,0.04906,0.36302,0.00218,0.0,0.0,0.0,0.0,0.0,0.40868,0.83401,0.54623
57,0.32248,0.0,0.05148,0.36279,0.00218,0.0,0.0,0.0,0.0,0.0,0.41067,0.8338,0.54507
58,0.32263,0.0,0.04924,0.36163,0.00218,0.0,0.0,0.0,0.0,0.0,0.40847,0.83368,0.54391
