epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,gated_kd,segment_feature,mean_w_teacher,mean_w_ta,mean_agreement,total,macro_auc,macro_f1
1,0.43569,0.0,0.60323,1.88806,0.0023,0.0,0.0,0.0,0.0,0.0,1.22819,0.8315,0.5637
2,0.39063,0.0,0.22487,0.66983,0.00229,0.0,0.0,0.0,0.0,0.0,0.68295,0.83454,0.54818
3,0.38299,0.0,0.18219,0.50101,0.00229,0.0,0.0,0.0,0.0,0.0,0.61575,0.83522,0.57581
4,0.37767,0.0,0.15228,0.43102,0.00228,0.0,0.0,0.0,0.0,0.0,0.5735,0.8356,0.54604
5,0.37439,0.0,0.14041,0.3861,0.00228,0.0,0.0,0.0,0.0,0.0,0.55387,0.83544,0.58533
6,0.3713,0.0,0.12798,0.35911,0.00228,0.0,0.0,0.0,0.0,0.0,0.53565,0.83471,0.55811
7,0.36765,0.0,0.11946,0.33574,0.00228,0.0,0.0,0.0,0.0,0.0,0.52114,0.8382,0.57577
8,0.36455,0.0,0.11237,0.31606,0.00228,0.0,0.0,0.0,0.0,0.0,0.50899,0.8354,0.56496
9,0.3616,0.0,0.10274,0.30153,0.00228,0.0,0.0,0.0,0.0,0.0,0.49494,0.83681,0.58346
10,0.35929,0.0,0.09528,0.29091,0.00228,0.0,0.0,0.0,0.0,0.0,0.48412,0.83735,0.56923
11,0.35687,0.0,0.09123,0.2787,0.00227,0.0,0.0,0.0,0.0,0.0,0.47642,0.83823,0.56922
12,0.3542,0.0,0.09022,0.27227,0.00227,0.0,0.0,0.0,0.0,0.0,0.4721,0.83862,0.56479
13,0.35209,0.0,0.08645,0.2688,0.00227,0.0,0.0,0.0,0.0,0.0,0.46587,0.8368,0.57827
14,0.34852,0.0,0.07584,0.2575,0.00227,0.0,0.0,0.0,0.0,0.0,0.45056,0.83926,0.56962
15,0.34549,0.0,0.07369,0.25251,0.00227,0.0,0.0,0.0,0.0,0.0,0.44488,0.8383,0.57174
16,0.34457,0.0,0.07402,0.24963,0.00227,0.0,0.0,0.0,0.0,0.0,0.44401,0.83578,0.56954
17,0.34232,0.0,0.07476,0.24346,0.00227,0.0,0.0,0.0,0.0,0.0,0.44187,0.83653,0.56644
18,0.3395,0.0,0.07245,0.23839,0.00227,0.0,0.0,0.0,0.0,0.0,0.43625,0.8367,0.56872
19,0.33611,0.0,0.06022,0.23192,0.00227,0.0,0.0,0.0,0.0,0.0,0.41998,0.84064,0.57542
20,0.33451,0.0,0.06887,0.23081,0.00227,0.0,0.0,0.0,0.0,0.0,0.42691,0.83643,0.57136
21,0.33158,0.0,0.05847,0.22612,0.00227,0.0,0.0,0.0,0.0,0.0,0.41311,0.83884,0.57164
22,0.32961,0.0,0.06198,0.22293,0.00227,0.0,0.0,0.0,0.0,0.0,0.41434,0.83885,0.56922
23,0.3266,0.0,0.05563,0.21982,0.00227,0.0,0.0,0.0,0.0,0.0,0.40466,0.83735,0.57784
24,0.32459,0.0,0.05527,0.21746,0.00227,0.0,0.0,0.0,0.0,0.0,0.40206,0.83937,0.57146
25,0.32142,0.0,0.05363,0.21414,0.00227,0.0,0.0,0.0,0.0,0.0,0.39691,0.83871,0.57199
