epoch,bce,mkd,crf,feat,total,macro_auc,macro_f1
1,0.44065,0.86743,3.31806,0.00218,1.64032,0.82663,0.47865
2,0.36469,0.23329,1.49741,0.00219,0.74816,0.84169,0.54383
3,0.34976,0.16894,0.95249,0.0022,0.61439,0.83818,0.5555
4,0.33731,0.12599,0.70732,0.00221,0.53448,0.84166,0.53626
5,0.32504,0.10536,0.59444,0.00221,0.49029,0.84609,0.58053
6,0.31362,0.08664,0.50838,0.00221,0.45154,0.84667,0.56666
7,0.30362,0.08098,0.46847,0.00221,0.43189,0.84575,0.55463
8,0.29691,0.07537,0.43772,0.00222,0.41649,0.84531,0.56309
9,0.29238,0.07019,0.41014,0.00222,0.40403,0.84307,0.55597
10,0.28815,0.06946,0.39509,0.00222,0.39756,0.84352,0.56984
11,0.28338,0.06472,0.3743,0.00222,0.38598,0.84478,0.56625
12,0.2815,0.06564,0.36164,0.00222,0.38375,0.84799,0.57609
13,0.27829,0.0628,0.35234,0.00223,0.37677,0.84583,0.57634
14,0.27566,0.06204,0.33921,0.00222,0.37207,0.84632,0.56662
15,0.27373,0.06276,0.33214,0.00222,0.37015,0.84715,0.5667
16,0.27142,0.05892,0.32058,0.00223,0.36284,0.84773,0.56471
17,0.27011,0.05779,0.31452,0.00223,0.3598,0.848,0.56702
18,0.26875,0.0574,0.31478,0.00223,0.35808,0.84642,0.57013
19,0.26756,0.05532,0.29773,0.00223,0.3531,0.84807,0.5591
20,0.26582,0.05368,0.29615,0.00223,0.34956,0.8478,0.56727
21,0.26557,0.05391,0.28882,0.00223,0.34881,0.84749,0.567
22,0.26425,0.05448,0.28529,0.00223,0.34771,0.84733,0.55762
23,0.26343,0.05438,0.27951,0.00223,0.3462,0.84889,0.56874
24,0.26213,0.05104,0.27108,0.00223,0.34073,0.84736,0.57154
25,0.25981,0.04903,0.26719,0.00223,0.336,0.84806,0.56275
26,0.26058,0.05249,0.267,0.00223,0.34022,0.8491,0.56856
27,0.26002,0.04876,0.25855,0.00223,0.33509,0.84773,0.56773
28,0.25898,0.04863,0.2563,0.00223,0.33368,0.84834,0.57098
29,0.25841,0.04743,0.25491,0.00223,0.33178,0.84676,0.57303
30,0.25762,0.04777,0.25053,0.00223,0.33089,0.84836,0.56594
31,0.25713,0.04708,0.24866,0.00223,0.32953,0.84832,0.56904
32,0.25627,0.04505,0.24321,0.00223,0.32608,0.84782,0.55954
33,0.25681,0.04691,0.24416,0.00223,0.32858,0.84782,0.55749
34,0.25636,0.0458,0.24083,0.00223,0.32669,0.84773,0.56497
35,0.25535,0.04342,0.23699,0.00223,0.32292,0.84738,0.56091
36,0.25574,0.04655,0.23927,0.00223,0.32666,0.84822,0.5571
37,0.25546,0.04376,0.23537,0.00223,0.3232,0.84861,0.56281
38,0.25541,0.04422,0.23644,0.00223,0.32371,0.84838,0.57328
39,0.25511,0.04401,0.23301,0.00223,0.32287,0.84821,0.56652
40,0.25487,0.04453,0.23246,0.00223,0.32309,0.84831,0.56297
41,0.25462,0.04377,0.23021,0.00222,0.32186,0.84798,0.56268
42,0.25438,0.04216,0.2317,0.00223,0.32016,0.84798,0.56693
43,0.25431,0.04235,0.22957,0.00222,0.32006,0.84802,0.56403
44,0.25461,0.04239,0.22892,0.00222,0.32034,0.84832,0.5655
45,0.25412,0.04175,0.22873,0.00222,0.31919,0.84817,0.56594
46,0.25441,0.0423,0.22839,0.00222,0.32,0.84826,0.5644
47,0.25377,0.04295,0.22805,0.00222,0.31997,0.84833,0.56505
48,0.25357,0.04141,0.22717,0.00222,0.31814,0.84822,0.5668
49,0.25337,0.04064,0.22657,0.00222,0.31711,0.84819,0.56516
50,0.25402,0.04148,0.22694,0.00222,0.31864,0.84813,0.5657
