epoch,bce,mkd,crf,total,macro_auc,macro_f1
1,0.41501,1.76281,4.83723,2.66154,0.84133,0.53931
2,0.36861,1.28572,4.13382,2.06771,0.84507,0.59008
3,0.35922,1.19815,3.83023,1.94039,0.85065,0.54285
4,0.35258,1.15017,3.68313,1.87106,0.8489,0.5659
5,0.34915,1.12053,3.5989,1.82957,0.84913,0.59141
6,0.34423,1.09337,3.53049,1.79065,0.84951,0.57998
7,0.33957,1.05456,3.46578,1.74071,0.85013,0.57065
8,0.33559,1.02923,3.41862,1.70667,0.84948,0.60156
9,0.33268,1.00762,3.37669,1.67797,0.85056,0.58405
10,0.3247,0.95242,3.32656,1.60978,0.85077,0.56604
11,0.31856,0.91246,3.29334,1.56035,0.85001,0.58322
12,0.31263,0.85984,3.24421,1.49689,0.84789,0.59464
13,0.30155,0.79637,3.19077,1.417,0.84676,0.58468
14,0.29221,0.73035,3.13947,1.33651,0.84684,0.59006
15,0.28024,0.65309,3.07829,1.24116,0.84674,0.56022
16,0.27012,0.59664,3.03107,1.16986,0.84169,0.56381
17,0.25981,0.53034,2.96802,1.08695,0.84149,0.60004
18,0.25066,0.47284,2.90659,1.01416,0.84502,0.58946
19,0.24249,0.41482,2.84914,0.94223,0.84445,0.57513
20,0.23281,0.36886,2.79774,0.88144,0.84506,0.57487
21,0.22638,0.3239,2.74365,0.82464,0.84407,0.56681
22,0.22101,0.28855,2.69251,0.77881,0.84312,0.60163
23,0.21444,0.25245,2.64763,0.73165,0.84272,0.5681
24,0.20965,0.22479,2.60483,0.69492,0.84452,0.58536
25,0.20591,0.20477,2.56501,0.66718,0.84309,0.59326
26,0.20307,0.18307,2.52461,0.6386,0.84208,0.57941
27,0.19864,0.15888,2.48534,0.60605,0.83926,0.56545
28,0.1971,0.14771,2.45441,0.59026,0.84111,0.57733
29,0.19489,0.13311,2.42151,0.57015,0.83933,0.58616
30,0.19265,0.1216,2.3913,0.55338,0.83846,0.55941
31,0.19061,0.10756,2.36149,0.53432,0.84222,0.55579
32,0.18932,0.10444,2.34518,0.52828,0.84227,0.58762
33,0.1881,0.09212,2.3208,0.5123,0.84269,0.57607
34,0.18686,0.0838,2.30106,0.50077,0.84246,0.5794
35,0.18642,0.08002,2.28483,0.49493,0.84168,0.58728
36,0.18558,0.07579,2.26876,0.48825,0.84098,0.58465
37,0.18399,0.06902,2.2543,0.47845,0.84124,0.58186
38,0.18406,0.06619,2.24017,0.47427,0.84269,0.58871
39,0.18301,0.06119,2.23216,0.46741,0.84256,0.59166
40,0.18319,0.05855,2.22101,0.46385,0.84233,0.59193
41,0.1827,0.05845,2.21423,0.46257,0.84243,0.5833
42,0.1819,0.0534,2.20114,0.45542,0.84247,0.5891
43,0.18186,0.05648,2.20201,0.45854,0.84188,0.58678
44,0.18178,0.05018,2.19313,0.45128,0.84243,0.5939
45,0.1819,0.05165,2.19152,0.4527,0.84195,0.57964
46,0.18159,0.05247,2.18839,0.4529,0.84197,0.5889
47,0.18102,0.04567,2.18064,0.44476,0.8421,0.58747
48,0.182,0.05006,2.18333,0.45039,0.84209,0.58463
49,0.18139,0.05088,2.18319,0.45059,0.84211,0.58687
50,0.18129,0.04706,2.18252,0.4466,0.84227,0.58904
