epoch,bce,mkd,crf,total,macro_auc,macro_f1
1,0.42507,1.80291,4.57935,2.68592,0.835,0.52452
2,0.37278,1.30256,3.91309,2.06665,0.84682,0.57907
3,0.36064,1.20083,3.64838,1.92631,0.84833,0.55812
4,0.35157,1.13967,3.53146,1.84439,0.84084,0.46895
5,0.34393,1.08149,3.44923,1.77034,0.84985,0.55845
6,0.33211,1.00679,3.36504,1.67541,0.84752,0.6097
7,0.31991,0.92029,3.29217,1.56942,0.84591,0.55355
8,0.30574,0.83047,3.21517,1.45773,0.83913,0.58335
9,0.29148,0.73566,3.13399,1.34053,0.84706,0.58234
10,0.2747,0.62534,3.05373,1.20541,0.84338,0.51285
11,0.25831,0.53503,2.97956,1.0913,0.84205,0.52728
12,0.24899,0.47324,2.90453,1.01268,0.83997,0.53953
13,0.23464,0.39177,2.8199,0.9084,0.84094,0.5615
14,0.22712,0.34416,2.76268,0.84755,0.84125,0.52769
15,0.21854,0.2917,2.69563,0.77981,0.83791,0.58163
16,0.21265,0.26019,2.63972,0.73682,0.84027,0.54129
17,0.20748,0.23127,2.58814,0.69757,0.84191,0.58506
18,0.20419,0.2041,2.5281,0.6611,0.84786,0.56795
19,0.20192,0.18639,2.48885,0.6372,0.84512,0.55525
20,0.19809,0.17169,2.45277,0.61506,0.84249,0.58595
21,0.19622,0.15227,2.41582,0.59007,0.84575,0.5616
22,0.19508,0.14183,2.37632,0.57454,0.8453,0.5532
23,0.19278,0.12812,2.34796,0.5557,0.84671,0.56443
24,0.18989,0.11872,2.31279,0.53989,0.84321,0.58515
25,0.19001,0.11168,2.29015,0.5307,0.84653,0.55306
26,0.18858,0.10337,2.26339,0.51829,0.84602,0.60113
27,0.18704,0.09238,2.23086,0.5025,0.84713,0.57258
28,0.18697,0.08832,2.20385,0.49568,0.84656,0.58176
29,0.18633,0.08206,2.18618,0.48701,0.84471,0.56945
30,0.18495,0.0765,2.15828,0.47727,0.84653,0.58012
31,0.1832,0.06842,2.13074,0.46469,0.84717,0.5865
32,0.18381,0.06941,2.12077,0.46529,0.84661,0.56185
33,0.18278,0.06187,2.10223,0.45487,0.84601,0.57804
34,0.18166,0.05723,2.08514,0.4474,0.84668,0.5817
35,0.18155,0.05561,2.07055,0.44421,0.84646,0.60476
36,0.18149,0.05327,2.05535,0.4403,0.8467,0.5764
37,0.1802,0.04832,2.04273,0.43279,0.84675,0.58202
38,0.18068,0.0475,2.02978,0.43116,0.84766,0.57754
39,0.1797,0.04483,2.02209,0.42674,0.84689,0.58778
40,0.18018,0.04251,2.01076,0.42377,0.8467,0.60301
41,0.17994,0.04349,2.00595,0.42402,0.84702,0.57569
42,0.17916,0.03966,1.99513,0.41834,0.8472,0.58594
43,0.17921,0.04253,1.99566,0.42131,0.84688,0.59683
44,0.17895,0.03775,1.9854,0.41524,0.84722,0.589
45,0.17946,0.03932,1.98548,0.41733,0.84677,0.58413
46,0.17915,0.03993,1.98206,0.41729,0.84715,0.58921
47,0.17861,0.03398,1.97355,0.40995,0.84724,0.58909
48,0.17974,0.03784,1.97702,0.41528,0.84705,0.58649
49,0.17924,0.03858,1.97763,0.41558,0.84701,0.5874
50,0.17899,0.03528,1.97711,0.41198,0.84696,0.59156
