epoch,bce,mkd,crf,total,macro_auc,macro_f1
1,0.39811,1.55736,4.26822,2.38229,0.84618,0.55728
2,0.36359,1.23649,3.68061,1.96814,0.84814,0.58738
3,0.3571,1.17534,3.53827,1.88626,0.85243,0.57437
4,0.35048,1.13758,3.46833,1.83489,0.84978,0.53399
5,0.34908,1.12049,3.42963,1.81253,0.85062,0.56477
6,0.34397,1.09295,3.38782,1.77571,0.85144,0.58549
7,0.34121,1.06869,3.34641,1.74455,0.85213,0.56829
8,0.33761,1.04425,3.3101,1.71287,0.85056,0.58613
9,0.33643,1.03475,3.27336,1.69852,0.85308,0.58269
10,0.33197,1.00356,3.24558,1.6601,0.85546,0.58214
11,0.32717,0.96977,3.21992,1.61893,0.85317,0.58556
12,0.32502,0.95884,3.19564,1.60343,0.85214,0.56636
13,0.3208,0.92609,3.16033,1.56292,0.85198,0.60176
14,0.31624,0.90137,3.14037,1.53165,0.8542,0.5656
15,0.3106,0.86091,3.11245,1.48275,0.85388,0.58701
16,0.30681,0.83575,3.09183,1.45174,0.85433,0.54786
17,0.29768,0.78862,3.06252,1.39255,0.84456,0.59064
18,0.2913,0.73647,3.01376,1.32915,0.85276,0.59385
19,0.28237,0.66859,2.96603,1.24756,0.84874,0.57921
20,0.27168,0.61247,2.93204,1.17735,0.84487,0.57909
21,0.26159,0.54652,2.87767,1.09587,0.84483,0.5932
22,0.25275,0.48626,2.82878,1.02189,0.84725,0.59185
23,0.24157,0.42088,2.77204,0.93965,0.84324,0.58304
24,0.23385,0.36866,2.7217,0.87469,0.84545,0.59751
25,0.22454,0.32053,2.67233,0.8123,0.84557,0.57724
26,0.21792,0.27678,2.62126,0.75683,0.84563,0.57659
27,0.21112,0.23718,2.57147,0.70545,0.84228,0.59971
28,0.20719,0.21021,2.53027,0.67043,0.84484,0.56732
29,0.20193,0.18361,2.49018,0.63456,0.84268,0.59829
30,0.19834,0.16304,2.45149,0.60652,0.84564,0.58131
31,0.19551,0.1413,2.4104,0.57786,0.84448,0.57396
32,0.19365,0.13063,2.38709,0.56299,0.84447,0.58567
33,0.19136,0.11353,2.35572,0.54046,0.84452,0.59128
34,0.18933,0.10359,2.33275,0.52619,0.8435,0.58788
35,0.18804,0.0947,2.30942,0.51368,0.84443,0.59747
36,0.18658,0.08803,2.28834,0.50344,0.84473,0.59171
37,0.18488,0.07817,2.26962,0.49001,0.84621,0.58955
38,0.18461,0.07486,2.25147,0.48462,0.8465,0.58199
39,0.18347,0.06848,2.23859,0.47581,0.84673,0.59173
40,0.18375,0.06419,2.22665,0.4706,0.84424,0.58943
41,0.18319,0.0637,2.21841,0.46873,0.84545,0.58772
42,0.18204,0.05784,2.20439,0.46032,0.84499,0.58807
43,0.18212,0.05969,2.20255,0.46206,0.8449,0.5829
44,0.18172,0.05319,2.19175,0.45408,0.84618,0.58954
45,0.18196,0.05422,2.19027,0.45521,0.84502,0.59027
46,0.18159,0.0544,2.1864,0.45463,0.84549,0.58776
47,0.18083,0.04796,2.17803,0.4466,0.84542,0.5873
48,0.18195,0.052,2.18024,0.45197,0.8455,0.58703
49,0.18152,0.05282,2.18031,0.45237,0.84532,0.58814
50,0.18123,0.04925,2.17967,0.44844,0.84544,0.58828
