epoch,bce,mkd,crf,total,macro_auc,macro_f1
1,0.4382,2.03824,4.82928,2.95937,0.8264,0.49172
2,0.39758,1.58345,4.18148,2.39918,0.83183,0.56921
3,0.38912,1.50692,3.94677,2.29071,0.83308,0.52903
4,0.38446,1.46779,3.83082,2.23533,0.83468,0.52331
5,0.37899,1.41533,3.73253,2.16758,0.83889,0.5682
6,0.37273,1.36643,3.66773,2.10593,0.8361,0.55216
7,0.36679,1.31783,3.60631,2.04525,0.84149,0.56271
8,0.36231,1.27634,3.55404,1.99406,0.83909,0.58395
9,0.35636,1.23049,3.51181,1.93804,0.84274,0.58074
10,0.3502,1.17049,3.45946,1.86663,0.83708,0.57238
11,0.34039,1.10301,3.40749,1.78415,0.8413,0.58173
12,0.32841,1.02165,3.3525,1.68531,0.83918,0.5801
13,0.31779,0.93509,3.29196,1.58208,0.84217,0.58682
14,0.30677,0.85807,3.23578,1.48842,0.83542,0.53149
15,0.29193,0.75595,3.15773,1.36366,0.83503,0.56597
16,0.28154,0.67611,3.09552,1.2672,0.83431,0.55831
17,0.26941,0.60935,3.0367,1.18242,0.83413,0.56486
18,0.2606,0.54423,2.97137,1.10197,0.83322,0.55584
19,0.25117,0.48591,2.92386,1.02946,0.83366,0.55336
20,0.24192,0.42696,2.86492,0.95536,0.83417,0.56118
21,0.23315,0.37067,2.80518,0.88434,0.83247,0.57784
22,0.22597,0.3243,2.74763,0.82503,0.8297,0.57866
23,0.22346,0.30705,2.7157,0.80208,0.82937,0.55156
24,0.21838,0.27626,2.67825,0.76247,0.83114,0.56862
25,0.21276,0.24668,2.63456,0.7229,0.83461,0.58228
26,0.21116,0.22783,2.60026,0.69901,0.83134,0.58112
27,0.20525,0.19913,2.55838,0.66022,0.83247,0.57198
28,0.20363,0.18317,2.5217,0.63898,0.83084,0.56883
29,0.20162,0.16946,2.49556,0.62063,0.83063,0.55767
30,0.19896,0.15584,2.46506,0.6013,0.83035,0.56838
31,0.19641,0.13953,2.43416,0.57935,0.82978,0.56918
32,0.19552,0.13511,2.41885,0.57252,0.83085,0.55281
33,0.19305,0.11901,2.39002,0.55106,0.83177,0.55982
34,0.1917,0.10897,2.37104,0.53778,0.82953,0.57812
35,0.19043,0.10359,2.35144,0.52917,0.8308,0.57186
36,0.1892,0.09658,2.33158,0.51893,0.83155,0.57408
37,0.18745,0.08834,2.3164,0.50742,0.83097,0.57777
38,0.18721,0.08547,2.29742,0.50242,0.82991,0.57132
39,0.18605,0.07847,2.28732,0.49325,0.83201,0.56493
40,0.1858,0.07342,2.27179,0.4864,0.83081,0.56599
41,0.18516,0.07289,2.26594,0.48464,0.83114,0.56168
42,0.18413,0.06618,2.25043,0.47536,0.83073,0.56674
43,0.18411,0.06899,2.25007,0.4781,0.82939,0.57204
44,0.18359,0.06162,2.23921,0.46913,0.83121,0.56492
45,0.18363,0.06288,2.2376,0.47027,0.83026,0.56735
46,0.18326,0.06287,2.2331,0.46944,0.83067,0.56948
47,0.18241,0.05622,2.225,0.46112,0.83063,0.56908
48,0.18363,0.06022,2.22623,0.46647,0.83053,0.56814
49,0.18299,0.05983,2.22614,0.46543,0.83069,0.5701
50,0.18288,0.05621,2.22545,0.46164,0.83068,0.56811
