epoch,bce,mkd,crf,total,macro_auc,macro_f1
1,0.45079,2.10146,4.7346,3.02571,0.81814,0.51119
2,0.40101,1.60641,4.01516,2.40894,0.82934,0.56795
3,0.39262,1.52451,3.78954,2.29608,0.82939,0.51575
4,0.38621,1.46876,3.66303,2.22127,0.83179,0.49584
5,0.37791,1.39834,3.5843,2.13468,0.83356,0.5525
6,0.36642,1.31297,3.50239,2.02963,0.83203,0.56877
7,0.35572,1.23883,3.44539,1.93909,0.83479,0.52793
8,0.3426,1.13327,3.37972,1.81384,0.83341,0.56443
9,0.32501,1.00611,3.29626,1.66075,0.83035,0.54104
10,0.30409,0.8539,3.19959,1.47795,0.83105,0.56282
11,0.28445,0.72189,3.10234,1.31658,0.83035,0.54755
12,0.26584,0.60484,3.00648,1.17133,0.82734,0.55263
13,0.25444,0.51577,2.93016,1.06322,0.82026,0.54546
14,0.24122,0.4401,2.85405,0.96672,0.82361,0.56444
15,0.22989,0.36851,2.7724,0.87564,0.82348,0.54513
16,0.22378,0.32251,2.7056,0.81685,0.82616,0.55932
17,0.21672,0.28694,2.65712,0.76938,0.82785,0.54834
18,0.21158,0.25659,2.60202,0.72837,0.82767,0.57267
19,0.20815,0.23247,2.5589,0.69651,0.82405,0.57882
20,0.20486,0.21092,2.51477,0.66725,0.8241,0.56021
21,0.20119,0.18592,2.46948,0.63406,0.82551,0.54544
22,0.19961,0.1727,2.43041,0.61536,0.82854,0.56725
23,0.19556,0.15313,2.3963,0.58832,0.83013,0.56689
24,0.19384,0.14079,2.36232,0.57086,0.82748,0.5723
25,0.1921,0.13234,2.32869,0.55731,0.83224,0.5764
26,0.1911,0.12307,2.30458,0.54463,0.82985,0.56264
27,0.18806,0.10691,2.26669,0.52163,0.82989,0.56634
28,0.18916,0.10115,2.24191,0.51451,0.82879,0.56813
29,0.18757,0.09337,2.21935,0.50288,0.83206,0.57205
30,0.18585,0.08797,2.19421,0.49324,0.83138,0.55126
31,0.18486,0.07854,2.16915,0.48031,0.8311,0.56592
32,0.18452,0.07946,2.16159,0.48014,0.83122,0.57645
33,0.18385,0.06865,2.13026,0.46552,0.83294,0.56654
34,0.18289,0.06301,2.11548,0.45745,0.83202,0.57291
35,0.18227,0.06138,2.09948,0.4536,0.83155,0.57336
36,0.1816,0.05864,2.08667,0.4489,0.83277,0.57789
37,0.18092,0.05167,2.06982,0.43957,0.8324,0.56849
38,0.18111,0.05074,2.0571,0.43756,0.83378,0.57063
39,0.1801,0.04795,2.04979,0.43303,0.83324,0.56601
40,0.18034,0.04539,2.0389,0.42962,0.83366,0.56814
41,0.18022,0.04623,2.03414,0.42986,0.83267,0.57075
42,0.17943,0.04199,2.02283,0.4237,0.83291,0.57437
43,0.17983,0.04509,2.02515,0.42743,0.83326,0.57129
44,0.17938,0.03911,2.01291,0.41978,0.83313,0.56617
45,0.17962,0.04107,2.0131,0.42199,0.833,0.57173
46,0.17918,0.04154,2.00892,0.42161,0.83319,0.57055
47,0.17872,0.03582,2.00226,0.41476,0.83328,0.56968
48,0.17973,0.04008,2.00529,0.42034,0.83301,0.57
49,0.17906,0.03988,2.00418,0.41936,0.83314,0.57174
50,0.179,0.03672,2.00461,0.41618,0.83304,0.56971
