epoch,bce,mkd,crf,total,macro_auc,macro_f1
1,0.4244,1.82851,4.38997,2.69191,0.82938,0.48505
2,0.39253,1.53182,3.77897,2.30225,0.83264,0.58855
3,0.38638,1.47803,3.65339,2.22975,0.83335,0.55034
4,0.3822,1.44489,3.5952,2.18661,0.83678,0.5307
5,0.37728,1.39504,3.55032,2.12734,0.8403,0.58306
6,0.37286,1.36753,3.50492,2.09089,0.83964,0.55652
7,0.36823,1.33038,3.46362,2.04497,0.84147,0.58238
8,0.36461,1.30137,3.43485,2.00946,0.83303,0.52506
9,0.35998,1.25626,3.39345,1.95559,0.84136,0.55879
10,0.35423,1.20549,3.35555,1.89527,0.8357,0.57125
11,0.34936,1.17265,3.32901,1.85491,0.84082,0.57317
12,0.3429,1.12349,3.28485,1.79487,0.82644,0.56935
13,0.33679,1.08084,3.25108,1.74273,0.8389,0.57764
14,0.32952,1.02388,3.21532,1.67493,0.83481,0.53316
15,0.31886,0.95095,3.16782,1.58659,0.83901,0.56567
16,0.31003,0.87448,3.11831,1.49633,0.83619,0.57143
17,0.29908,0.80842,3.07786,1.41529,0.83144,0.57543
18,0.28612,0.71592,3.0112,1.30316,0.83281,0.55336
19,0.27358,0.62544,2.94808,1.19383,0.83413,0.5568
20,0.26142,0.55595,2.89453,1.10683,0.83207,0.58206
21,0.24988,0.46924,2.8287,1.00199,0.83228,0.56789
22,0.23897,0.40802,2.76284,0.92327,0.82537,0.56184
23,0.23123,0.35636,2.71206,0.85879,0.82897,0.55154
24,0.22224,0.30095,2.65677,0.78887,0.83,0.54801
25,0.21578,0.26613,2.60914,0.74283,0.82016,0.51733
26,0.21152,0.23501,2.55882,0.70241,0.82776,0.5505
27,0.20493,0.1984,2.51578,0.6549,0.82863,0.56429
28,0.20166,0.17601,2.47198,0.62487,0.82475,0.54546
29,0.1981,0.15665,2.43664,0.59842,0.82682,0.55915
30,0.19603,0.14024,2.40137,0.57641,0.82874,0.57245
31,0.19306,0.12363,2.36542,0.55324,0.82779,0.56739
32,0.19209,0.11804,2.34854,0.54499,0.82823,0.55868
33,0.18977,0.10322,2.31995,0.52498,0.8284,0.55815
34,0.18792,0.0925,2.29847,0.51027,0.82969,0.58834
35,0.18708,0.08761,2.2766,0.50235,0.82822,0.56826
36,0.18543,0.08073,2.25698,0.49186,0.82963,0.57393
37,0.1846,0.07365,2.24188,0.48244,0.82829,0.57134
38,0.18444,0.06925,2.2217,0.47586,0.82941,0.56946
39,0.18268,0.06366,2.21263,0.46761,0.82984,0.5679
40,0.18305,0.0599,2.19865,0.46282,0.82888,0.56446
41,0.18278,0.05938,2.19094,0.46125,0.82938,0.57038
42,0.1815,0.05453,2.17808,0.45384,0.82952,0.57278
43,0.18162,0.05694,2.17806,0.45636,0.82851,0.57012
44,0.18137,0.05028,2.16638,0.44829,0.82922,0.56655
45,0.18146,0.05145,2.16525,0.44943,0.82877,0.57094
46,0.18113,0.05172,2.16087,0.44893,0.82984,0.57052
47,0.18038,0.04516,2.15319,0.44086,0.82946,0.56684
48,0.18154,0.04969,2.15497,0.44672,0.82922,0.56908
49,0.18084,0.04956,2.15435,0.44584,0.82921,0.56829
50,0.18074,0.04585,2.15424,0.44202,0.82942,0.5734
