combo_id,teachers,auc,f1_tuned,f1_0_5,delta_auc_vs_bce,delta_f1_vs_bce,delta_auc_vs_best,delta_f1_vs_best,beats_current_50hz_best,beats_mvkt_auc,beats_mvkt_f1,status
C14,12L100+1L500+1L100,0.8425,0.6243,0.5726,0.0364,0.0504,0.0029,0.0067,YES,no,no,done
C16,12L100+1L100+1L50,0.8424,0.6236,0.5748,0.0363,0.0496,0.0028,0.006,YES,no,no,done
C18,12L50+1L500+1L50,0.8421,0.6218,0.5667,0.036,0.0478,0.0025,0.0042,YES,no,no,done
C15,12L100+1L500+1L50,0.8415,0.6223,0.5692,0.0354,0.0483,0.0019,0.0047,YES,no,no,done
C17,12L50+1L500+1L100,0.8413,0.6118,0.573,0.0352,0.0378,0.0017,-0.0059,YES,no,no,done
C01,12L500+12L100+12L50,0.8412,0.6118,0.5868,0.0351,0.0378,0.0016,-0.0058,YES,no,no,done
C20,1L500+1L100+1L50,0.8412,0.617,0.5704,0.0351,0.043,0.0016,-0.0006,YES,no,no,done
C07,12L500+12L50+1L50,0.841,0.6162,0.5539,0.0349,0.0422,0.0014,-0.0014,YES,no,no,done
C19,12L50+1L100+1L50,0.841,0.6192,0.5736,0.0349,0.0452,0.0014,0.0016,YES,no,no,done
C06,12L500+12L50+1L100,0.8407,0.615,0.5451,0.0346,0.041,0.0011,-0.0026,YES,no,no,done
C08,12L500+1L500+1L100,0.8407,0.6215,0.585,0.0345,0.0475,0.001,0.0039,YES,no,no,done
C05,12L500+12L50+1L500,0.8401,0.6225,0.5496,0.034,0.0485,0.0005,0.0049,YES,no,no,done
C02,12L500+12L100+1L500,0.8396,0.625,0.5737,0.0335,0.051,-0.0,0.0073,no,no,no,done
C10,12L500+1L100+1L50,0.8396,0.6193,0.582,0.0335,0.0453,-0.0,0.0017,no,no,no,done
C03,12L500+12L100+1L100,0.8392,0.6184,0.584,0.0331,0.0444,-0.0004,0.0008,no,no,no,done
C09,12L500+1L500+1L50,0.8391,0.6212,0.584,0.033,0.0472,-0.0005,0.0036,no,no,no,done
C11,12L100+12L50+1L500,0.8391,0.6196,0.5708,0.033,0.0456,-0.0005,0.002,no,no,no,done
C04,12L500+12L100+1L50,0.839,0.6163,0.5783,0.0329,0.0423,-0.0006,-0.0013,no,no,no,done
C13,12L100+12L50+1L50,0.8385,0.6122,0.5777,0.0324,0.0382,-0.0011,-0.0054,no,no,no,done
C12,12L100+12L50+1L100,0.8382,0.6217,0.5774,0.0321,0.0477,-0.0014,0.0041,no,no,no,done
