pair,labels,n,mean_auc,mean_f1
T4+T5,1L500+1L100,4,0.8414,0.6187
T5+T6,1L100+1L50,4,0.8411,0.6198
T4+T6,1L500+1L50,4,0.841,0.6206
T1+T3,12L500+12L50,4,0.8407,0.6164
T2+T4,12L100+1L500,4,0.8407,0.6228
T3+T6,12L50+1L50,4,0.8407,0.6173
T2+T5,12L100+1L100,4,0.8406,0.622
T3+T4,12L50+1L500,4,0.8406,0.6189
T2+T6,12L100+1L50,4,0.8404,0.6186
T3+T5,12L50+1L100,4,0.8403,0.6169
T1+T5,12L500+1L100,4,0.84,0.6185
T1+T4,12L500+1L500,4,0.8399,0.6225
T1+T2,12L500+12L100,4,0.8398,0.6179
T1+T6,12L500+1L50,4,0.8397,0.6182
T2+T3,12L100+12L50,4,0.8393,0.6163
