epoch,fs_sampled,bce,kd,total,val_auc,val_f1,best_val_auc
1,"{50: 44, 100: 31, 250: 32, 500: 27}",0.47078,0.99366,1.46444,0.80738,0.47161,0.80738
2,"{50: 78, 100: 63, 250: 69, 500: 58}",0.40549,0.49472,0.90021,0.7633,0.37537,0.80738
3,"{50: 115, 100: 91, 250: 99, 500: 97}",0.40086,0.45564,0.8565,0.79912,0.39718,0.80738
4,"{50: 155, 100: 124, 250: 131, 500: 126}",0.38658,0.36679,0.75337,0.77361,0.36201,0.80738
5,"{50: 188, 100: 150, 250: 163, 500: 169}",0.38402,0.34177,0.72579,0.80552,0.45468,0.80738
6,"{50: 221, 100: 183, 250: 193, 500: 207}",0.37971,0.30303,0.68274,0.79913,0.44908,0.80738
7,"{50: 252, 100: 221, 250: 230, 500: 235}",0.37604,0.27427,0.6503,0.80522,0.36673,0.80738
8,"{50: 282, 100: 255, 250: 269, 500: 266}",0.3746,0.26408,0.63868,0.76985,0.32288,0.80738
9,"{50: 318, 100: 284, 250: 304, 500: 300}",0.37198,0.24993,0.62191,0.79748,0.41382,0.80738
10,"{50: 355, 100: 318, 250: 331, 500: 336}",0.37022,0.23723,0.60744,0.80666,0.40825,0.80738
11,"{50: 386, 100: 354, 250: 361, 500: 373}",0.36907,0.23793,0.607,0.82262,0.47696,0.82262
12,"{50: 418, 100: 386, 250: 394, 500: 410}",0.36651,0.2167,0.58321,0.80408,0.39287,0.82262
13,"{50: 447, 100: 422, 250: 419, 500: 454}",0.36482,0.2186,0.58341,0.80243,0.38467,0.82262
14,"{50: 485, 100: 452, 250: 458, 500: 481}",0.3629,0.2088,0.5717,0.80866,0.429,0.82262
15,"{50: 510, 100: 494, 250: 491, 500: 515}",0.36239,0.20534,0.56773,0.80449,0.37535,0.82262
16,"{50: 548, 100: 526, 250: 520, 500: 550}",0.36339,0.20772,0.57111,0.78375,0.32765,0.82262
17,"{50: 580, 100: 558, 250: 557, 500: 583}",0.36051,0.19878,0.55929,0.83342,0.51804,0.83342
18,"{50: 605, 100: 607, 250: 584, 500: 616}",0.35967,0.18682,0.54649,0.7992,0.3465,0.83342
19,"{50: 638, 100: 645, 250: 616, 500: 647}",0.35862,0.18802,0.54664,0.81823,0.43188,0.83342
20,"{50: 670, 100: 676, 250: 652, 500: 682}",0.35734,0.18511,0.54245,0.77834,0.27438,0.83342
21,"{50: 710, 100: 702, 250: 680, 500: 722}",0.35902,0.18777,0.54679,0.83255,0.49244,0.83342
22,"{50: 742, 100: 739, 250: 716, 500: 751}",0.3565,0.17529,0.53179,0.80606,0.40865,0.83342
23,"{50: 769, 100: 768, 250: 753, 500: 792}",0.35556,0.17031,0.52587,0.75109,0.21086,0.83342
24,"{50: 804, 100: 806, 250: 785, 500: 821}",0.35396,0.17401,0.52798,0.81608,0.44978,0.83342
25,"{50: 832, 100: 840, 250: 821, 500: 857}",0.35577,0.16683,0.52261,0.78552,0.29733,0.83342
26,"{50: 870, 100: 876, 250: 851, 500: 887}",0.35289,0.16512,0.51801,0.81109,0.42142,0.83342
27,"{50: 901, 100: 910, 250: 889, 500: 918}",0.35156,0.15813,0.50969,0.79312,0.29395,0.83342
28,"{50: 935, 100: 944, 250: 928, 500: 945}",0.35126,0.16475,0.516,0.77791,0.26335,0.83342
29,"{50: 973, 100: 967, 250: 971, 500: 975}",0.35128,0.16078,0.51206,0.79723,0.36462,0.83342
30,"{50: 999, 100: 1006, 250: 1010, 500: 1005}",0.35029,0.15654,0.50683,0.7877,0.31994,0.83342
31,"{50: 1033, 100: 1040, 250: 1048, 500: 1033}",0.34965,0.15561,0.50526,0.82624,0.45299,0.83342
32,"{50: 1065, 100: 1075, 250: 1079, 500: 1069}",0.34857,0.14714,0.49571,0.7712,0.22503,0.83342
33,"{50: 1100, 100: 1109, 250: 1112, 500: 1101}",0.35092,0.16587,0.51679,0.82295,0.4314,0.83342
34,"{50: 1132, 100: 1143, 250: 1142, 500: 1139}",0.34856,0.14951,0.49807,0.80543,0.33913,0.83342
35,"{50: 1175, 100: 1171, 250: 1177, 500: 1167}",0.34749,0.14803,0.49552,0.81227,0.41974,0.83342
36,"{50: 1209, 100: 1205, 250: 1211, 500: 1199}",0.34678,0.14694,0.49372,0.82607,0.46318,0.83342
37,"{50: 1234, 100: 1235, 250: 1247, 500: 1242}",0.34683,0.14746,0.49429,0.77262,0.26035,0.83342
38,"{50: 1266, 100: 1268, 250: 1284, 500: 1274}",0.34702,0.14773,0.49475,0.78547,0.30065,0.83342
39,"{50: 1304, 100: 1303, 250: 1311, 500: 1308}",0.34508,0.14563,0.49071,0.81534,0.43809,0.83342
40,"{50: 1342, 100: 1341, 250: 1342, 500: 1335}",0.3457,0.15041,0.49611,0.81786,0.44691,0.83342
41,"{50: 1371, 100: 1376, 250: 1382, 500: 1365}",0.34418,0.14041,0.48459,0.80626,0.41932,0.83342
42,"{50: 1395, 100: 1413, 250: 1418, 500: 1402}",0.34346,0.13781,0.48127,0.79799,0.35489,0.83342
43,"{50: 1434, 100: 1450, 250: 1450, 500: 1428}",0.34358,0.14102,0.4846,0.81721,0.45154,0.83342
44,"{50: 1471, 100: 1483, 250: 1481, 500: 1461}",0.34378,0.14399,0.48777,0.80483,0.38596,0.83342
45,"{50: 1499, 100: 1512, 250: 1528, 500: 1491}",0.34209,0.1386,0.48068,0.80109,0.39469,0.83342
46,"{50: 1535, 100: 1540, 250: 1564, 500: 1525}",0.34259,0.13659,0.47919,0.83378,0.48399,0.83378
47,"{50: 1563, 100: 1584, 250: 1591, 500: 1560}",0.34116,0.13484,0.476,0.78736,0.31188,0.83378
48,"{50: 1599, 100: 1619, 250: 1621, 500: 1593}",0.33934,0.13252,0.47186,0.7921,0.33683,0.83378
49,"{50: 1629, 100: 1656, 250: 1663, 500: 1618}",0.33955,0.13153,0.47108,0.77975,0.26455,0.83378
50,"{50: 1657, 100: 1690, 250: 1696, 500: 1657}",0.33885,0.1325,0.47134,0.823,0.46713,0.83378
51,"{50: 1687, 100: 1717, 250: 1735, 500: 1695}",0.33943,0.13263,0.47207,0.78761,0.25238,0.83378
52,"{50: 1724, 100: 1748, 250: 1771, 500: 1725}",0.33809,0.13002,0.46811,0.83163,0.47493,0.83378
53,"{50: 1755, 100: 1786, 250: 1795, 500: 1766}",0.3387,0.13275,0.47146,0.79814,0.3792,0.83378
54,"{50: 1790, 100: 1820, 250: 1826, 500: 1800}",0.3377,0.13148,0.46918,0.79559,0.29813,0.83378
55,"{50: 1827, 100: 1845, 250: 1861, 500: 1837}",0.33777,0.12947,0.46724,0.82746,0.44454,0.83378
56,"{50: 1869, 100: 1878, 250: 1888, 500: 1869}",0.33624,0.12826,0.46451,0.83318,0.47754,0.83378
57,"{50: 1901, 100: 1913, 250: 1930, 500: 1894}",0.33557,0.12621,0.46178,0.8146,0.35552,0.83378
58,"{50: 1933, 100: 1947, 250: 1964, 500: 1928}",0.33627,0.12621,0.46248,0.79245,0.3098,0.83378
