epoch,bce,kd,crf,feat,att,label_corr,akd_weight,mean_recoverability,mean_r500,mean_r100,total,val_auc,val_f1,best_val_auc
1,0.45516,1.10076,0.0,0.0,0.0,0.0,0.0,0.94671,0.95276,0.93764,1.55592,0.80822,0.49415,0.80822
2,0.37627,0.99637,0.0,0.0,0.0,0.0,0.0,0.94666,0.95274,0.93753,1.37264,0.82836,0.53296,0.82836
3,0.36387,0.98227,0.0,0.0,0.0,0.0,0.0,0.94666,0.95273,0.93757,1.34613,0.83807,0.5929,0.83807
4,0.35437,0.97565,0.0,0.0,0.0,0.0,0.0,0.94669,0.95277,0.93757,1.33001,0.83874,0.57354,0.83874
5,0.34785,0.9714,0.0,0.0,0.0,0.0,0.0,0.94675,0.95284,0.9376,1.31925,0.83969,0.57274,0.83969
6,0.3415,0.96891,0.0,0.0,0.0,0.0,0.0,0.9467,0.95279,0.93757,1.31041,0.83865,0.58319,0.83969
7,0.33867,0.96946,0.0,0.0,0.0,0.0,0.0,0.94669,0.95275,0.9376,1.30813,0.83493,0.54594,0.83969
8,0.33173,0.96707,0.0,0.0,0.0,0.0,0.0,0.94672,0.95278,0.93764,1.2988,0.84063,0.58018,0.84063
9,0.3261,0.96812,0.0,0.0,0.0,0.0,0.0,0.9467,0.95275,0.93763,1.29421,0.84232,0.5797,0.84232
10,0.32166,0.96743,0.0,0.0,0.0,0.0,0.0,0.94682,0.95287,0.93773,1.28909,0.84122,0.57131,0.84232
11,0.31448,0.96758,0.0,0.0,0.0,0.0,0.0,0.94673,0.9528,0.93762,1.28206,0.83973,0.58757,0.84232
12,0.30901,0.96781,0.0,0.0,0.0,0.0,0.0,0.94667,0.95277,0.93752,1.27682,0.84082,0.56253,0.84232
13,0.30175,0.97032,0.0,0.0,0.0,0.0,0.0,0.94667,0.95274,0.93756,1.27208,0.83838,0.5803,0.84232
14,0.29435,0.97151,0.0,0.0,0.0,0.0,0.0,0.9467,0.95276,0.9376,1.26586,0.84457,0.57425,0.84457
15,0.28445,0.97247,0.0,0.0,0.0,0.0,0.0,0.9467,0.95281,0.93752,1.25692,0.83589,0.57224,0.84457
16,0.27909,0.97599,0.0,0.0,0.0,0.0,0.0,0.94668,0.95275,0.93757,1.25507,0.83864,0.57268,0.84457
17,0.27188,0.97883,0.0,0.0,0.0,0.0,0.0,0.94673,0.9528,0.93763,1.25071,0.83462,0.58838,0.84457
18,0.25589,0.98133,0.0,0.0,0.0,0.0,0.0,0.94674,0.95279,0.93766,1.23722,0.83884,0.54877,0.84457
19,0.24054,0.98441,0.0,0.0,0.0,0.0,0.0,0.94665,0.95276,0.93749,1.22495,0.8384,0.57426,0.84457
20,0.22474,0.98988,0.0,0.0,0.0,0.0,0.0,0.94664,0.9527,0.93755,1.21462,0.83812,0.57334,0.84457
21,0.21437,0.9933,0.0,0.0,0.0,0.0,0.0,0.94668,0.95273,0.9376,1.20767,0.83338,0.56492,0.84457
22,0.19927,0.99749,0.0,0.0,0.0,0.0,0.0,0.94671,0.95279,0.93759,1.19676,0.83808,0.56008,0.84457
23,0.19157,1.00042,0.0,0.0,0.0,0.0,0.0,0.94673,0.95281,0.93761,1.19199,0.83514,0.57724,0.84457
24,0.18159,1.00178,0.0,0.0,0.0,0.0,0.0,0.94666,0.95272,0.93756,1.18336,0.84177,0.58432,0.84457
25,0.1705,1.00597,0.0,0.0,0.0,0.0,0.0,0.94673,0.95281,0.93761,1.17647,0.83421,0.55631,0.84457
26,0.16568,1.00625,0.0,0.0,0.0,0.0,0.0,0.94674,0.9528,0.93766,1.17193,0.83245,0.56507,0.84457
