epoch,bce,kd_skip,kd_b2,kd_b3,total,val_auc,best_val_auc
1,0.46583,2.44409,2.5702,1.14242,2.4397,0.80871,0.80871
2,0.38375,1.71313,1.83235,0.43426,1.63302,0.83046,0.83046
3,0.36956,1.58996,1.70315,0.34337,1.50616,0.83236,0.83236
4,0.36091,1.50342,1.61587,0.29083,1.42427,0.83132,0.83236
5,0.3534,1.45175,1.55945,0.2663,1.37405,0.8359,0.8359
6,0.34802,1.41503,1.52088,0.2571,1.34221,0.83878,0.83878
7,0.34161,1.37155,1.47435,0.25633,1.30819,0.83854,0.83878
8,0.33732,1.3312,1.43305,0.2379,1.27194,0.83507,0.83878
9,0.33303,1.30661,1.4055,0.25685,1.2593,0.83425,0.83878
10,0.32519,1.25121,1.34809,0.24272,1.21175,0.84013,0.84013
11,0.32073,1.21752,1.31046,0.25107,1.18885,0.84238,0.84238
12,0.3132,1.16782,1.25747,0.25777,1.15286,0.83716,0.84238
13,0.30548,1.12797,1.21362,0.27309,1.12575,0.83701,0.84238
14,0.29968,1.09274,1.17599,0.28714,1.10348,0.83611,0.84238
15,0.29094,1.0367,1.11285,0.3041,1.06506,0.83707,0.84238
16,0.28224,0.98527,1.05805,0.32026,1.03063,0.83615,0.84238
17,0.27015,0.92273,0.9868,0.3619,0.99418,0.83074,0.84238
18,0.26072,0.86494,0.92502,0.3707,0.952,0.8375,0.84238
19,0.25125,0.80432,0.86061,0.39382,0.91389,0.83785,0.84238
20,0.24376,0.76351,0.81488,0.42323,0.8917,0.83174,0.84238
21,0.23304,0.71389,0.75913,0.4566,0.86211,0.83784,0.84238
22,0.22609,0.6633,0.70494,0.47637,0.83128,0.83466,0.84238
23,0.21862,0.62552,0.6642,0.4797,0.80128,0.8338,0.84238
24,0.2151,0.6095,0.64576,0.50144,0.79588,0.83171,0.84238
25,0.20534,0.56353,0.5937,0.51828,0.76284,0.83154,0.84238
26,0.20109,0.52947,0.55935,0.52664,0.74138,0.8353,0.84238
27,0.19628,0.50203,0.52786,0.53894,0.7234,0.83352,0.84238
28,0.19292,0.47927,0.50335,0.54252,0.70713,0.83694,0.84238
29,0.19099,0.47378,0.49565,0.55681,0.70674,0.83461,0.84238
30,0.18666,0.4566,0.47661,0.56968,0.69649,0.83173,0.84238
31,0.18419,0.43323,0.45095,0.57184,0.67995,0.83476,0.84238
32,0.18211,0.42009,0.43909,0.56751,0.66877,0.83234,0.84238
33,0.17987,0.41048,0.42713,0.577,0.66361,0.83516,0.84238
34,0.17879,0.40137,0.41772,0.579,0.65775,0.83466,0.84238
35,0.17667,0.39329,0.40813,0.58583,0.65291,0.83711,0.84238
36,0.17565,0.38008,0.39386,0.58807,0.64444,0.83512,0.84238
37,0.17524,0.39219,0.40525,0.59475,0.65368,0.83937,0.84238
38,0.17293,0.37733,0.38961,0.59796,0.64342,0.83265,0.84238
39,0.17175,0.36237,0.37425,0.59719,0.6328,0.83428,0.84238
40,0.17131,0.35647,0.36814,0.59888,0.62941,0.83478,0.84238
41,0.16948,0.34802,0.35976,0.60059,0.62323,0.8378,0.84238
