method_name,lead,hz,losses,n_seeds,class,auc_mean,auc_std,f1_0_5_mean,f1_0_5_std,f1_tuned_mean,f1_tuned_std
II_100hz_bce,II,100,bce,1,NORM,0.87794,0.0,0.75953,0.0,0.78249,0.0
II_100hz_bce,II,100,bce,1,MI,0.78571,0.0,0.46328,0.0,0.54899,0.0
II_100hz_bce,II,100,bce,1,STTC,0.86414,0.0,0.64499,0.0,0.64019,0.0
II_100hz_bce,II,100,bce,1,CD,0.80972,0.0,0.53243,0.0,0.59195,0.0
II_100hz_bce,II,100,bce,1,HYP,0.74675,0.0,0.29592,0.0,0.36865,0.0
"II_100hz_bce,ta_mkd,feature",II,100,"bce,ta_mkd,feature",1,NORM,0.8929,0.0,0.80708,0.0,0.80263,0.0
"II_100hz_bce,ta_mkd,feature",II,100,"bce,ta_mkd,feature",1,MI,0.80899,0.0,0.52423,0.0,0.58195,0.0
"II_100hz_bce,ta_mkd,feature",II,100,"bce,ta_mkd,feature",1,STTC,0.87496,0.0,0.56527,0.0,0.65579,0.0
"II_100hz_bce,ta_mkd,feature",II,100,"bce,ta_mkd,feature",1,CD,0.85836,0.0,0.66739,0.0,0.68293,0.0
"II_100hz_bce,ta_mkd,feature",II,100,"bce,ta_mkd,feature",1,HYP,0.75178,0.0,0.21084,0.0,0.38941,0.0
"II_100hz_bce,ta_mkd",II,100,"bce,ta_mkd",1,NORM,0.89545,0.0,0.8016,0.0,0.80726,0.0
"II_100hz_bce,ta_mkd",II,100,"bce,ta_mkd",1,MI,0.8074,0.0,0.48808,0.0,0.58533,0.0
"II_100hz_bce,ta_mkd",II,100,"bce,ta_mkd",1,STTC,0.87749,0.0,0.62366,0.0,0.665,0.0
"II_100hz_bce,ta_mkd",II,100,"bce,ta_mkd",1,CD,0.85702,0.0,0.6644,0.0,0.66527,0.0
"II_100hz_bce,ta_mkd",II,100,"bce,ta_mkd",1,HYP,0.75237,0.0,0.21557,0.0,0.36782,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature_clecg",II,100,"bce,ta_mkd,ta_crf,feature",1,NORM,0.89488,0.0,0.80194,0.0,0.80712,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature_clecg",II,100,"bce,ta_mkd,ta_crf,feature",1,MI,0.81218,0.0,0.45409,0.0,0.57343,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature_clecg",II,100,"bce,ta_mkd,ta_crf,feature",1,STTC,0.87418,0.0,0.62762,0.0,0.6517,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature_clecg",II,100,"bce,ta_mkd,ta_crf,feature",1,CD,0.85723,0.0,0.66522,0.0,0.67971,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature_clecg",II,100,"bce,ta_mkd,ta_crf,feature",1,HYP,0.7677,0.0,0.22356,0.0,0.3816,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature_clecgta_clecg",II,100,"bce,ta_mkd,ta_crf,feature",1,NORM,0.89606,0.0,0.80449,0.0,0.80602,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature_clecgta_clecg",II,100,"bce,ta_mkd,ta_crf,feature",1,MI,0.82183,0.0,0.54967,0.0,0.59361,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature_clecgta_clecg",II,100,"bce,ta_mkd,ta_crf,feature",1,STTC,0.87148,0.0,0.58612,0.0,0.66251,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature_clecgta_clecg",II,100,"bce,ta_mkd,ta_crf,feature",1,CD,0.86246,0.0,0.66667,0.0,0.68182,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature_clecgta_clecg",II,100,"bce,ta_mkd,ta_crf,feature",1,HYP,0.76058,0.0,0.24929,0.0,0.37168,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature",II,100,"bce,ta_mkd,ta_crf,feature",1,NORM,0.89669,0.0,0.8032,0.0,0.81036,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature",II,100,"bce,ta_mkd,ta_crf,feature",1,MI,0.81181,0.0,0.45122,0.0,0.58629,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature",II,100,"bce,ta_mkd,ta_crf,feature",1,STTC,0.87651,0.0,0.63294,0.0,0.66499,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature",II,100,"bce,ta_mkd,ta_crf,feature",1,CD,0.85866,0.0,0.64376,0.0,0.67025,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature",II,100,"bce,ta_mkd,ta_crf,feature",1,HYP,0.75498,0.0,0.23599,0.0,0.36562,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature_simclr",II,100,"bce,ta_mkd,ta_crf,feature",1,NORM,0.89617,0.0,0.80332,0.0,0.80403,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature_simclr",II,100,"bce,ta_mkd,ta_crf,feature",1,MI,0.81254,0.0,0.46135,0.0,0.56664,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature_simclr",II,100,"bce,ta_mkd,ta_crf,feature",1,STTC,0.87434,0.0,0.58164,0.0,0.65856,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature_simclr",II,100,"bce,ta_mkd,ta_crf,feature",1,CD,0.86486,0.0,0.66438,0.0,0.69801,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature_simclr",II,100,"bce,ta_mkd,ta_crf,feature",1,HYP,0.76602,0.0,0.17419,0.0,0.3747,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature_simclrta_simclr",II,100,"bce,ta_mkd,ta_crf,feature",1,NORM,0.90132,0.0,0.8098,0.0,0.81987,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature_simclrta_simclr",II,100,"bce,ta_mkd,ta_crf,feature",1,MI,0.82268,0.0,0.55128,0.0,0.59441,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature_simclrta_simclr",II,100,"bce,ta_mkd,ta_crf,feature",1,STTC,0.87719,0.0,0.57926,0.0,0.67528,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature_simclrta_simclr",II,100,"bce,ta_mkd,ta_crf,feature",1,CD,0.8666,0.0,0.68972,0.0,0.68266,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature_simclrta_simclr",II,100,"bce,ta_mkd,ta_crf,feature",1,HYP,0.77237,0.0,0.32258,0.0,0.39187,0.0
"II_100hz_bce,ta_mkd,ta_crf",II,100,"bce,ta_mkd,ta_crf",1,NORM,0.89502,0.0,0.80363,0.0,0.8089,0.0
"II_100hz_bce,ta_mkd,ta_crf",II,100,"bce,ta_mkd,ta_crf",1,MI,0.81359,0.0,0.46931,0.0,0.59325,0.0
"II_100hz_bce,ta_mkd,ta_crf",II,100,"bce,ta_mkd,ta_crf",1,STTC,0.87529,0.0,0.63034,0.0,0.66162,0.0
"II_100hz_bce,ta_mkd,ta_crf",II,100,"bce,ta_mkd,ta_crf",1,CD,0.85729,0.0,0.64877,0.0,0.64465,0.0
"II_100hz_bce,ta_mkd,ta_crf",II,100,"bce,ta_mkd,ta_crf",1,HYP,0.75479,0.0,0.22492,0.0,0.36849,0.0
"II_100hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,100,"bce,teacher_mkd,ta_mkd,ta_crf,feature",1,NORM,0.89591,0.0,0.80565,0.0,0.80637,0.0
"II_100hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,100,"bce,teacher_mkd,ta_mkd,ta_crf,feature",1,MI,0.81118,0.0,0.48402,0.0,0.59003,0.0
"II_100hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,100,"bce,teacher_mkd,ta_mkd,ta_crf,feature",1,STTC,0.87597,0.0,0.60927,0.0,0.67161,0.0
"II_100hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,100,"bce,teacher_mkd,ta_mkd,ta_crf,feature",1,CD,0.85587,0.0,0.6431,0.0,0.67515,0.0
"II_100hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,100,"bce,teacher_mkd,ta_mkd,ta_crf,feature",1,HYP,0.75572,0.0,0.25753,0.0,0.37398,0.0
"II_50hz_bce,gated_kd,feature",II,50,"bce,gated_kd,feature",1,NORM,0.88372,0.0,0.79787,0.0,0.79827,0.0
