method_name,lead,hz,losses,n_seeds,mean_macro_auc,std_macro_auc,mean_macro_f1_0_5,std_macro_f1_0_5,mean_macro_f1_tuned,std_macro_f1_tuned
teacher_12lead_500hz,12,500,bce,1,0.91209,0.0,0.71903,0.0,0.71903,0.0
"II_100hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,100,"bce,teacher_mkd,ta_mkd,ta_crf,feature",1,0.83893,0.0,0.55992,0.0,0.62343,0.0
"II_50hz_bce,teacher_mkd,ta_mkd,ta_crf,feature",II,50,"bce,teacher_mkd,ta_mkd,ta_crf,feature",1,0.83002,0.0,0.53611,0.0,0.61367,0.0
ta_II_500hz,II,500,"bce,mkd,crf",1,0.84076,0.0,0.55615,0.0,0.62033,0.0
ta_II_500hz_clecg,II,500,"bce,mkd,crf+clecg",1,0.84317,0.0,0.57511,0.0,0.62151,0.0
ta_II_500hz_simclr,II,500,"bce,mkd,crf+simclr",1,0.8464,0.0,0.5889,0.0,0.62888,0.0
ta_I_500hz,I,500,"bce,mkd,crf",1,0.82952,0.0,0.53344,0.0,0.60684,0.0
ta_I_500hz_clecg,I,500,"bce,mkd,crf+clecg",1,0.83541,0.0,0.57874,0.0,0.61694,0.0
ta_I_500hz_simclr,I,500,"bce,mkd,crf+simclr",1,0.83799,0.0,0.58051,0.0,0.61487,0.0
ta_ii_500hz,ii,500,"bce,mkd,crf",1,0.84569,0.0,0.62338,0.0,0.62338,0.0
ta_II_100hz_from_ta500,II,100,"bce,mkd,crf,feat_from_ta500",1,0.84127,0.0,0.57464,0.0,0.61888,0.0
II_100hz_bce,II,100,bce,1,0.81685,0.0,0.53923,0.0,0.58646,0.0
"II_100hz_bce,ta_mkd",II,100,"bce,ta_mkd",1,0.83795,0.0,0.55866,0.0,0.61814,0.0
"II_100hz_bce,ta_mkd,feature",II,100,"bce,ta_mkd,feature",1,0.8374,0.0,0.55496,0.0,0.62254,0.0
"II_100hz_bce,ta_mkd,ta_crf",II,100,"bce,ta_mkd,ta_crf",1,0.8392,0.0,0.5554,0.0,0.61538,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature",II,100,"bce,ta_mkd,ta_crf,feature",1,0.83973,0.0,0.55342,0.0,0.6195,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature_clecg",II,100,"bce,ta_mkd,ta_crf,feature",1,0.84123,0.0,0.55449,0.0,0.61871,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature_clecgta_clecg",II,100,"bce,ta_mkd,ta_crf,feature",1,0.84248,0.0,0.57125,0.0,0.62313,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature_simclr",II,100,"bce,ta_mkd,ta_crf,feature",1,0.84279,0.0,0.53698,0.0,0.62039,0.0
"II_100hz_bce,ta_mkd,ta_crf,feature_simclrta_simclr",II,100,"bce,ta_mkd,ta_crf,feature",1,0.84803,0.0,0.59053,0.0,0.63282,0.0
I_100hz_bce,I,100,bce,1,0.81377,0.0,0.4151,0.0,0.58248,0.0
"I_100hz_bce,ta_mkd",I,100,"bce,ta_mkd",1,0.82817,0.0,0.53601,0.0,0.59773,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature",I,100,"bce,ta_mkd,ta_crf,feature",1,0.82918,0.0,0.53494,0.0,0.60639,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature_clecg",I,100,"bce,ta_mkd,ta_crf,feature",1,0.83489,0.0,0.53195,0.0,0.60723,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature_clecgta_clecg",I,100,"bce,ta_mkd,ta_crf,feature",1,0.82971,0.0,0.56445,0.0,0.61365,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature_simclr",I,100,"bce,ta_mkd,ta_crf,feature",1,0.83419,0.0,0.52387,0.0,0.6092,0.0
"I_100hz_bce,ta_mkd,ta_crf,feature_simclrta_simclr",I,100,"bce,ta_mkd,ta_crf,feature",1,0.83844,0.0,0.57528,0.0,0.61307,0.0
II_50hz_bce,II,50,bce,1,0.80612,0.0,0.50064,0.0,0.57403,0.0
"II_50hz_bce,gated_kd",II,50,"bce,gated_kd",1,0.81819,0.0,0.53994,0.0,0.59689,0.0
"II_50hz_bce,gated_kd,feature",II,50,"bce,gated_kd,feature",1,0.82296,0.0,0.53477,0.0,0.59568,0.0
"II_50hz_bce,gated_kd,ta_crf",II,50,"bce,gated_kd,ta_crf",1,0.82691,0.0,0.54665,0.0,0.59728,0.0
