epoch,bce,kd,crf,feat,att,total,val_auc,best_val_auc
1,0.46012,0.85712,0.0,0.0,0.0,1.31725,0.80847,0.80847
2,0.38525,0.33525,0.0,0.0,0.0,0.7205,0.82936,0.82936
3,0.37173,0.25697,0.0,0.0,0.0,0.6287,0.83721,0.83721
4,0.36345,0.22064,0.0,0.0,0.0,0.58409,0.83929,0.83929
5,0.35976,0.19401,0.0,0.0,0.0,0.55377,0.8387,0.83929
6,0.35541,0.18388,0.0,0.0,0.0,0.53929,0.83895,0.83929
7,0.35341,0.18284,0.0,0.0,0.0,0.53625,0.844,0.844
8,0.34848,0.17591,0.0,0.0,0.0,0.5244,0.84091,0.844
9,0.34926,0.17247,0.0,0.0,0.0,0.52173,0.8334,0.844
10,0.34702,0.16313,0.0,0.0,0.0,0.51015,0.84339,0.844
11,0.34185,0.1539,0.0,0.0,0.0,0.49575,0.84807,0.84807
12,0.34086,0.15563,0.0,0.0,0.0,0.49649,0.84471,0.84807
13,0.33852,0.15226,0.0,0.0,0.0,0.49078,0.8496,0.8496
14,0.33571,0.14771,0.0,0.0,0.0,0.48343,0.84259,0.8496
15,0.33359,0.14611,0.0,0.0,0.0,0.4797,0.84517,0.8496
16,0.331,0.142,0.0,0.0,0.0,0.473,0.84611,0.8496
17,0.32867,0.13742,0.0,0.0,0.0,0.46608,0.84704,0.8496
18,0.32795,0.1463,0.0,0.0,0.0,0.47425,0.84566,0.8496
19,0.32676,0.14431,0.0,0.0,0.0,0.47107,0.84554,0.8496
20,0.32395,0.14205,0.0,0.0,0.0,0.466,0.84607,0.8496
21,0.32053,0.13645,0.0,0.0,0.0,0.45698,0.84827,0.8496
22,0.31869,0.13929,0.0,0.0,0.0,0.45799,0.84675,0.8496
23,0.31765,0.13679,0.0,0.0,0.0,0.45444,0.84636,0.8496
24,0.31327,0.13403,0.0,0.0,0.0,0.4473,0.84824,0.8496
25,0.31093,0.12928,0.0,0.0,0.0,0.44021,0.8489,0.8496
26,0.31035,0.13722,0.0,0.0,0.0,0.44757,0.84449,0.8496
27,0.30786,0.13527,0.0,0.0,0.0,0.44313,0.84897,0.8496
28,0.30499,0.13134,0.0,0.0,0.0,0.43634,0.84618,0.8496
29,0.3042,0.13698,0.0,0.0,0.0,0.44118,0.84639,0.8496
30,0.30052,0.13594,0.0,0.0,0.0,0.43646,0.848,0.8496
31,0.29768,0.12905,0.0,0.0,0.0,0.42672,0.84589,0.8496
32,0.29605,0.13324,0.0,0.0,0.0,0.42929,0.84889,0.8496
33,0.29382,0.13306,0.0,0.0,0.0,0.42689,0.84889,0.8496
34,0.29094,0.13084,0.0,0.0,0.0,0.42178,0.84696,0.8496
35,0.29019,0.13091,0.0,0.0,0.0,0.4211,0.84769,0.8496
36,0.28796,0.13424,0.0,0.0,0.0,0.4222,0.84845,0.8496
37,0.2854,0.1294,0.0,0.0,0.0,0.41479,0.84803,0.8496
38,0.28393,0.13508,0.0,0.0,0.0,0.41901,0.84785,0.8496
39,0.28141,0.13007,0.0,0.0,0.0,0.41148,0.8477,0.8496
40,0.28083,0.13361,0.0,0.0,0.0,0.41444,0.84817,0.8496
41,0.27788,0.12999,0.0,0.0,0.0,0.40787,0.84637,0.8496
42,0.27578,0.13119,0.0,0.0,0.0,0.40697,0.84727,0.8496
43,0.27465,0.13085,0.0,0.0,0.0,0.4055,0.84824,0.8496
44,0.2744,0.13354,0.0,0.0,0.0,0.40794,0.84831,0.8496
45,0.27389,0.13677,0.0,0.0,0.0,0.41066,0.84842,0.8496
46,0.27253,0.12947,0.0,0.0,0.0,0.402,0.84841,0.8496
47,0.27045,0.13313,0.0,0.0,0.0,0.40358,0.84764,0.8496
48,0.26979,0.13183,0.0,0.0,0.0,0.40163,0.84765,0.8496
49,0.26718,0.13134,0.0,0.0,0.0,0.39852,0.84811,0.8496
50,0.26566,0.12961,0.0,0.0,0.0,0.39527,0.84727,0.8496
51,0.26597,0.132,0.0,0.0,0.0,0.39797,0.84794,0.8496
52,0.26573,0.13126,0.0,0.0,0.0,0.397,0.84687,0.8496
53,0.26455,0.13067,0.0,0.0,0.0,0.39522,0.84769,0.8496
54,0.26382,0.13238,0.0,0.0,0.0,0.3962,0.848,0.8496
55,0.26309,0.13223,0.0,0.0,0.0,0.39532,0.8476,0.8496
56,0.2627,0.13033,0.0,0.0,0.0,0.39303,0.84704,0.8496
57,0.26165,0.13232,0.0,0.0,0.0,0.39397,0.84871,0.8496
58,0.26121,0.13089,0.0,0.0,0.0,0.3921,0.84731,0.8496
59,0.26161,0.13137,0.0,0.0,0.0,0.39298,0.84811,0.8496
60,0.26038,0.13114,0.0,0.0,0.0,0.39152,0.84726,0.8496
61,0.26049,0.13252,0.0,0.0,0.0,0.39301,0.84798,0.8496
62,0.25934,0.13084,0.0,0.0,0.0,0.39019,0.84741,0.8496
63,0.26009,0.13175,0.0,0.0,0.0,0.39184,0.84739,0.8496
64,0.25916,0.13117,0.0,0.0,0.0,0.39033,0.84738,0.8496
65,0.25857,0.13,0.0,0.0,0.0,0.38856,0.84757,0.8496
66,0.25775,0.12977,0.0,0.0,0.0,0.38752,0.84783,0.8496
67,0.25828,0.13149,0.0,0.0,0.0,0.38977,0.84813,0.8496
68,0.25727,0.13053,0.0,0.0,0.0,0.38779,0.84773,0.8496
69,0.25778,0.13211,0.0,0.0,0.0,0.38989,0.8486,0.8496
70,0.25703,0.13047,0.0,0.0,0.0,0.3875,0.84745,0.8496
71,0.25735,0.13121,0.0,0.0,0.0,0.38856,0.84773,0.8496
72,0.25698,0.13008,0.0,0.0,0.0,0.38706,0.84796,0.8496
73,0.25635,0.13063,0.0,0.0,0.0,0.38698,0.84756,0.8496
74,0.25707,0.13002,0.0,0.0,0.0,0.38708,0.84815,0.8496
75,0.25673,0.13013,0.0,0.0,0.0,0.38686,0.84808,0.8496
76,0.2561,0.13236,0.0,0.0,0.0,0.38846,0.8477,0.8496
77,0.25602,0.13021,0.0,0.0,0.0,0.38623,0.8483,0.8496
78,0.25617,0.13069,0.0,0.0,0.0,0.38685,0.84841,0.8496
79,0.25631,0.13089,0.0,0.0,0.0,0.3872,0.84804,0.8496
80,0.25626,0.13046,0.0,0.0,0.0,0.38672,0.84793,0.8496
81,0.25492,0.12939,0.0,0.0,0.0,0.38431,0.84797,0.8496
82,0.25556,0.12949,0.0,0.0,0.0,0.38505,0.84788,0.8496
83,0.2554,0.13053,0.0,0.0,0.0,0.38594,0.84818,0.8496
84,0.25572,0.12974,0.0,0.0,0.0,0.38546,0.84803,0.8496
85,0.25456,0.1305,0.0,0.0,0.0,0.38506,0.84822,0.8496
86,0.25502,0.12876,0.0,0.0,0.0,0.38378,0.84797,0.8496
87,0.25507,0.12894,0.0,0.0,0.0,0.38401,0.84795,0.8496
88,0.25499,0.13105,0.0,0.0,0.0,0.38604,0.84793,0.8496
89,0.25497,0.12964,0.0,0.0,0.0,0.3846,0.84779,0.8496
90,0.25471,0.1293,0.0,0.0,0.0,0.38401,0.84792,0.8496
91,0.25459,0.129,0.0,0.0,0.0,0.38358,0.84793,0.8496
92,0.25445,0.1288,0.0,0.0,0.0,0.38325,0.84809,0.8496
93,0.25479,0.12931,0.0,0.0,0.0,0.3841,0.8479,0.8496
94,0.25472,0.12909,0.0,0.0,0.0,0.38381,0.84793,0.8496
95,0.25473,0.12856,0.0,0.0,0.0,0.38328,0.84796,0.8496
96,0.25409,0.12912,0.0,0.0,0.0,0.38321,0.84807,0.8496
97,0.25499,0.12971,0.0,0.0,0.0,0.38469,0.84805,0.8496
98,0.25494,0.12979,0.0,0.0,0.0,0.38473,0.84799,0.8496
99,0.25497,0.12927,0.0,0.0,0.0,0.38424,0.84803,0.8496
100,0.25354,0.12859,0.0,0.0,0.0,0.38212,0.848,0.8496
