epoch,bce,teacher_mkd,ta_mkd,ta_crf,feature,gated_kd,segment_feature,mean_w_teacher,mean_w_ta,mean_agreement,total,macro_auc,macro_f1
1,0.42945,0.0,0.84865,3.48915,0.00213,0.0,0.0,0.0,0.0,0.0,1.62744,0.83346,0.5213
2,0.37905,0.0,0.32677,1.90783,0.0021,0.0,0.0,0.0,0.0,0.0,0.89703,0.83798,0.53817
3,0.36853,0.0,0.2551,1.2898,0.0021,0.0,0.0,0.0,0.0,0.0,0.75303,0.84236,0.5588
4,0.36424,0.0,0.21447,1.05137,0.0021,0.0,0.0,0.0,0.0,0.0,0.68426,0.84797,0.59573
5,0.35736,0.0,0.19234,0.91976,0.0021,0.0,0.0,0.0,0.0,0.0,0.6421,0.84777,0.53469
6,0.3536,0.0,0.17813,0.83685,0.0021,0.0,0.0,0.0,0.0,0.0,0.61583,0.85008,0.58432
7,0.34792,0.0,0.14952,0.75886,0.00211,0.0,0.0,0.0,0.0,0.0,0.57375,0.84748,0.56744
8,0.34298,0.0,0.14188,0.67561,0.00211,0.0,0.0,0.0,0.0,0.0,0.55285,0.85067,0.54193
9,0.33958,0.0,0.12922,0.60843,0.00211,0.0,0.0,0.0,0.0,0.0,0.53006,0.84494,0.53365
10,0.33309,0.0,0.11707,0.57081,0.00211,0.0,0.0,0.0,0.0,0.0,0.50766,0.84805,0.56055
11,0.32843,0.0,0.10283,0.5264,0.00211,0.0,0.0,0.0,0.0,0.0,0.48432,0.84711,0.57965
12,0.32423,0.0,0.10285,0.51942,0.00211,0.0,0.0,0.0,0.0,0.0,0.47944,0.84725,0.55475
13,0.31831,0.0,0.09946,0.48417,0.00211,0.0,0.0,0.0,0.0,0.0,0.46661,0.84842,0.56232
14,0.3136,0.0,0.08922,0.47307,0.00211,0.0,0.0,0.0,0.0,0.0,0.45056,0.84855,0.55457
15,0.31071,0.0,0.08614,0.45654,0.00211,0.0,0.0,0.0,0.0,0.0,0.44292,0.8488,0.54653
16,0.30625,0.0,0.08079,0.44229,0.00211,0.0,0.0,0.0,0.0,0.0,0.43169,0.8492,0.55255
17,0.30209,0.0,0.08009,0.43381,0.00212,0.0,0.0,0.0,0.0,0.0,0.42598,0.84709,0.57167
18,0.29749,0.0,0.07416,0.41204,0.00211,0.0,0.0,0.0,0.0,0.0,0.41328,0.84883,0.55396
19,0.2954,0.0,0.07001,0.40039,0.00211,0.0,0.0,0.0,0.0,0.0,0.40587,0.85135,0.57649
20,0.29182,0.0,0.07423,0.39623,0.00211,0.0,0.0,0.0,0.0,0.0,0.40609,0.84818,0.56968
21,0.28822,0.0,0.06441,0.38549,0.00211,0.0,0.0,0.0,0.0,0.0,0.3916,0.84716,0.54518
22,0.28685,0.0,0.06234,0.37815,0.00211,0.0,0.0,0.0,0.0,0.0,0.38743,0.8485,0.56462
23,0.28398,0.0,0.06599,0.3715,0.00211,0.0,0.0,0.0,0.0,0.0,0.38755,0.85049,0.56812
24,0.28289,0.0,0.06539,0.36422,0.00211,0.0,0.0,0.0,0.0,0.0,0.38512,0.8484,0.55306
25,0.28024,0.0,0.06574,0.35704,0.00211,0.0,0.0,0.0,0.0,0.0,0.3821,0.8491,0.56782
26,0.27749,0.0,0.05619,0.3427,0.00211,0.0,0.0,0.0,0.0,0.0,0.36837,0.84801,0.54874
27,0.2753,0.0,0.05617,0.34102,0.00211,0.0,0.0,0.0,0.0,0.0,0.36599,0.84771,0.56909
28,0.27351,0.0,0.05963,0.33769,0.00211,0.0,0.0,0.0,0.0,0.0,0.36733,0.84718,0.53671
29,0.27164,0.0,0.05261,0.32912,0.00211,0.0,0.0,0.0,0.0,0.0,0.35759,0.85082,0.56138
30,0.26989,0.0,0.05473,0.32743,0.00211,0.0,0.0,0.0,0.0,0.0,0.35778,0.84795,0.56812
31,0.26902,0.0,0.05349,0.31967,0.00211,0.0,0.0,0.0,0.0,0.0,0.3549,0.84922,0.56069
32,0.26805,0.0,0.05518,0.32054,0.00211,0.0,0.0,0.0,0.0,0.0,0.35571,0.84956,0.56588
33,0.26552,0.0,0.05026,0.31012,0.00211,0.0,0.0,0.0,0.0,0.0,0.34721,0.8503,0.55195
34,0.2645,0.0,0.05121,0.31025,0.00211,0.0,0.0,0.0,0.0,0.0,0.34715,0.85077,0.57048
35,0.26283,0.0,0.04852,0.30435,0.00211,0.0,0.0,0.0,0.0,0.0,0.34221,0.84919,0.56881
36,0.26245,0.0,0.05018,0.30273,0.00211,0.0,0.0,0.0,0.0,0.0,0.34332,0.8497,0.55234
37,0.2612,0.0,0.04785,0.29933,0.00211,0.0,0.0,0.0,0.0,0.0,0.33941,0.8504,0.56095
38,0.26105,0.0,0.0476,0.29585,0.00211,0.0,0.0,0.0,0.0,0.0,0.33865,0.84939,0.56677
39,0.2605,0.0,0.049,0.29595,0.00211,0.0,0.0,0.0,0.0,0.0,0.33951,0.84961,0.55448
40,0.2598,0.0,0.05041,0.29394,0.00211,0.0,0.0,0.0,0.0,0.0,0.34003,0.85059,0.5598
41,0.25839,0.0,0.04753,0.29289,0.00211,0.0,0.0,0.0,0.0,0.0,0.33564,0.84996,0.55325
42,0.25891,0.0,0.04979,0.28978,0.00211,0.0,0.0,0.0,0.0,0.0,0.33809,0.85027,0.57136
43,0.25783,0.0,0.05016,0.2891,0.00211,0.0,0.0,0.0,0.0,0.0,0.33733,0.85088,0.55294
44,0.25745,0.0,0.04556,0.28477,0.00211,0.0,0.0,0.0,0.0,0.0,0.33191,0.84985,0.55477
45,0.25708,0.0,0.04729,0.28235,0.00211,0.0,0.0,0.0,0.0,0.0,0.33303,0.85002,0.55031
46,0.25724,0.0,0.04403,0.28306,0.00211,0.0,0.0,0.0,0.0,0.0,0.33,0.84967,0.56693
47,0.25581,0.0,0.04362,0.2783,0.00211,0.0,0.0,0.0,0.0,0.0,0.32769,0.8503,0.5668
48,0.25522,0.0,0.04387,0.2765,0.00211,0.0,0.0,0.0,0.0,0.0,0.32716,0.84999,0.56297
49,0.25599,0.0,0.04398,0.27992,0.00211,0.0,0.0,0.0,0.0,0.0,0.32838,0.84991,0.56766
50,0.25542,0.0,0.04438,0.27726,0.00211,0.0,0.0,0.0,0.0,0.0,0.32795,0.84993,0.56226
51,0.25462,0.0,0.04521,0.27595,0.00211,0.0,0.0,0.0,0.0,0.0,0.32784,0.85057,0.56643
52,0.25487,0.0,0.04325,0.27509,0.00211,0.0,0.0,0.0,0.0,0.0,0.32605,0.8507,0.56996
53,0.25423,0.0,0.04363,0.27537,0.00211,0.0,0.0,0.0,0.0,0.0,0.32582,0.85021,0.5643
54,0.25424,0.0,0.04196,0.27393,0.00211,0.0,0.0,0.0,0.0,0.0,0.32402,0.84997,0.55907
55,0.25438,0.0,0.04242,0.27193,0.00211,0.0,0.0,0.0,0.0,0.0,0.32442,0.85024,0.56173
56,0.25461,0.0,0.04346,0.27436,0.00211,0.0,0.0,0.0,0.0,0.0,0.32593,0.85027,0.56709
57,0.25404,0.0,0.04275,0.27539,0.00211,0.0,0.0,0.0,0.0,0.0,0.32475,0.85039,0.56531
58,0.25412,0.0,0.04144,0.2734,0.00211,0.0,0.0,0.0,0.0,0.0,0.32332,0.85037,0.56449
59,0.25371,0.0,0.04274,0.27373,0.00211,0.0,0.0,0.0,0.0,0.0,0.32425,0.8503,0.56736
60,0.25445,0.0,0.0413,0.27039,0.00211,0.0,0.0,0.0,0.0,0.0,0.3232,0.8503,0.5678
