epoch,bce,kd,crf,feat,att,total,val_auc,best_val_auc
1,0.4581,0.85857,0.0,0.0,0.0,1.31667,0.82032,0.82032
2,0.3819,0.32687,0.0,0.0,0.0,0.70877,0.83431,0.83431
3,0.36942,0.24746,0.0,0.0,0.0,0.61688,0.83418,0.83431
4,0.36209,0.21438,0.0,0.0,0.0,0.57647,0.8397,0.8397
5,0.35887,0.20195,0.0,0.0,0.0,0.56082,0.83593,0.8397
6,0.35342,0.18909,0.0,0.0,0.0,0.54251,0.84105,0.84105
7,0.35169,0.17768,0.0,0.0,0.0,0.52937,0.84277,0.84277
8,0.34705,0.16261,0.0,0.0,0.0,0.50967,0.84278,0.84278
9,0.34307,0.16193,0.0,0.0,0.0,0.505,0.84652,0.84652
10,0.3428,0.15726,0.0,0.0,0.0,0.50006,0.84659,0.84659
11,0.33866,0.15619,0.0,0.0,0.0,0.49484,0.8457,0.84659
12,0.33707,0.14828,0.0,0.0,0.0,0.48536,0.84497,0.84659
13,0.33637,0.15937,0.0,0.0,0.0,0.49574,0.84746,0.84746
14,0.3341,0.15019,0.0,0.0,0.0,0.4843,0.84535,0.84746
15,0.33232,0.14787,0.0,0.0,0.0,0.48018,0.84433,0.84746
16,0.33137,0.14827,0.0,0.0,0.0,0.47963,0.84762,0.84762
17,0.32949,0.14898,0.0,0.0,0.0,0.47847,0.84569,0.84762
18,0.32666,0.14073,0.0,0.0,0.0,0.4674,0.84705,0.84762
19,0.3247,0.13909,0.0,0.0,0.0,0.46379,0.84754,0.84762
20,0.32119,0.13492,0.0,0.0,0.0,0.45612,0.84682,0.84762
21,0.31977,0.13896,0.0,0.0,0.0,0.45873,0.84979,0.84979
22,0.31525,0.13394,0.0,0.0,0.0,0.44919,0.84628,0.84979
23,0.31337,0.13649,0.0,0.0,0.0,0.44985,0.84741,0.84979
24,0.31087,0.13336,0.0,0.0,0.0,0.44423,0.84909,0.84979
25,0.30887,0.1347,0.0,0.0,0.0,0.44356,0.84684,0.84979
26,0.30743,0.13556,0.0,0.0,0.0,0.44299,0.84883,0.84979
27,0.30236,0.13259,0.0,0.0,0.0,0.43495,0.84812,0.84979
28,0.30355,0.13641,0.0,0.0,0.0,0.43996,0.84597,0.84979
29,0.29982,0.13535,0.0,0.0,0.0,0.43517,0.849,0.84979
30,0.29807,0.13419,0.0,0.0,0.0,0.43226,0.8471,0.84979
31,0.29587,0.13607,0.0,0.0,0.0,0.43195,0.84927,0.84979
32,0.29471,0.13863,0.0,0.0,0.0,0.43334,0.84762,0.84979
33,0.29262,0.13425,0.0,0.0,0.0,0.42687,0.84696,0.84979
34,0.28983,0.13682,0.0,0.0,0.0,0.42665,0.84782,0.84979
35,0.28631,0.13254,0.0,0.0,0.0,0.41885,0.84694,0.84979
36,0.28497,0.13509,0.0,0.0,0.0,0.42006,0.84738,0.84979
37,0.28327,0.13571,0.0,0.0,0.0,0.41897,0.84745,0.84979
38,0.28056,0.13447,0.0,0.0,0.0,0.41503,0.84905,0.84979
39,0.27992,0.13572,0.0,0.0,0.0,0.41564,0.84647,0.84979
40,0.27743,0.13224,0.0,0.0,0.0,0.40967,0.84815,0.84979
41,0.27577,0.1366,0.0,0.0,0.0,0.41237,0.84872,0.84979
42,0.27543,0.13691,0.0,0.0,0.0,0.41233,0.84814,0.84979
43,0.27227,0.13401,0.0,0.0,0.0,0.40628,0.84761,0.84979
44,0.27159,0.13423,0.0,0.0,0.0,0.40582,0.84671,0.84979
45,0.26956,0.13665,0.0,0.0,0.0,0.40622,0.8463,0.84979
46,0.26988,0.13754,0.0,0.0,0.0,0.40742,0.84806,0.84979
47,0.27111,0.13886,0.0,0.0,0.0,0.40997,0.84708,0.84979
48,0.26923,0.13644,0.0,0.0,0.0,0.40567,0.8477,0.84979
49,0.26636,0.13584,0.0,0.0,0.0,0.4022,0.84807,0.84979
50,0.26477,0.13678,0.0,0.0,0.0,0.40155,0.84762,0.84979
51,0.26554,0.13805,0.0,0.0,0.0,0.40359,0.84736,0.84979
52,0.26428,0.13512,0.0,0.0,0.0,0.39939,0.84872,0.84979
53,0.26096,0.13412,0.0,0.0,0.0,0.39509,0.84778,0.84979
54,0.26213,0.13588,0.0,0.0,0.0,0.398,0.84743,0.84979
55,0.26192,0.13542,0.0,0.0,0.0,0.39733,0.84799,0.84979
56,0.26102,0.13694,0.0,0.0,0.0,0.39795,0.84821,0.84979
57,0.26098,0.13705,0.0,0.0,0.0,0.39803,0.84792,0.84979
58,0.261,0.13754,0.0,0.0,0.0,0.39854,0.84799,0.84979
59,0.25847,0.13556,0.0,0.0,0.0,0.39403,0.84738,0.84979
60,0.25962,0.13759,0.0,0.0,0.0,0.3972,0.84902,0.84979
61,0.25854,0.13654,0.0,0.0,0.0,0.39508,0.84821,0.84979
62,0.25831,0.1365,0.0,0.0,0.0,0.39481,0.84797,0.84979
63,0.25758,0.13566,0.0,0.0,0.0,0.39324,0.84755,0.84979
64,0.2572,0.13511,0.0,0.0,0.0,0.39232,0.84848,0.84979
65,0.25735,0.13711,0.0,0.0,0.0,0.39446,0.84684,0.84979
66,0.25677,0.13577,0.0,0.0,0.0,0.39254,0.84776,0.84979
67,0.2568,0.13627,0.0,0.0,0.0,0.39306,0.8476,0.84979
68,0.25647,0.13475,0.0,0.0,0.0,0.39122,0.84758,0.84979
69,0.25571,0.13362,0.0,0.0,0.0,0.38933,0.84884,0.84979
70,0.25546,0.13627,0.0,0.0,0.0,0.39172,0.84788,0.84979
71,0.25548,0.13586,0.0,0.0,0.0,0.39134,0.84764,0.84979
72,0.25441,0.13492,0.0,0.0,0.0,0.38933,0.84812,0.84979
73,0.2549,0.13449,0.0,0.0,0.0,0.38939,0.84799,0.84979
74,0.25469,0.13448,0.0,0.0,0.0,0.38917,0.84787,0.84979
75,0.25504,0.13738,0.0,0.0,0.0,0.39241,0.84771,0.84979
76,0.25467,0.13534,0.0,0.0,0.0,0.39001,0.84825,0.84979
77,0.25435,0.13499,0.0,0.0,0.0,0.38935,0.848,0.84979
